[2026-07-10 18:55:50] (1/48, 2.1%) val-deep-cvrp-a80k10-sa-rules-s42
[2026-07-10 18:55:53] (2/48, 4.2%) val-deep-cvrp-a80k10-sa-rules-s123
[2026-07-10 18:55:56] (3/48, 6.2%) val-deep-cvrp-a80k10-sa-hybrid-s42
[2026-07-10 18:55:59] (4/48, 8.3%) val-deep-cvrp-a80k10-sa-hybrid-s123
[2026-07-10 18:56:01] (5/48, 10.4%) val-deep-cvrp-a80k10-sa-learned-s42
[2026-07-10 18:56:04] (6/48, 12.5%) val-deep-cvrp-a80k10-sa-learned-s123
[2026-07-10 18:56:07] (7/48, 14.6%) val-deep-cvrp-a80k10-portfolio-rules-s42
[2026-07-10 18:57:03] (8/48, 16.7%) val-deep-cvrp-a80k10-portfolio-rules-s123
[2026-07-10 18:58:00] (9/48, 18.8%) val-deep-cvrp-a80k10-portfolio-hybrid-s42
[2026-07-10 18:58:57] (10/48, 20.8%) val-deep-cvrp-a80k10-portfolio-hybrid-s123
[2026-07-10 18:59:55] (11/48, 22.9%) val-deep-cvrp-a80k10-portfolio-learned-s42
[2026-07-10 19:00:51] (12/48, 25%) val-deep-cvrp-a80k10-portfolio-learned-s123
[2026-07-10 19:01:48] (13/48, 27.1%) val-deep-jss-ft10-tabu-rules-s42
[2026-07-10 19:03:00] (14/48, 29.2%) val-deep-jss-ft10-tabu-rules-s123
[2026-07-10 19:04:13] (15/48, 31.2%) val-deep-jss-ft10-tabu-hybrid-s42
[2026-07-10 19:05:26] (16/48, 33.3%) val-deep-jss-ft10-tabu-hybrid-s123
[2026-07-10 19:06:37] (17/48, 35.4%) val-deep-jss-ft10-tabu-learned-s42
[2026-07-10 19:07:51] (18/48, 37.5%) val-deep-jss-ft10-tabu-learned-s123
[2026-07-10 19:09:03] (19/48, 39.6%) val-deep-jss-ft10-portfolio-rules-s42
[2026-07-10 19:09:06] (20/48, 41.7%) val-deep-jss-ft10-portfolio-rules-s123
[2026-07-10 19:09:08] (21/48, 43.8%) val-deep-jss-ft10-portfolio-hybrid-s42
[2026-07-10 19:09:11] (22/48, 45.8%) val-deep-jss-ft10-portfolio-hybrid-s123
[2026-07-10 19:09:13] (23/48, 47.9%) val-deep-jss-ft10-portfolio-learned-s42
[2026-07-10 19:09:15] (24/48, 50%) val-deep-jss-ft10-portfolio-learned-s123
[2026-07-10 19:09:18] (25/48, 52.1%) val-deep-vrptw-c101-sa-rules-s42
[2026-07-10 19:09:20] (26/48, 54.2%) val-deep-vrptw-c101-sa-rules-s123
[2026-07-10 19:09:23] (27/48, 56.2%) val-deep-vrptw-c101-sa-hybrid-s42
[2026-07-10 19:09:25] (28/48, 58.3%) val-deep-vrptw-c101-sa-hybrid-s123
[2026-07-10 19:09:28] (29/48, 60.4%) val-deep-vrptw-c101-sa-learned-s42
[2026-07-10 19:09:30] (30/48, 62.5%) val-deep-vrptw-c101-sa-learned-s123
[2026-07-10 19:09:33] (31/48, 64.6%) val-deep-vrptw-c101-portfolio-rules-s42
[2026-07-10 19:10:29] (32/48, 66.7%) val-deep-vrptw-c101-portfolio-rules-s123
[2026-07-10 19:11:26] (33/48, 68.8%) val-deep-vrptw-c101-portfolio-hybrid-s42
[2026-07-10 19:12:23] (34/48, 70.8%) val-deep-vrptw-c101-portfolio-hybrid-s123
[2026-07-10 19:13:20] (35/48, 72.9%) val-deep-vrptw-c101-portfolio-learned-s42
[2026-07-10 19:14:18] (36/48, 75%) val-deep-vrptw-c101-portfolio-learned-s123
[2026-07-10 19:15:15] (37/48, 77.1%) val-deep-nrp-n012w8-sa-rules-s42
FAILED val-deep-nrp-n012w8-sa-rules-s42 (exit 2): [1m[36m‘‹÷¥©≈ PFRS Tuning Sweep[0m[0m    Instance: [1mn012w8[0m   Weeks:    8   Grid:     1 combinations   Seeds:    1 ([42])   CPUs:     32   Cooling:  adaptive   Effective Cooling Rate: 0.0000460506    Decision Mode: assist (AI advises optimiser, safety overrides active)    ≠É∫¨ [90m[seed 42][0m iter=300,000 workers=32 temp=100.0 rate=0.0000     week 1: penalty=400 workers=32 branches=31 candidates=9,600,000 time=789ms     week 2: penalty=250 workers=32 branches=31 candidates=9,600,000 time=704ms     week 3: penalty=475 workers=32 branches=31 candidates=9,600,000 time=791ms     week 4: penalty=165 workers=32 branches=31 candidates=9,600,000 time=621ms     week 5: penalty=380 workers=32 branches=31 candidates=9,600,000 time=706ms     week 6: penalty=190 workers=32 branches=31 candidates=9,600,000 time=661ms     week 7: penalty=300 workers=32 branches=31 candidates=9,600,000 time=648ms panic: runtime error: invalid memory address or nil pointer dereference [signal 0xc0000005 code=0x0 addr=0x4 pc=0x7ff6ea7a7dd4] System.Management.Automation.RemoteException goroutine 428 [running]: github.com/timdodgson/open-workforce-platform/platform/go/internal/infrastructure/inrc2.successionRejectReason(0xc674e841a68, 0x6, 0x3, {0xc674dcae485, 0x5}, 0xc674e60bbc0, {0xc674dbbc6c0?, 0xc674e841408?, 0x7ff6ea7a2306?}) 	C:/Users/Tim/open-workforce-platform/platform/go/internal/infrastructure/inrc2/pfrs_search.go:188 +0xdd github.com/timdodgson/open-workforce-platform/platform/go/internal/infrastructure/inrc2.swapNurses(0xc674e841a68, 0x6, 0x1, 0x0?, {{0xc674dc4bb70, 0x6}, 0x8, {0xc674dc6e2a0, 0x2, 0x2}, ...}, ...) 	C:/Users/Tim/open-workforce-platform/platform/go/internal/infrastructure/inrc2/pfrs_search.go:159 +0x358 github.com/timdodgson/open-workforce-platform/platform/go/internal/infrastructure/inrc2.saWorker(_, {{0xc674dc4bb70, 0x6}, 0x8, {0xc674dc6e2a0, 0x2, 0x2}, {0xc674dbc1c80, 0x4, 0x4}, ...}, ...) 	C:/Users/Tim/open-workforce-platform/platform/go/internal/infrastructure/inrc2/pfrs_search.go:582 +0xa9a github.com/timdodgson/open-workforce-platform/platform/go/internal/infrastructure/inrc2.RunPFRS.func4() 	C:/Users/Tim/open-workforce-platform/platform/go/internal/infrastructure/inrc2/pfrs_search.go:1111 +0xc3d created by github.com/timdodgson/open-workforce-platform/platform/go/internal/infrastructure/inrc2.RunPFRS in goroutine 1 	C:/Users/Tim/open-workforce-platform/platform/go/internal/infrastructure/inrc2/pfrs_search.go:1081 +0x11eb
[2026-07-10 19:15:20] (38/48, 79.2%) val-deep-nrp-n012w8-sa-rules-s123
[2026-07-10 19:15:28] (39/48, 81.2%) val-deep-nrp-n012w8-sa-hybrid-s42
[2026-07-10 19:15:33] (40/48, 83.3%) val-deep-nrp-n012w8-sa-hybrid-s123
[2026-07-10 19:15:38] (41/48, 85.4%) val-deep-nrp-n012w8-sa-learned-s42
[2026-07-10 19:15:43] (42/48, 87.5%) val-deep-nrp-n012w8-sa-learned-s123
[2026-07-10 19:15:48] (43/48, 89.6%) val-deep-nrp-n012w8-portfolio-rules-s42
[2026-07-10 19:15:55] (44/48, 91.7%) val-deep-nrp-n012w8-portfolio-rules-s123
[2026-07-10 19:16:03] (45/48, 93.8%) val-deep-nrp-n012w8-portfolio-hybrid-s42
[2026-07-10 19:16:08] (46/48, 95.8%) val-deep-nrp-n012w8-portfolio-hybrid-s123
[2026-07-10 19:16:13] (47/48, 97.9%) val-deep-nrp-n012w8-portfolio-learned-s42
[2026-07-10 19:16:18] (48/48, 100%) val-deep-nrp-n012w8-portfolio-learned-s123
Failures: val-deep-nrp-n012w8-sa-rules-s42
