run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,path_id,fingerprint,hamming_to_best,hamming_to_parent,beam_spread,near_duplicate,retained,retained_rank,winning,cumulative_penalty,week_penalty
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,1,1,826244a9019b,0.000000,0.000000,0,1,1,1,0,395,395
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,1,2,784802ef2cb6,0.619048,0.000000,0,0,1,2,0,395,395
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,1,3,d8c5016d8dd6,0.392857,0.000000,0,0,1,3,1,395,395
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,2,11,8a937fd0ea11,0.000000,0.630952,15,1,1,1,1,635,240
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,2,12,0ddd16bc7644,0.464286,0.630952,15,0,1,2,0,635,240
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,2,9,76172c37ae23,0.595238,0.678571,15,0,1,3,0,645,250
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,2,5,8689aec39202,0.595238,0.654762,15,0,1,4,0,650,255
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,2,7,ec511263aa09,0.690476,0.630952,15,0,1,5,0,650,255
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,2,10,87dd6722d0f2,0.511905,0.583333,15,0,0,0,0,650,255
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,2,4,1c9d56f3989f,0.607143,0.619048,15,0,0,0,0,655,260
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,2,8,702aa65ffda3,0.583333,0.690476,15,0,0,0,0,655,260
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,2,6,19dac2d44e5e,0.642857,0.595238,15,0,0,0,0,665,270
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,3,17,784fc4d06383,0.000000,0.583333,25,1,1,1,0,1085,450
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,3,14,bb84a16b2f32,0.607143,0.666667,25,0,1,2,0,1100,465
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,3,15,46ec6733a1f6,0.440476,0.654762,25,0,1,3,1,1100,465
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,3,18,2b9623fe3144,0.464286,0.500000,25,0,1,4,0,1100,465
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,3,13,89c50728484e,0.571429,0.654762,25,0,1,5,0,1110,475
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,3,16,8bf0a9eb5d44,0.464286,0.642857,25,0,0,0,0,1110,475
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,3,20,c6bcc0c6fb31,0.642857,0.678571,25,0,0,0,0,1115,470
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,3,19,3142424f87d5,0.678571,0.654762,25,0,0,0,0,1120,475
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,3,21,49c550944d5f,0.583333,0.595238,25,0,0,0,0,1120,475
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,3,25,a3859dbc350a,0.797619,0.607143,25,0,0,0,0,1120,470
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,3,26,8d9de14cb3a9,0.761905,0.559524,25,0,0,0,0,1120,470
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,3,27,db48c494a89f,0.690476,0.595238,25,0,0,0,0,1120,470
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,3,22,3dd96591f808,0.738095,0.642857,25,0,0,0,0,1135,485
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,3,23,273af0755cf9,0.666667,0.738095,25,0,0,0,0,1135,485
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,3,24,120fcef2f721,0.690476,0.690476,25,0,0,0,0,1140,490
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-06-30T20:35:31+01:00,4,28,7e22882b7398,0.000000,0.690476,30,1,1,1,0,1190,105
