week,worker_id,parent_worker_id,depth,candidate,temperature,current_penalty,local_best,global_best,cands_since_improve
1,31,29,0,179607,0.699384,470,470,385,100000
1,31,29,0,279607,0.044128,470,470,385,100000
1,31,29,0,379607,0.002784,470,470,385,100000
1,31,29,0,479607,0.000176,470,470,385,100000
1,7,5,0,185320,0.597255,415,400,385,100000
1,7,5,0,285320,0.037684,415,400,385,100000
1,7,5,0,385320,0.002378,415,400,385,100000
1,7,5,0,485320,0.000150,415,400,385,100000
1,14,12,0,178981,0.711587,415,385,385,100000
1,14,12,0,278981,0.044898,415,385,385,100000
1,14,12,0,378981,0.002833,415,385,385,100000
1,14,12,0,478981,0.000179,415,385,385,100000
1,2,0,0,168222,0.957935,485,485,385,100000
1,2,0,0,268222,0.060442,485,485,385,100000
1,2,0,0,368222,0.003814,485,485,385,100000
1,2,0,0,468222,0.000241,485,485,385,100000
1,5,3,0,171454,0.876097,440,410,385,100000
1,5,3,0,271454,0.055278,440,410,385,100000
1,5,3,0,371454,0.003488,440,410,385,100000
1,5,3,0,471454,0.000220,440,410,385,100000
1,3,1,0,153284,1.447411,510,505,385,100000
1,3,1,0,253284,0.091325,510,505,385,100000
1,3,1,0,353284,0.005762,510,505,385,100000
1,3,1,0,453284,0.000364,510,505,385,100000
1,23,21,0,188658,0.544633,440,440,385,100000
1,23,21,0,288658,0.034364,440,440,385,100000
1,23,21,0,388658,0.002168,440,440,385,100000
1,23,21,0,488658,0.000137,440,440,385,100000
1,9,7,0,183669,0.625132,470,470,385,100000
1,9,7,0,283669,0.039443,470,470,385,100000
1,9,7,0,383669,0.002489,470,470,385,100000
1,9,7,0,483669,0.000157,470,470,385,100000
1,24,22,0,182699,0.642114,495,480,385,100000
1,24,22,0,282699,0.040515,495,480,385,100000
1,24,22,0,382699,0.002556,495,480,385,100000
1,24,22,0,482699,0.000161,495,480,385,100000
1,22,20,0,181714,0.659830,410,410,385,100000
1,22,20,0,281714,0.041632,410,410,385,100000
1,22,20,0,381714,0.002627,410,410,385,100000
1,22,20,0,481714,0.000166,410,410,385,100000
1,27,25,0,168615,0.947589,415,410,385,100000
1,27,25,0,268615,0.059789,415,410,385,100000
1,27,25,0,368615,0.003772,415,410,385,100000
1,27,25,0,468615,0.000238,415,410,385,100000
1,17,15,0,175703,0.779048,410,400,385,100000
1,17,15,0,275703,0.049155,410,400,385,100000
1,17,15,0,375703,0.003101,410,400,385,100000
1,17,15,0,475703,0.000196,410,400,385,100000
1,0,-1,0,189280,0.535353,475,475,385,100000
1,0,-1,0,289280,0.033778,475,475,385,100000
