run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,beam_path,candidate,elapsed_ms,temperature_at_event,current_penalty,previous_best,new_best,improvement,improvement_pct,event_type,branch_depth,seed_used,accepted_worse_count,hard_reject_count,soft_reject_count,discovery_number,cands_since_previous,time_since_previous_ms,improvement_per_10k,improvement_per_second,post_reheat_improved,post_reheat_best_delta,post_reheat_cands_to_improve,post_reheat_spawned_branch,post_reheat_beat_global,post_reheat_on_winning_lineage
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,9,0,0,1126,1145,1126,19,1.66,GLOBAL_BEST,0,42,0,0,0,1,9,0,21111.11,0.00,0,0,0,0,0,0
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,46,0,0,1120,1126,1120,6,0.53,GLOBAL_BEST,0,42,0,0,0,2,37,0,1621.62,0.00,0,0,0,0,0,0
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,75,0,0,1119,1120,1119,1,0.09,GLOBAL_BEST,0,42,0,0,0,3,29,0,344.83,0.00,0,0,0,0,0,0
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,80,0,0,1107,1119,1107,12,1.07,GLOBAL_BEST,0,42,0,0,0,4,5,0,24000.00,0.00,0,0,0,0,0,0
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,293,0,0,1095,1107,1095,12,1.08,GLOBAL_BEST,0,42,0,0,0,5,213,0,563.38,0.00,0,0,0,0,0,0
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,351,0,0,1093,1095,1093,2,0.18,GLOBAL_BEST,0,42,0,0,0,6,58,0,344.83,0.00,0,0,0,0,0,0
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,504,0,0,1064,1093,1064,29,2.65,GLOBAL_BEST,0,42,0,0,0,7,153,0,1895.42,0.00,0,0,0,0,0,0
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,1114,0,0,1040,1064,1040,24,2.26,GLOBAL_BEST,0,42,0,0,0,8,610,0,393.44,0.00,0,0,0,0,0,0
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,1116,0,0,1026,1040,1026,14,1.35,GLOBAL_BEST,0,42,0,0,0,9,2,0,70000.00,0.00,0,0,0,0,0,0
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,1117,0,0,1017,1026,1017,9,0.88,GLOBAL_BEST,0,42,0,0,0,10,1,0,90000.00,0.00,0,0,0,0,0,0
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,4647,1,0,1001,1017,1001,16,1.57,GLOBAL_BEST,0,42,0,0,0,11,3530,1,45.33,16000.00,0,0,0,0,0,0
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,4648,1,0,997,1001,997,4,0.40,GLOBAL_BEST,0,42,0,0,0,12,1,0,40000.00,0.00,0,0,0,0,0,0
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,8727,1,0,992,997,992,5,0.50,GLOBAL_BEST,0,42,0,0,0,13,4079,0,12.26,0.00,0,0,0,0,0,0
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,8746,1,0,986,992,986,6,0.60,GLOBAL_BEST,0,42,0,0,0,14,19,0,3157.89,0.00,0,0,0,0,0,0
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,9184,1,0,977,986,977,9,0.91,GLOBAL_BEST,0,42,0,0,0,15,438,0,205.48,0.00,0,0,0,0,0,0
cvrp-a32k5-lahc-s42,A-n32-k5,42,1,500000,100.0,adaptive,,1,0,0,9964,1,0,971,977,971,6,0.61,GLOBAL_BEST,0,42,0,0,0,16,780,0,76.92,0.00,0,0,0,0,0,0
