run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,worker_id,parent_worker_id,algorithm,week,worker_seed,depth,start_time_ms,finish_time_ms,finish_candidate,initial_temperature,final_temperature,temperature_at_best,best_candidate,plateau_count,branch_count,produced_global_best,final_penalty,best_penalty,start_penalty,improvement_per_10k,branches_per_10k,accepted_worse_pct,hard_reject_pct,first_plateau_candidate,last_improvement_candidate,local_best_improvements,accepted_worse,hard_rejects
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,2,-1,lahc,1,42,0,0,795,500000,100.000000,0.000000,0.000000,120536,0,12,0,445,435,3800,67.3000,0.2400,0.00,59.93,0,120536,0,0,747826
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,5,3,lahc,1,42,1,0,794,500000,100.000000,0.000000,0.000000,64079,0,9,0,460,445,860,8.3000,0.1800,0.00,58.48,0,64079,0,0,704285
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,4,2,sa,1,42,1,0,817,500000,100.000000,0.000100,8.358416,89824,4,0,0,435,435,860,8.5000,0.0000,1.79,59.79,189824,89824,42396,8926,743425
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,8,6,lahc,1,42,3,0,795,500000,100.000000,0.000000,0.000000,943,0,3,1,430,430,470,0.8000,0.0600,0.00,61.62,0,943,0,0,802870
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,1,-1,sa,1,42,0,0,904,500000,100.000000,36.861415,17.117487,63881,4,22,0,1030,440,3800,67.2000,0.4400,13.91,61.73,163881,63881,130163,69566,806407
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,7,5,sa,1,42,2,0,808,500000,100.000000,0.000100,12.224863,76064,4,0,0,460,460,470,0.2000,0.0000,1.79,60.85,176064,76064,39113,8947,777104
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,3,-1,tabu,1,42,0,0,3450,500000,100.000000,0.000000,0.000000,47539,4,15,0,1570,665,3800,62.7000,0.3000,35.66,61.87,147539,47539,316467,178312,3093662
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,6,4,tabu,1,42,2,0,3416,500000,100.000000,0.000000,0.000000,169970,4,0,0,1325,665,860,3.9000,0.0000,35.64,61.89,105567,169970,316676,178189,3094501
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,9,7,tabu,1,42,3,0,3425,500000,100.000000,0.000000,0.000000,0,4,0,0,1485,470,470,0.0000,0.0000,35.62,61.84,100001,0,316713,178090,3092063
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,2,-1,lahc,2,123,0,0,860,500000,100.000000,0.000000,0.000000,169865,0,0,0,305,280,3770,69.8000,0.0000,0.00,58.81,0,169865,0,0,713975
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,5,3,lahc,2,123,1,0,890,500000,100.000000,0.000000,0.000000,44775,0,9,0,305,260,565,6.1000,0.1800,0.00,58.86,0,44775,0,0,715425
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,8,6,lahc,2,123,3,0,871,500000,100.000000,0.000000,0.000000,79026,0,2,0,275,245,365,2.4000,0.0400,0.00,59.79,0,79026,0,0,743471
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,1,-1,sa,2,123,0,0,983,500000,100.000000,67.077366,9.406672,85548,4,36,0,1720,245,3770,70.5000,0.7200,13.77,61.21,185548,85548,127085,68873,789011
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,7,5,sa,2,123,2,0,907,500000,100.000000,0.000100,11.286623,78954,4,0,0,305,290,365,1.5000,0.0000,1.90,59.28,178954,78954,34736,9497,727856
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,4,2,sa,2,123,1,0,983,500000,100.000000,27.544316,5.754134,103336,3,2,1,1020,230,565,6.7000,0.0400,13.16,60.75,203336,103336,121497,65793,773927
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,11,9,lahc,2,123,4,0,879,500000,100.000000,0.000000,0.000000,0,0,0,0,235,235,235,0.0000,0.0000,0.00,58.20,0,0,0,0,696169
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,10,8,sa,2,123,4,0,935,500000,100.000000,0.000100,0.000000,0,4,0,0,305,235,235,0.0000,0.0000,1.93,58.88,150172,0,31946,9668,715887
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,3,-1,tabu,2,123,0,0,3463,500000,100.000000,0.000000,0.000000,314634,3,15,0,980,535,3770,64.7000,0.3000,35.61,61.24,103344,314634,317165,178026,3062078
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,6,4,tabu,2,123,2,0,3521,500000,100.000000,0.000000,0.000000,338835,3,1,0,1285,455,565,2.2000,0.0200,35.59,61.25,208008,338835,317314,177945,3062573
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,9,7,tabu,2,123,3,0,3524,500000,100.000000,0.000000,0.000000,0,4,0,0,1470,365,365,0.0000,0.0000,35.56,61.23,100001,0,317556,177785,3061519
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T15:01:28+01:00,12,10,tabu,2,123,5,0,3446,500000,100.000000,0.000000,0.000000,0,4,0,0,1130,235,235,0.0000,0.0000,35.52,61.29,100001,0,317568,177624,3064470
