run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,beam_path,candidate,elapsed_ms,temperature_at_event,current_penalty,previous_best,new_best,improvement,improvement_percent,event_type,branch_depth,seed_used,accepted_worse_count,hard_reject_count,soft_reject_count,discovery_number,cands_since_previous,time_since_previous_ms,improvement_per_10k,improvement_per_second,post_reheat_improved,post_reheat_best_delta,post_reheat_candidates_to_improve,post_reheat_spawned_branch,post_reheat_beat_global,post_reheat_on_winning_lineage
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,1,0,3,1,1,100.000000,3710,3800,3710,90,2.3684,GLOBAL_BEST,0,202,0,4,0,1,1,1,900000.0000,90000.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,1,3,3,1,1,100.000000,3520,3640,3520,120,3.2967,LOCAL_BEST,1,202,0,6,0,2,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,1,2,3,1,1,100.000000,3635,3710,3635,75,2.0216,LOCAL_BEST,1,202,0,2,0,3,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,1,8,3,1,1,100.000000,2830,2920,2830,90,3.0822,LOCAL_BEST,4,202,0,0,0,4,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,1,7,3,1,4,100.000000,3125,3155,3125,30,0.9509,LOCAL_BEST,3,202,0,2,0,5,0,3,0.0000,10000.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,1,10,3,1,828,100.000000,2835,2850,2835,15,0.5263,LOCAL_BEST,5,202,0,3,0,6,0,824,0.0000,18.2039,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,1,13,3,1,841,100.000000,2465,2530,2465,65,2.5692,LOCAL_BEST,6,202,0,0,0,7,0,13,0.0000,5000.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,1,14,3,1,841,100.000000,2300,2465,2300,165,6.6937,LOCAL_BEST,7,202,0,3,0,8,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,1,15,3,1,846,100.000000,2285,2300,2285,15,0.6522,LOCAL_BEST,7,202,0,0,0,9,0,5,0.0000,3000.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,1,17,3,1,1554,100.000000,2025,2055,2025,30,1.4599,LOCAL_BEST,8,202,0,4,0,10,0,708,0.0000,42.3729,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,1,35,3,1,3060,100.000000,1380,1395,1380,15,1.0753,LOCAL_BEST,17,202,0,2,0,11,0,1506,0.0000,9.9602,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,1,38,3,1,3081,100.000000,1245,1290,1245,45,3.4884,LOCAL_BEST,19,202,0,0,0,12,0,21,0.0000,2142.8571,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,1,46,3,1,3823,100.000000,935,1020,935,85,8.3333,LOCAL_BEST,23,202,0,0,0,13,0,742,0.0000,114.5553,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,1,47,3,1,3834,100.000000,985,1000,985,15,1.5000,LOCAL_BEST,23,202,0,0,0,14,0,11,0.0000,1363.6364,0,0,0,0,0,0
