path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
3,0,1,202,385,385,80,40000000,5395603,60271187,4157382,1238221,34604397,60.1082,7658,1,1,1
1,0,1,42,395,395,78,39000000,5195885,58565606,4028677,1167208,33804115,60.0269,7576,1,2,0
2,0,1,101,400,400,69,34500000,4686146,52161191,3600405,1085741,29813854,60.1898,6748,1,3,0
4,3,2,42,245,630,64,32000000,4218381,46532090,3092719,1125662,27781619,59.2523,5712,1,1,0
6,3,2,202,260,645,65,32500000,4298108,46944463,3165306,1132802,28201892,59.0909,6618,1,2,1
5,3,2,101,270,655,64,32000000,3847570,46112682,2843374,1004196,28152430,59.0335,5763,1,3,0
12,2,2,202,260,660,75,37500000,4792002,54744604,3496310,1295692,32707998,59.3472,7533,1,4,0
9,1,2,202,275,670,72,36000000,4525772,52702608,3328240,1197532,31474228,59.4149,6713,1,5,0
8,1,2,101,280,675,65,32500000,3880016,47768677,2876455,1003561,28619984,59.5110,6437,0,0,0
10,2,2,42,275,675,68,34000000,4176681,49477312,3078638,1098043,29823319,59.2704,6355,0,0,0
11,2,2,101,275,675,67,33500000,4358505,48468162,3195686,1162819,29141495,59.1305,6576,0,0,0
7,1,2,42,300,695,74,37000000,4466188,54083277,3312121,1154067,32533812,59.3778,7913,0,0,0
16,6,3,42,445,1090,83,41500000,5004679,59159671,3847707,1156972,36495321,58.7720,8896,1,1,1
17,6,3,101,445,1090,69,34500000,4679976,49441228,3521736,1158240,29820024,58.8998,7008,1,2,0
18,6,3,202,445,1090,73,36500000,4858685,52065713,3683125,1175560,31641315,58.7877,7518,1,3,0
14,4,3,101,470,1100,83,41500000,5604044,60085922,4234251,1369793,35895956,59.1479,8920,1,4,0
15,4,3,202,470,1100,65,32500000,4265080,46848445,3228010,1037070,28234920,59.0414,7038,1,5,0
13,4,3,42,485,1115,70,35000000,4539342,51118013,3458721,1080621,30460658,59.3581,7358,0,0,0
22,12,3,42,465,1125,73,36500000,4892989,52768909,3732167,1160822,31607011,59.1123,7958,0,0,0
24,12,3,202,465,1125,79,39500000,5218557,56939231,4003406,1215151,34281443,59.0416,7684,0,0,0
25,9,3,42,455,1125,76,38000000,5136962,54763342,3894836,1242126,32863038,59.0355,7788,0,0,0
27,9,3,202,455,1125,79,39500000,5268192,56939193,4040710,1227482,34231808,59.0415,8122,0,0,0
23,12,3,101,480,1140,76,38000000,5223040,54998546,3974182,1248858,32776960,59.1391,7653,0,0,0
26,9,3,101,470,1140,68,34000000,4428145,48909072,3414930,1013215,29571855,58.9912,7250,0,0,0
19,5,3,42,490,1145,63,31500000,4436891,45506925,3367393,1069498,27063109,59.0946,6168,0,0,0
21,5,3,202,495,1150,82,41000000,5459654,58896432,4172363,1287291,35540346,58.9575,8693,0,0,0
20,5,3,101,500,1155,77,38500000,4994006,55528215,3857028,1136978,33505994,59.0548,7682,0,0,0
28,16,4,42,105,1195,71,35500000,4594618,55114308,3546999,1047619,30905382,60.8230,5764,1,1,0
29,16,4,101,105,1195,80,40000000,5365638,62403456,4079922,1285716,34634362,60.9388,6390,1,2,1
30,16,4,202,120,1210,69,34500000,4396302,54150894,3373964,1022338,30103698,61.0833,5538,1,3,0
41,15,4,101,115,1215,72,36000000,4603367,54564260,3485547,1117820,31396633,60.2492,5776,1,4,0
31,17,4,42,135,1225,71,35500000,4447002,53739793,3361828,1085174,31052998,60.2195,5646,1,5,0
32,17,4,101,135,1225,77,38500000,4914150,58087186,3721294,1192856,33585850,60.1396,6703,0,0,0
34,18,4,42,135,1225,78,39000000,5066795,62217955,3902755,1164040,33933205,61.4693,6636,0,0,0
40,15,4,42,130,1230,71,35500000,4663872,53738667,3503115,1160757,30836128,60.2190,5645,0,0,0
37,14,4,42,135,1235,71,35500000,4625816,53873628,3447197,1178619,30874184,60.2791,5694,0,0,0
38,14,4,101,135,1235,79,39500000,4887003,59397472,3694874,1192129,34612997,60.0596,6314,0,0,0
39,14,4,202,135,1235,65,32500000,3988952,48867162,3027687,961265,28511048,60.0576,5652,0,0,0
42,15,4,202,135,1235,64,32000000,4296207,48774832,3197028,1099179,27703793,60.3837,5435,0,0,0
33,17,4,202,150,1240,71,35500000,4673452,53577495,3525339,1148113,30826548,60.1471,6295,0,0,0
35,18,4,101,150,1240,68,34000000,4473917,54152483,3448950,1024967,29526083,61.4305,5785,0,0,0
36,18,4,202,150,1240,67,33500000,4543942,53271780,3465357,1078585,28956058,61.3930,5570,0,0,0
48,29,5,202,320,1515,68,34000000,4206321,51556203,3140133,1066188,29793679,60.2600,6494,1,1,1
49,30,5,42,305,1515,76,38000000,4892736,57429441,3662782,1229954,33107264,60.1800,6979,1,2,0
50,30,5,101,305,1515,76,38000000,4550130,57197957,3442613,1107517,33449870,60.0832,6977,1,3,0
51,30,5,202,305,1515,79,39500000,5148305,59949901,3843318,1304987,34351695,60.2815,7058,1,4,0
46,29,5,42,325,1520,62,31000000,4107441,47203530,3041605,1065836,26892559,60.3598,5897,1,5,0
47,29,5,101,325,1520,67,33500000,4322154,50790589,3210364,1111790,29177846,60.2565,6469,0,0,0
43,28,5,42,340,1535,79,39500000,4974769,59476502,3759244,1215525,34525231,60.0915,7418,0,0,0
45,28,5,202,340,1535,73,36500000,4800068,55057603,3589873,1210195,31699932,60.1344,6967,0,0,0
44,28,5,101,345,1540,72,36000000,4530838,54070617,3438090,1092748,31469162,60.0314,6464,0,0,0
54,41,5,202,335,1550,58,29000000,3652652,44362022,2720166,932486,25347348,60.4700,5796,0,0,0
52,41,5,42,350,1565,60,30000000,3887368,45544799,2901369,985999,26112632,60.2885,5630,0,0,0
53,41,5,101,350,1565,88,44000000,5624694,67030527,4209744,1414950,38375306,60.3713,8115,0,0,0
55,31,5,42,345,1570,63,31500000,4441588,48041177,3292987,1148601,27058412,60.3979,5706,0,0,0
56,31,5,101,345,1570,71,35500000,4475711,53695250,3379164,1096547,31024289,60.1997,6262,0,0,0
57,31,5,202,355,1580,61,30500000,4126403,46464761,3053838,1072565,26373597,60.3715,5589,0,0,0
58,48,6,42,215,1730,62,31000000,4156328,50077051,3076110,1080218,26843672,61.7648,5454,1,1,0
59,48,6,101,215,1730,71,35500000,4563190,57495341,3389406,1173784,30936810,61.8260,6059,1,2,0
60,48,6,202,215,1730,60,30000000,3917102,48657468,2912328,1004774,26082898,61.8599,5298,1,3,1
70,46,6,42,210,1730,78,39000000,5025163,63520227,3838605,1186558,33974837,61.9587,6735,1,4,0
66,50,6,202,220,1735,74,37000000,4702745,59070803,3504644,1198101,32297255,61.4867,6587,1,5,0
71,46,6,101,220,1740,70,35000000,4714936,56593108,3549783,1165153,30285064,61.7875,6278,0,0,0
72,46,6,202,220,1740,69,34500000,4861270,56187247,3637638,1223632,29638730,61.9572,6508,0,0,0
63,49,6,202,230,1745,61,30500000,4057962,49123875,2982000,1075962,26442038,61.6949,6296,0,0,0
64,50,6,42,235,1750,59,29500000,3659090,47078243,2721181,937909,25840910,61.4773,6074,0,0,0
65,50,6,101,240,1755,64,32000000,4222595,51111438,3112928,1109667,27777405,61.4975,5549,0,0,0
61,49,6,42,245,1760,70,35000000,4408101,56187438,3245644,1162457,30591899,61.6175,5996,0,0,0
62,49,6,101,250,1765,78,39000000,4713412,62423887,3478496,1234916,34286588,61.5475,6858,0,0,0
68,51,6,101,250,1765,65,32500000,4853801,52895010,3570068,1283733,27646199,61.9416,6101,0,0,0
69,51,6,202,250,1765,72,36000000,4474201,58544432,3364593,1109608,31525799,61.9227,6173,0,0,0
67,51,6,42,255,1770,58,29000000,4162124,47088341,3068500,1093624,24837876,61.8864,5261,0,0,0
79,60,7,42,210,1940,75,37500000,5320112,64066677,4048125,1271987,32179888,63.0784,6620,1,1,0
80,60,7,101,215,1945,93,46500000,6254257,79958479,4751916,1502341,40245743,63.2290,7677,1,2,1
81,60,7,202,220,1950,72,36000000,5150916,61958821,3861814,1289102,30849084,63.2499,5795,1,3,0
73,58,7,42,225,1955,70,35000000,4864346,59582365,3637210,1227136,30135654,62.9952,6191,1,4,0
75,58,7,202,235,1965,78,39000000,5246917,66519687,3952569,1294348,33753083,63.0401,6676,1,5,0
76,59,7,42,235,1965,86,43000000,5896914,74126459,4522502,1374412,37103086,63.2875,7250,0,0,0
78,59,7,202,235,1965,71,35500000,5059772,60870359,3827441,1232331,30440228,63.1629,6066,0,0,0
77,59,7,101,240,1970,86,43000000,6042099,73934656,4610954,1431145,36957901,63.2273,7623,0,0,0
74,58,7,101,250,1980,66,33000000,4359314,56145316,3290472,1068842,28640686,62.9818,6265,0,0,0
85,66,7,42,260,1995,68,34000000,5212133,58098200,3869064,1343069,28787867,63.0829,5687,0,0,0
86,66,7,101,260,1995,63,31500000,4894471,53909102,3620007,1274464,26605529,63.1187,5344,0,0,0
87,66,7,202,260,1995,63,31500000,4621643,53886962,3461435,1160208,26878357,63.1091,5631,0,0,0
82,70,7,42,275,2005,69,34500000,5253746,59892306,3906836,1346910,29246254,63.4504,5792,0,0,0
84,70,7,202,275,2005,66,33000000,4953225,57180166,3710231,1242994,28046775,63.4066,5699,0,0,0
83,70,7,101,280,2010,79,39500000,5494282,68839178,4187157,1307125,34005718,63.5404,6392,0,0,0
92,80,8,101,1690,3635,70,35000000,5004505,51698816,3790652,1213853,29995495,59.6304,6478,1,1,1
93,80,8,202,1690,3635,79,39500000,5708142,58014452,4339022,1369120,33791858,59.4932,7269,1,2,0
91,80,8,42,1700,3645,69,34500000,4827442,51034791,3682816,1144626,29672558,59.6655,6428,1,3,0
89,79,8,101,1720,3660,91,45500000,6541305,66388663,4999763,1541542,38958695,59.3346,8792,1,4,0
88,79,8,42,1725,3665,66,33000000,5215159,48833032,3911930,1303229,27784841,59.6740,6815,1,5,0
90,79,8,202,1730,3670,85,42500000,5966462,61921803,4593540,1372922,36533538,59.2997,8176,0,0,0
94,81,8,42,1725,3675,74,37000000,5787794,55834461,4344994,1442800,31212206,60.1441,7168,0,0,0
95,81,8,101,1725,3675,81,40500000,6154536,60735096,4699079,1455457,34345464,59.9941,7815,0,0,0
96,81,8,202,1725,3675,75,37500000,5564567,56566117,4241518,1323049,31935433,60.1344,7124,0,0,0
100,75,8,42,1725,3690,75,37500000,5863045,55909928,4491305,1371740,31636955,59.8544,7387,0,0,0
101,75,8,101,1725,3690,83,41500000,6674029,62076329,5105306,1568723,34825971,59.9329,8136,0,0,0
102,75,8,202,1725,3690,72,36000000,5691781,53268975,4344536,1347245,30308219,59.6724,6425,0,0,0
98,73,8,101,1765,3720,65,32500000,4789777,48056294,3686734,1103043,27710223,59.6555,6292,0,0,0
99,73,8,202,1765,3720,79,39500000,5718009,58203844,4426264,1291745,33781991,59.5717,7138,0,0,0
97,73,8,42,1770,3725,66,33000000,4971668,48925495,3797288,1174380,28028332,59.7195,6460,0,0,0
