run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,worker_id,parent_worker_id,week,worker_seed,depth,start_time_ms,finish_time_ms,finish_candidate,initial_temperature,final_temperature,temperature_at_best,best_candidate,plateau_count,branch_count,produced_global_best,final_penalty,best_penalty,start_penalty,improvement_per_10k,branches_per_10k,accepted_worse_pct,hard_reject_pct,first_plateau_candidate,last_improvement_candidate,local_best_improvements,accepted_worse,hard_rejects
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,7,5,1,202,3,0,820,500000,100.000000,66.656115,9.466120,85320,4,1,0,1525,400,3155,55.1000,0.0200,13.22,61.65,185320,85320,123604,66096,803921
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,0,-1,1,202,0,0,826,500000,100.000000,74.363530,8.485003,89280,4,14,0,1695,475,3800,66.5000,0.2800,13.08,61.62,189280,89280,121971,65382,802780
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,4,2,1,202,2,0,826,500000,100.000000,40.274671,15.666789,67086,4,7,0,1150,445,3490,60.9000,0.1400,13.88,61.62,167086,67086,129751,69421,802877
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,6,4,1,202,3,0,839,500000,100.000000,54.478859,11.582012,78019,4,15,0,1045,400,3185,55.7000,0.3000,13.50,61.59,178019,78019,126751,67478,801818
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,8,6,1,202,4,0,840,500000,100.000000,64.997402,9.707692,84408,4,9,0,1470,400,2920,50.4000,0.1800,13.36,61.44,184408,84408,125740,66791,796559
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,2,0,1,202,1,0,840,500000,100.000000,41.558896,15.182665,68222,4,9,0,945,485,3710,64.5000,0.1800,13.85,61.57,168222,68222,129084,69228,801010
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,5,3,1,202,2,0,845,500000,100.000000,45.441013,13.885579,71454,4,13,0,1315,410,3340,58.6000,0.2600,13.70,61.79,171454,71454,128370,68481,808591
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,3,1,1,202,1,0,848,500000,100.000000,27.504769,22.940559,53284,4,9,0,905,505,3640,62.7000,0.1800,14.13,61.68,153284,53284,130512,70636,804732
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,9,7,1,202,4,0,729,500000,100.000000,0.000100,9.907954,83669,4,0,0,470,470,2860,47.8000,0.0000,1.73,59.79,183669,83669,37778,8673,743420
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,10,8,1,202,5,0,749,500000,100.000000,0.000100,10.804483,80534,4,0,0,440,440,2850,48.2000,0.0000,1.73,59.76,180534,80534,45741,8668,742478
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,11,9,1,202,5,0,749,500000,100.000000,0.000100,7.377275,94343,4,0,1,385,385,2730,46.9000,0.0000,1.75,59.85,194343,94343,36298,8727,745281
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,13,11,1,202,6,0,736,500000,100.000000,0.000100,7.821895,92225,4,0,0,410,410,2530,42.4000,0.0000,1.73,60.21,192225,92225,40003,8637,756495
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,12,10,1,202,6,0,747,500000,100.000000,0.000100,14.170462,70719,4,0,0,410,410,2580,43.4000,0.0000,1.76,60.13,170719,70719,40555,8798,754136
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,15,13,1,202,7,0,744,500000,100.000000,0.000100,16.888691,64368,4,0,0,470,415,2300,37.7000,0.0000,1.79,60.79,164368,64368,45390,8936,775319
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T23:09:42+01:00,16,14,1,202,8,0,750,500000,100.000000,0.000100,13.759543,71784,4,0,0,505,470,2220,35.0000,0.0000,1.81,58.85,171784,71784,42042,9075,715118
