path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
1,0,1,42,395,395,6,3000000,584791,4592772,0,0,0,60.4887,1738,1,1,0
2,0,1,123,400,400,5,2500000,552527,3876005,0,0,0,60.7905,1065,1,2,1
3,0,1,777,400,400,7,3500000,660215,5354585,0,0,0,60.4725,1317,1,3,0
8,2,2,123,230,630,7,3500000,626163,5186584,0,0,0,59.7080,1103,1,1,1
10,3,2,42,230,630,8,4000000,652128,5986949,0,0,0,59.9477,1271,1,2,0
11,3,2,123,230,630,8,4000000,697579,5875870,0,0,0,59.4972,1583,1,3,0
9,2,2,777,240,640,9,4500000,604227,6591480,0,0,0,59.4283,1437,1,4,0
12,3,2,777,250,650,8,4000000,645433,5843339,0,0,0,59.3634,1090,1,5,0
7,2,2,42,270,670,6,3000000,650134,4604682,0,0,0,60.5506,1010,0,0,0
6,1,2,777,290,685,6,3000000,585925,4337987,0,0,0,59.1169,1099,0,0,0
4,1,2,42,295,690,7,3500000,607758,5030426,0,0,0,58.9704,1180,0,0,0
5,1,2,123,335,730,7,3500000,633254,5112993,0,0,0,59.3637,1413,0,0,0
17,10,3,123,460,1090,6,3000000,619942,4483500,0,0,0,59.9118,1056,1,1,0
18,10,3,777,465,1095,8,4000000,688625,5815319,0,0,0,59.2474,1586,1,2,0
14,8,3,123,470,1100,7,3500000,685729,5180604,0,0,0,59.6802,1210,1,3,1
15,8,3,777,470,1100,9,4500000,685007,6662409,0,0,0,59.6861,1610,1,4,0
26,12,3,123,455,1105,6,3000000,623582,4495692,0,0,0,59.9770,1095,1,5,0
19,11,3,42,480,1110,8,4000000,633766,5719970,0,0,0,58.8476,1402,0,0,0
25,12,3,42,460,1110,8,4000000,718320,5871149,0,0,0,59.4779,1317,0,0,0
27,12,3,777,460,1110,7,3500000,654820,5199669,0,0,0,59.7686,1229,0,0,0
13,8,3,42,485,1115,7,3500000,653269,5228116,0,0,0,59.8997,1232,0,0,0
20,11,3,123,495,1125,6,3000000,597287,4474333,0,0,0,59.8626,1288,0,0,0
16,10,3,42,510,1140,5,2500000,542014,3732261,0,0,0,59.8861,1335,0,0,0
21,11,3,777,510,1140,7,3500000,655562,5116750,0,0,0,59.3814,1486,0,0,0
22,9,3,42,500,1140,8,4000000,690641,5798452,0,0,0,59.1772,1327,0,0,0
23,9,3,123,500,1140,6,3000000,645209,4477281,0,0,0,59.8785,1449,0,0,0
24,9,3,777,535,1175,7,3500000,638810,5082704,0,0,0,59.2203,1675,0,0,0
31,18,4,42,130,1225,9,4500000,682188,6931884,0,0,0,60.6364,1108,1,1,0
37,15,4,42,130,1230,9,4500000,695752,6939086,0,0,0,60.6612,1461,1,2,0
34,14,4,42,135,1235,7,3500000,609012,5486157,0,0,0,61.0512,1077,1,3,1
39,15,4,777,135,1235,8,4000000,628582,6266721,0,0,0,61.0392,1078,1,4,0
29,17,4,123,150,1240,10,5000000,658075,7676903,0,0,0,60.5582,1717,1,5,0
33,18,4,777,145,1240,8,4000000,599104,6167675,0,0,0,60.6596,1403,0,0,0
32,18,4,123,150,1245,10,5000000,689157,7538357,0,0,0,60.1224,1202,0,0,0
42,26,4,777,145,1250,9,4500000,632312,6866205,0,0,0,60.4089,1490,0,0,0
28,17,4,42,165,1255,7,3500000,584507,5513378,0,0,0,61.1688,1084,0,0,0
36,14,4,777,165,1265,5,2500000,553303,3989226,0,0,0,61.4746,996,0,0,0
38,15,4,123,165,1265,6,3000000,567698,4698916,0,0,0,61.0335,936,0,0,0
30,17,4,777,180,1270,7,3500000,595964,5385642,0,0,0,60.6106,1229,0,0,0
40,26,4,42,165,1270,5,2500000,504476,3976613,0,0,0,61.3996,848,0,0,0
41,26,4,123,165,1270,6,3000000,607831,4668125,0,0,0,60.8770,1036,0,0,0
35,14,4,123,175,1275,6,3000000,621801,4744111,0,0,0,61.2609,1052,0,0,0
49,34,5,42,300,1535,8,4000000,634258,6058999,0,0,0,60.2346,1320,1,1,1
51,34,5,777,310,1545,7,3500000,646953,5399123,0,0,0,60.6703,1127,1,2,0
56,29,5,123,325,1565,7,3500000,577139,5425272,0,0,0,60.7855,1458,1,3,0
55,29,5,42,340,1580,7,3500000,583261,5389898,0,0,0,60.6295,1258,1,4,0
46,37,5,42,355,1585,7,3500000,611120,5512251,0,0,0,61.1640,1137,1,5,0
47,37,5,123,355,1585,8,4000000,645012,6157449,0,0,0,60.6200,1296,0,0,0
48,37,5,777,360,1590,6,3000000,541158,4656505,0,0,0,60.8176,1044,0,0,0
50,34,5,123,355,1590,6,3000000,603844,4613986,0,0,0,60.5988,1209,0,0,0
57,29,5,777,350,1590,8,4000000,606273,6065281,0,0,0,60.2594,1615,0,0,0
43,31,5,42,375,1600,6,3000000,610194,4696307,0,0,0,61.0203,988,0,0,0
45,31,5,777,375,1600,10,5000000,663622,7610943,0,0,0,60.3519,1607,0,0,0
54,39,5,777,365,1600,7,3500000,584451,5495158,0,0,0,61.0902,1286,0,0,0
53,39,5,123,370,1605,6,3000000,594298,4613623,0,0,0,60.5969,1142,0,0,0
44,31,5,123,385,1610,5,2500000,553074,3928148,0,0,0,61.1085,1030,0,0,0
52,39,5,42,395,1630,7,3500000,593294,5305377,0,0,0,60.2516,1183,0,0,0
60,49,6,777,180,1715,7,3500000,606993,5698906,0,0,0,61.9520,1561,1,1,0
58,49,6,42,195,1730,7,3500000,554616,5763759,0,0,0,62.2184,1235,1,2,0
59,49,6,123,195,1730,6,3000000,561588,4925447,0,0,0,62.1472,1489,1,3,1
62,51,6,123,220,1765,6,3000000,542306,4830681,0,0,0,61.6892,1046,1,4,0
67,55,6,42,190,1770,7,3500000,670866,5828954,0,0,0,62.4824,1017,1,5,0
66,56,6,777,220,1785,7,3500000,627768,5839711,0,0,0,62.5256,1128,0,0,0
65,56,6,123,240,1805,7,3500000,576132,5687508,0,0,0,61.9048,1073,0,0,0
61,51,6,42,270,1815,8,4000000,636738,6373511,0,0,0,61.4402,1141,0,0,0
64,56,6,42,250,1815,4,2000000,520935,3389962,0,0,0,62.8940,801,0,0,0
68,55,6,123,235,1815,6,3000000,633357,4958611,0,0,0,62.3050,1025,0,0,0
70,46,6,42,240,1825,6,3000000,556935,4937663,0,0,0,62.2055,955,0,0,0
63,51,6,777,285,1830,6,3000000,578808,4867603,0,0,0,61.8689,1375,0,0,0
69,55,6,777,250,1830,6,3000000,589897,4911585,0,0,0,62.0809,1112,0,0,0
72,46,6,777,275,1860,7,3500000,614688,5755596,0,0,0,62.1850,1147,0,0,0
71,46,6,123,280,1865,8,4000000,693863,6504385,0,0,0,61.9207,1148,0,0,0
77,58,7,123,155,1885,7,3500000,693530,6022127,0,0,0,63.2435,1007,1,1,0
80,59,7,123,175,1905,6,3000000,632799,5274123,0,0,0,63.7424,1159,1,2,1
79,59,7,42,190,1920,8,4000000,667061,7034261,0,0,0,63.7493,1283,1,3,0
73,60,7,42,210,1925,6,3000000,608757,5300570,0,0,0,63.8579,964,1,4,0
74,60,7,123,235,1950,7,3500000,680854,6071841,0,0,0,63.4344,1105,1,5,0
78,58,7,777,220,1950,7,3500000,647361,5964108,0,0,0,63.0182,1155,0,0,0
81,59,7,777,220,1950,7,3500000,671524,6179677,0,0,0,63.8418,917,0,0,0
83,62,7,123,185,1950,10,5000000,741641,8583092,0,0,0,63.1895,1447,0,0,0
82,62,7,42,195,1960,6,3000000,580763,5206933,0,0,0,63.4455,876,0,0,0
75,60,7,777,255,1970,7,3500000,731869,6186664,0,0,0,63.8678,1210,0,0,0
76,58,7,42,240,1970,7,3500000,671056,6002896,0,0,0,63.1691,1000,0,0,0
85,67,7,42,210,1980,9,4500000,753076,7992329,0,0,0,63.9779,1316,0,0,0
84,62,7,777,220,1985,6,3000000,635607,5198422,0,0,0,63.4076,1021,0,0,0
87,67,7,777,250,2020,7,3500000,683636,6300570,0,0,0,64.2878,1129,0,0,0
86,67,7,123,265,2035,6,3000000,619384,5269735,0,0,0,63.7231,1127,0,0,0
92,80,8,123,1725,3630,6,3000000,700173,4730330,0,0,0,61.1918,1158,1,1,1
91,80,8,42,1730,3635,7,3500000,669764,5375157,0,0,0,60.5641,1353,1,2,0
93,80,8,777,1735,3640,6,3000000,675455,4638288,0,0,0,60.7242,1138,1,3,0
89,77,8,123,1770,3655,8,4000000,724484,5993123,0,0,0,59.9725,1398,1,4,0
88,77,8,42,1775,3660,8,4000000,720442,5995280,0,0,0,59.9811,1273,1,5,0
90,77,8,777,1780,3665,6,3000000,640947,4734988,0,0,0,61.2152,1253,0,0,0
97,73,8,42,1740,3665,11,5500000,868768,8230318,0,0,0,59.9427,1573,0,0,0
98,73,8,123,1745,3670,7,3500000,701697,5365026,0,0,0,60.5190,1355,0,0,0
99,73,8,777,1760,3685,7,3500000,717630,5339965,0,0,0,60.4071,1200,0,0,0
94,79,8,42,1775,3695,8,4000000,702743,6129063,0,0,0,60.5097,1579,0,0,0
96,79,8,777,1775,3695,7,3500000,679423,5294757,0,0,0,60.2036,1657,0,0,0
95,79,8,123,1780,3700,6,3000000,719195,4580597,0,0,0,60.4253,1148,0,0,0
100,74,8,42,1805,3755,8,4000000,699925,6065450,0,0,0,60.2601,1235,0,0,0
101,74,8,123,1810,3760,6,3000000,649289,4569122,0,0,0,60.3653,1077,0,0,0
102,74,8,777,1810,3760,7,3500000,702717,5256842,0,0,0,60.0313,1305,0,0,0
