run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,beam_path,candidate,elapsed_ms,temperature_at_event,current_penalty,previous_best,new_best,improvement,improvement_percent,event_type,branch_depth,seed_used,accepted_worse_count,hard_reject_count,soft_reject_count,discovery_number,cands_since_previous,time_since_previous_ms,improvement_per_10k,improvement_per_second,post_reheat_improved,post_reheat_best_delta,post_reheat_candidates_to_improve,post_reheat_spawned_branch,post_reheat_beat_global,post_reheat_on_winning_lineage
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:59:32+01:00,1,0,2,1,1,0.000000,3530,3800,3530,270,7.1053,GLOBAL_BEST,0,123,0,2,0,1,1,1,2700000.0000,270000.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:59:32+01:00,1,0,2,2,1,0.000000,3280,3530,3280,250,7.0822,GLOBAL_BEST,0,123,0,7,0,2,1,0,2500000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:59:32+01:00,1,0,2,11,1,0.000000,3190,3280,3190,90,2.7439,GLOBAL_BEST,0,123,0,20,0,3,9,0,100000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:59:32+01:00,1,0,2,13,1,0.000000,3160,3190,3160,30,0.9404,GLOBAL_BEST,0,123,0,22,0,4,2,0,150000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:59:32+01:00,1,0,2,14,1,0.000000,3130,3160,3130,30,0.9494,GLOBAL_BEST,0,123,0,23,0,5,1,0,300000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:59:32+01:00,1,2,2,14,50,0.000000,1355,1385,1355,30,2.1661,GLOBAL_BEST,1,123,0,29,11,6,0,49,0.0000,612.2449,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:59:32+01:00,1,3,2,14,161,0.000000,765,840,765,75,8.9286,GLOBAL_BEST,1,123,0,11,13,7,0,111,0.0000,675.6757,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:59:32+01:00,1,0,2,15,1,0.000000,3040,3130,3040,90,2.8754,GLOBAL_BEST,0,123,0,23,0,8,1,-160,900000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:59:32+01:00,1,0,2,16,1,0.000000,2815,3040,2815,225,7.4013,GLOBAL_BEST,0,123,0,25,0,9,1,0,2250000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:59:32+01:00,1,0,2,20,1,0.000000,2560,2815,2560,255,9.0586,GLOBAL_BEST,0,123,0,31,0,10,4,0,637500.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:59:32+01:00,1,0,2,21,1,0.000000,2530,2560,2530,30,1.1719,GLOBAL_BEST,0,123,0,36,0,11,1,0,300000.0000,0.0000,0,0,0,0,0,0
