path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
3,0,1,202,400,400,68,6800000,1831099,10637715,0,0,0,61.0041,693,1,1,1
1,0,1,42,400,400,79,7900000,2158986,12421996,0,0,0,61.1259,746,1,2,0
2,0,1,101,395,395,73,7300000,1853716,11416270,0,0,0,60.9965,728,1,3,0
5,0,1,404,400,400,70,7000000,1959812,10984271,0,0,0,61.0771,820,1,4,0
4,0,1,303,385,385,58,5800000,1485703,9025713,0,0,0,60.8788,548,1,5,0
11,1,2,42,210,610,73,7300000,1779596,10961250,0,0,0,60.0246,740,1,1,0
13,1,2,202,220,620,85,8500000,2212402,12701276,0,0,0,59.9081,759,1,2,0
8,3,2,202,240,640,83,8300000,2218786,12517488,0,0,0,60.1297,896,1,3,1
9,3,2,303,240,640,80,8000000,2074812,12064421,0,0,0,60.1284,780,1,4,0
15,1,2,404,220,620,77,7700000,1963493,11521862,0,0,0,59.9414,801,1,5,0
7,3,2,101,240,640,64,6400000,1679361,9612359,0,0,0,60.0309,568,1,6,0
16,2,2,42,240,635,74,7400000,1790289,11226524,0,0,0,60.2717,807,1,7,0
12,1,2,101,220,620,80,8000000,1954995,11982402,0,0,0,59.9648,788,1,8,0
14,1,2,303,240,640,78,7800000,2254232,11871443,0,0,0,60.3486,847,1,9,0
21,5,2,42,240,640,82,8200000,1949531,12067753,0,0,0,59.5416,785,1,10,0
28,4,2,202,290,675,83,8300000,2303028,12417542,0,0,0,59.9373,857,1,11,0
10,3,2,404,240,640,60,6000000,1659294,9027708,0,0,0,60.0738,699,1,12,0
20,2,2,404,260,655,76,7600000,1830373,11555295,0,0,0,60.3243,786,0,0,0
21,5,2,42,240,640,82,8200000,1949531,12067753,0,0,0,59.5416,785,1,10,0
22,5,2,101,245,645,74,7400000,1740910,10860513,0,0,0,59.4754,854,0,0,0
23,5,2,202,255,655,67,6700000,1803197,9965000,0,0,0,59.7960,734,0,0,0
19,2,2,303,265,660,69,6900000,2014183,10541275,0,0,0,60.4387,714,0,0,0
25,5,2,404,275,675,66,6600000,1837546,9809689,0,0,0,59.7799,701,0,0,0
17,2,2,101,260,655,74,7400000,2052039,11288161,0,0,0,60.4027,719,0,0,0
24,5,2,303,240,640,82,8200000,2352237,12249712,0,0,0,59.9016,856,0,0,0
28,4,2,202,290,675,83,8300000,2303028,12417542,0,0,0,59.9373,857,1,11,0
27,4,2,101,290,675,66,6600000,1677592,9841051,0,0,0,59.8566,688,0,0,0
29,4,2,303,290,675,77,7700000,2162148,11587463,0,0,0,60.0777,762,0,0,0
26,4,2,42,290,675,76,7600000,1838564,11300119,0,0,0,59.7886,780,0,0,0
30,4,2,404,315,700,67,6700000,1870698,10106350,0,0,0,60.1341,685,0,0,0
43,8,3,202,455,1095,90,9000000,2481072,13756551,0,0,0,60.4509,955,1,1,1
33,11,3,202,460,1070,86,8600000,2577237,12983127,0,0,0,60.1541,976,1,2,0
34,11,3,303,445,1055,89,8900000,2448665,13362079,0,0,0,60.0217,902,1,3,0
40,13,3,404,455,1075,79,7900000,1931809,11812169,0,0,0,59.9232,774,1,4,0
37,13,3,101,455,1075,80,8000000,2258677,12063983,0,0,0,60.1276,834,1,5,0
64,16,3,303,435,1070,80,8000000,2150231,12224286,0,0,0,60.4436,777,1,6,0
32,11,3,101,465,1075,74,7400000,1900128,10974598,0,0,0,59.7270,797,1,7,0
46,9,3,42,460,1100,77,7700000,2132532,11492794,0,0,0,59.8808,820,1,8,0
38,13,3,202,465,1085,73,7300000,1907299,10922444,0,0,0,59.9395,800,1,9,0
54,15,3,303,480,1100,74,7400000,1975175,11123581,0,0,0,60.0509,756,1,10,0
71,14,3,42,470,1110,98,9800000,2825606,14793851,0,0,0,60.1526,987,1,11,0
56,7,3,42,455,1095,80,8000000,2314404,12091276,0,0,0,60.1817,798,1,12,0
35,11,3,404,475,1085,62,6200000,1844289,9434681,0,0,0,60.3446,723,0,0,0
44,8,3,303,470,1110,88,8800000,2354293,13494989,0,0,0,60.5292,838,0,0,0
56,7,3,42,455,1095,80,8000000,2314404,12091276,0,0,0,60.1817,798,1,12,0
39,13,3,303,470,1090,68,6800000,1947357,10231647,0,0,0,60.0743,746,0,0,0
51,15,3,42,490,1110,66,6600000,1968325,9911018,0,0,0,60.0267,704,0,0,0
59,7,3,303,445,1085,70,7000000,1841327,10553040,0,0,0,60.1209,1082,0,0,0
31,11,3,42,470,1080,81,8100000,2183417,12214200,0,0,0,60.1264,846,0,0,0
67,12,3,101,475,1095,82,8200000,2110354,12201864,0,0,0,59.8076,899,0,0,0
87,10,3,101,460,1100,70,7000000,2087680,10757008,0,0,0,60.5789,719,0,0,0
50,9,3,404,445,1085,83,8300000,2007196,12297025,0,0,0,59.7029,810,0,0,0
53,15,3,202,445,1065,89,8900000,2301114,13300158,0,0,0,59.9102,1317,0,0,0
57,7,3,101,445,1085,95,9500000,2616447,14278167,0,0,0,60.0474,1372,0,0,0
47,9,3,101,455,1095,82,8200000,2176647,12163533,0,0,0,59.7319,806,0,0,0
65,16,3,404,480,1115,66,6600000,1859434,10063967,0,0,0,60.3936,732,0,0,0
88,10,3,202,455,1095,71,7100000,2016105,10832783,0,0,0,60.4077,772,0,0,0
58,7,3,202,445,1085,77,7700000,2139313,11557021,0,0,0,60.0146,807,0,0,0
69,12,3,303,475,1095,69,6900000,1813649,10344079,0,0,0,59.9863,707,0,0,0
36,13,3,42,470,1090,72,7200000,2147828,10891903,0,0,0,60.2032,812,0,0,0
78,21,3,202,455,1095,86,8600000,2235045,12807191,0,0,0,59.8266,817,0,0,0
52,15,3,101,445,1065,78,7800000,2010171,11582945,0,0,0,59.7584,781,0,0,0
55,15,3,404,445,1065,68,6800000,1725481,10181849,0,0,0,59.9572,723,0,0,0
80,21,3,404,445,1085,80,8000000,2153099,11930428,0,0,0,59.8604,869,0,0,0
66,12,3,42,490,1110,70,7000000,2016502,10569949,0,0,0,60.1592,723,0,0,0
68,12,3,202,495,1115,76,7600000,2190417,11492130,0,0,0,60.1930,777,0,0,0
90,10,3,404,445,1085,66,6600000,1744852,10050572,0,0,0,60.3617,695,0,0,0
86,10,3,42,460,1100,82,8200000,2255610,12408409,0,0,0,60.2104,831,0,0,0
63,16,3,202,455,1090,83,8300000,2351153,12691177,0,0,0,60.4596,1259,0,0,0
48,9,3,202,515,1155,68,6800000,2001959,10240906,0,0,0,60.0960,710,0,0,0
72,14,3,101,500,1140,74,7400000,2069641,11211240,0,0,0,60.2391,758,0,0,0
75,14,3,404,500,1140,70,7000000,1821844,10511080,0,0,0,60.0253,722,0,0,0
41,8,3,42,455,1095,89,8900000,2363152,13611981,0,0,0,60.4655,854,0,0,0
45,8,3,404,485,1125,60,6000000,1696255,9190215,0,0,0,60.5009,615,0,0,0
61,16,3,42,460,1095,76,7600000,2117534,11587281,0,0,0,60.3904,905,0,0,0
77,21,3,101,490,1130,86,8600000,2439437,12968197,0,0,0,60.1265,908,0,0,0
70,12,3,404,485,1105,63,6300000,1751902,9504246,0,0,0,60.1373,572,0,0,0
74,14,3,303,475,1115,66,6600000,1676144,9907778,0,0,0,60.0188,728,0,0,0
49,9,3,303,495,1135,75,7500000,1979965,11150721,0,0,0,59.7871,758,0,0,0
60,7,3,404,480,1120,71,7100000,1826954,10691146,0,0,0,60.0925,713,0,0,0
62,16,3,101,520,1155,68,6800000,2061889,10477601,0,0,0,60.6427,721,0,0,0
85,28,3,404,460,1135,63,6300000,1785077,9540468,0,0,0,60.2284,649,0,0,0
73,14,3,202,520,1160,64,6400000,1930354,9727348,0,0,0,60.3159,635,0,0,0
79,21,3,303,470,1110,69,6900000,2042545,10424310,0,0,0,60.1716,1078,0,0,0
84,28,3,303,465,1140,65,6500000,1769955,9832873,0,0,0,60.2030,1059,0,0,0
76,21,3,42,460,1100,84,8400000,2259812,12542319,0,0,0,59.8898,801,0,0,0
89,10,3,303,505,1145,67,6700000,1968107,10222451,0,0,0,60.4076,711,0,0,0
83,28,3,202,475,1150,72,7200000,1940043,10905821,0,0,0,60.2338,743,0,0,0
82,28,3,101,505,1180,65,6500000,2009158,9860630,0,0,0,60.2705,698,0,0,0
81,28,3,42,490,1165,64,6400000,1924572,9730420,0,0,0,60.3234,695,0,0,0
94,43,4,303,120,1215,65,6500000,1789806,10512352,0,0,0,61.7925,562,1,1,1
114,37,4,303,120,1195,71,7100000,1901177,11370717,0,0,0,61.5608,629,1,2,0
96,33,4,42,160,1230,59,5900000,1526166,9418358,0,0,0,61.4841,559,1,3,0
99,33,4,303,120,1190,70,7000000,1902954,11309735,0,0,0,61.7690,596,1,4,0
102,34,4,101,115,1170,66,6600000,1872837,10657386,0,0,0,61.7555,590,1,5,0
135,38,4,404,120,1205,67,6700000,1795769,10779705,0,0,0,61.6698,590,1,6,0
100,33,4,404,135,1205,58,5800000,1482472,9250082,0,0,0,61.4620,467,1,7,0
103,34,4,202,120,1175,74,7400000,1812867,11816058,0,0,0,61.4905,608,1,8,0
111,37,4,42,120,1195,60,6000000,1622617,9664937,0,0,0,61.6979,486,1,9,0
121,32,4,42,145,1220,58,5800000,1457346,9459566,0,0,0,61.9911,551,1,10,0
136,54,4,42,105,1205,62,6200000,1510368,9969949,0,0,0,61.6573,556,1,11,0
117,64,4,101,145,1215,60,6000000,1599842,9653492,0,0,0,61.6699,438,1,12,0
101,34,4,42,130,1185,59,5900000,1429971,9413269,0,0,0,61.4713,525,0,0,0
105,34,4,404,135,1190,63,6300000,1549859,10069709,0,0,0,61.5143,567,0,0,0
125,32,4,404,145,1220,65,6500000,1679461,10517753,0,0,0,61.8046,549,0,0,0
92,43,4,101,135,1230,62,6200000,1666746,9991304,0,0,0,61.7078,464,0,0,0
98,33,4,202,150,1220,61,6100000,1419024,9735250,0,0,0,61.4783,549,0,0,0
112,37,4,101,145,1220,69,6900000,1769853,11045089,0,0,0,61.5494,580,0,0,0
123,32,4,202,150,1225,61,6100000,1651132,9938743,0,0,0,61.9671,455,0,0,0
93,43,4,202,150,1245,72,7200000,1831814,11577582,0,0,0,61.6564,580,0,0,0
136,54,4,42,105,1205,62,6200000,1510368,9969949,0,0,0,61.6573,556,1,11,0
117,64,4,101,145,1215,60,6000000,1599842,9653492,0,0,0,61.6699,438,1,12,0
139,54,4,303,150,1250,59,5900000,1564288,9587634,0,0,0,61.9051,474,0,0,0
140,54,4,404,115,1215,71,7100000,1743735,11341373,0,0,0,61.4996,577,0,0,0
104,34,4,303,145,1200,75,7500000,1907737,12148168,0,0,0,61.8285,610,0,0,0
109,40,4,303,175,1250,76,7600000,2071909,12234151,0,0,0,61.6823,619,0,0,0
115,37,4,404,130,1205,82,8200000,2188774,13216813,0,0,0,61.7123,648,0,0,0
97,33,4,101,150,1220,72,7200000,1768556,11533713,0,0,0,61.5666,587,0,0,0
113,37,4,202,135,1210,76,7600000,2037867,12253991,0,0,0,61.7205,630,0,0,0
133,38,4,202,135,1220,66,6600000,1786964,10713621,0,0,0,61.8797,560,0,0,0
134,38,4,303,130,1215,65,6500000,1680638,10417461,0,0,0,61.5782,569,0,0,0
138,54,4,202,130,1230,70,7000000,1719773,11271769,0,0,0,61.6895,575,0,0,0
108,40,4,202,165,1240,68,6800000,1710757,10903729,0,0,0,61.5900,584,0,0,0
116,64,4,42,160,1230,68,6800000,1819947,10925693,0,0,0,61.6376,577,0,0,0
118,64,4,202,150,1220,58,5800000,1526750,9339194,0,0,0,61.6888,472,0,0,0
119,64,4,303,150,1220,59,5900000,1666274,9543440,0,0,0,61.7961,549,0,0,0
120,64,4,404,150,1220,63,6300000,1550463,10089897,0,0,0,61.5617,458,0,0,0
124,32,4,303,145,1220,82,8200000,2021041,13246132,0,0,0,61.7647,673,0,0,0
110,40,4,404,165,1240,57,5700000,1475827,9148993,0,0,0,61.6136,445,0,0,0
122,32,4,101,150,1225,75,7500000,1915318,12189316,0,0,0,61.9083,618,0,0,0
137,54,4,101,130,1230,77,7700000,2030318,12458435,0,0,0,61.8026,637,0,0,0
150,56,4,404,150,1245,74,7400000,1896833,11810583,0,0,0,61.4796,616,0,0,0
107,40,4,101,180,1255,73,7300000,2082908,11777893,0,0,0,61.7358,629,0,0,0
143,71,4,202,190,1300,73,7300000,1719948,11639534,0,0,0,61.4563,627,0,0,0
149,56,4,303,165,1260,72,7200000,2046081,11662027,0,0,0,61.8281,594,0,0,0
132,38,4,101,135,1220,65,6500000,1675113,10441540,0,0,0,61.6328,556,0,0,0
131,38,4,42,130,1215,70,7000000,1839708,11289146,0,0,0,61.7259,575,0,0,0
106,40,4,42,165,1240,64,6400000,1723607,10302513,0,0,0,61.6824,498,0,0,0
147,56,4,101,160,1255,64,6400000,1583544,10228908,0,0,0,61.5128,470,0,0,0
126,46,4,42,145,1245,71,7100000,1731940,11477618,0,0,0,61.7820,574,0,0,0
142,71,4,101,180,1290,64,6400000,1661857,10379869,0,0,0,61.8591,566,0,0,0
146,56,4,42,150,1245,68,6800000,1829833,10912850,0,0,0,61.6098,572,0,0,0
148,56,4,202,160,1255,62,6200000,1521921,9832088,0,0,0,61.3276,547,0,0,0
127,46,4,101,150,1250,81,8100000,2053903,13148038,0,0,0,61.8788,654,0,0,0
145,71,4,404,190,1300,63,6300000,1683178,10197246,0,0,0,61.8118,604,0,0,0
144,71,4,303,195,1305,63,6300000,1686289,10184870,0,0,0,61.7831,443,0,0,0
128,46,4,202,205,1305,70,7000000,1967865,11435105,0,0,0,62.0290,577,0,0,0
129,46,4,303,180,1280,63,6300000,1782220,10367539,0,0,0,62.2020,519,0,0,0
141,71,4,42,195,1305,72,7200000,1775680,11635150,0,0,0,61.7736,607,0,0,0
130,46,4,404,180,1280,58,5800000,1448581,9325712,0,0,0,61.6547,526,0,0,0
160,114,5,404,360,1555,62,6200000,1533056,9819228,0,0,0,61.2965,540,1,1,0
184,100,5,303,355,1560,73,7300000,1902984,11461218,0,0,0,61.0899,715,1,2,0
153,94,5,202,350,1565,64,6400000,1657489,10174096,0,0,0,61.3855,641,1,3,1
151,94,5,42,365,1580,65,6500000,1826046,10332100,0,0,0,61.3833,634,1,4,0
176,135,5,42,360,1565,72,7200000,1997523,11482993,0,0,0,61.4623,653,1,5,0
181,100,5,42,335,1540,70,7000000,1803453,11033209,0,0,0,61.1827,656,1,6,0
165,96,5,404,340,1570,62,6200000,1560476,9840719,0,0,0,61.3484,627,1,7,0
173,102,5,202,385,1555,56,5600000,1556431,8977221,0,0,0,61.5839,485,1,8,0
157,114,5,101,360,1555,58,5800000,1536510,9239074,0,0,0,61.4338,560,1,9,0
170,99,5,404,370,1560,58,5800000,1423317,9226133,0,0,0,61.4006,529,1,10,0
189,103,5,303,350,1525,65,6500000,1756015,10392605,0,0,0,61.5216,638,1,11,0
207,117,5,101,340,1555,67,6700000,1816222,10679880,0,0,0,61.4497,649,1,12,0
182,100,5,101,360,1565,62,6200000,1702602,9818492,0,0,0,61.2947,506,0,0,0
189,103,5,303,350,1525,65,6500000,1756015,10392605,0,0,0,61.5216,638,1,11,0
158,114,5,202,375,1570,74,7400000,2083140,11863327,0,0,0,61.5850,693,0,0,0
163,96,5,202,340,1570,61,6100000,1428517,9544381,0,0,0,61.0084,499,0,0,0
207,117,5,101,340,1555,67,6700000,1816222,10679880,0,0,0,61.4497,649,1,12,0
152,94,5,101,355,1570,87,8700000,2000267,13710894,0,0,0,61.1796,725,0,0,0
185,100,5,404,370,1575,61,6100000,1567049,9602098,0,0,0,61.1517,514,0,0,0
155,94,5,404,365,1580,75,7500000,1796722,11834373,0,0,0,61.2090,692,0,0,0
156,114,5,42,370,1565,76,7600000,2109011,12117795,0,0,0,61.4561,700,0,0,0
196,121,5,42,330,1550,86,8600000,2211178,13732256,0,0,0,61.4907,846,0,0,0
167,99,5,101,355,1545,63,6300000,1555798,10004559,0,0,0,61.3605,583,0,0,0
169,99,5,303,355,1545,83,8300000,2084418,13158712,0,0,0,61.3211,716,0,0,0
172,102,5,101,350,1520,82,8200000,2211804,13134134,0,0,0,61.5639,749,0,0,0
174,102,5,303,370,1540,72,7200000,1935676,11474014,0,0,0,61.4437,702,0,0,0
179,135,5,303,360,1565,74,7400000,1892205,11774553,0,0,0,61.4072,675,0,0,0
209,117,5,303,355,1570,70,7000000,1805648,11191397,0,0,0,61.5203,654,0,0,0
180,135,5,404,375,1580,66,6600000,1606574,10391614,0,0,0,61.1573,657,0,0,0
195,111,5,404,365,1560,64,6400000,1661682,10150232,0,0,0,61.3298,666,0,0,0
166,99,5,42,350,1540,70,7000000,2040888,11234396,0,0,0,61.6110,749,0,0,0
183,100,5,202,355,1560,63,6300000,1601109,9874334,0,0,0,61.0494,573,0,0,0
188,103,5,202,345,1520,84,8400000,2004223,13281385,0,0,0,61.2571,832,0,0,0
164,96,5,303,330,1560,60,6000000,1607232,9517172,0,0,0,61.3332,623,0,0,0
