path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
1,0,1,42,385,385,79,118500000,31138507,185253126,0,0,0,60.9881,11170,1,1,1
2,0,1,101,395,395,73,109500000,27498636,170457124,0,0,0,60.8869,10484,1,2,0
3,0,1,202,385,385,83,124500000,31113261,193486079,0,0,0,60.8473,11252,1,3,0
4,0,1,303,395,395,61,91500000,23121565,142393768,0,0,0,60.8797,7923,1,4,0
5,0,1,404,385,385,83,124500000,34034480,194338632,0,0,0,60.9520,12228,1,5,0
9,1,2,303,250,635,72,108000000,26928854,163708708,0,0,0,60.2515,9768,1,1,0
8,1,2,202,245,630,71,106500000,27167615,162160305,0,0,0,60.3589,10336,1,2,0
10,1,2,404,245,630,80,120000000,31847478,182808098,0,0,0,60.3709,10347,1,3,0
24,4,2,303,260,655,79,118500000,30832234,178123541,0,0,0,60.0504,10792,1,4,0
7,1,2,101,250,635,80,120000000,31681121,182750198,0,0,0,60.3634,10394,1,5,0
6,1,2,42,245,630,74,111000000,27699229,167998824,0,0,0,60.2149,9834,1,6,1
22,4,2,101,250,645,70,105000000,24395538,156633244,0,0,0,59.8675,9884,1,7,0
25,4,2,404,245,640,83,124500000,32755936,186642370,0,0,0,59.9862,12386,1,8,0
21,4,2,42,260,655,77,115500000,27599367,172807689,0,0,0,59.9386,10528,1,9,0
23,4,2,202,255,650,85,127500000,33001822,191278297,0,0,0,60.0036,13084,1,10,0
11,2,2,42,270,665,74,111000000,27139950,166069339,0,0,0,59.9378,9973,1,11,0
15,2,2,404,270,665,73,109500000,27571000,163704513,0,0,0,59.9201,10053,1,12,0
14,2,2,303,270,665,70,105000000,30210627,158603419,0,0,0,60.1674,9867,0,0,0
12,2,2,101,275,670,78,117000000,28122088,174650659,0,0,0,59.8835,10553,0,0,0
13,2,2,202,275,670,80,120000000,33180625,180217350,0,0,0,60.0290,10895,0,0,0
17,3,2,101,280,665,79,118500000,30973953,176832189,0,0,0,59.8757,10646,0,0,0
27,5,2,101,280,665,73,109500000,28521538,160351277,0,0,0,59.4221,10142,0,0,0
18,3,2,202,280,665,84,126000000,32270379,188457526,0,0,0,59.9310,11264,0,0,0
28,5,2,202,290,675,76,114000000,28560406,166793405,0,0,0,59.4008,10387,0,0,0
20,3,2,404,290,675,70,105000000,27424029,156653051,0,0,0,59.8705,10223,0,0,0
29,5,2,303,290,675,90,135000000,37216589,199309365,0,0,0,59.6182,11427,0,0,0
30,5,2,404,290,675,83,124500000,32520628,182945468,0,0,0,59.5050,10947,0,0,0
26,5,2,42,290,675,61,91500000,25170599,135137660,0,0,0,59.6272,8067,0,0,0
16,3,2,42,290,675,72,108000000,26412695,160309158,0,0,0,59.7479,9813,0,0,0
