run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,worker_id,parent_worker_id,week,worker_seed,depth,start_time_ms,finish_time_ms,finish_candidate,initial_temperature,final_temperature,temperature_at_best,best_candidate,plateau_count,branch_count,produced_global_best,final_penalty,best_penalty,start_penalty,improvement_per_10k,branches_per_10k,accepted_worse_pct,hard_reject_pct,first_plateau_candidate,last_improvement_candidate,local_best_improvements,accepted_worse,hard_rejects
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,29,27,1,42,14,0,4219,1500000,100.000000,0.000000,0.000000,1455349,0,10,0,920,650,1670,6.8000,0.0667,0.00,61.59,0,1455349,0,0,2405405
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,27,25,1,42,13,0,4234,1500000,100.000000,0.000000,0.000000,1420582,0,0,0,950,685,1805,7.4667,0.0000,0.00,61.72,0,1420582,0,0,2418465
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,31,29,1,42,15,0,4235,1500000,100.000000,0.000000,0.000000,1351481,0,5,0,915,620,1550,6.2000,0.0333,0.00,61.37,0,1351481,0,0,2383356
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,28,26,1,42,14,0,4271,1500000,100.000000,0.000000,0.000000,1343779,0,0,0,1000,640,1750,7.4000,0.0000,0.00,61.61,0,1343779,0,0,2407218
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,0,-1,1,42,0,0,4277,1500000,100.000000,0.000000,0.000000,1461830,0,7,0,1005,755,3800,20.3000,0.0467,0.00,62.25,0,1461830,0,0,2472999
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,25,23,1,42,12,0,4289,1500000,100.000000,0.000000,0.000000,1484351,0,2,0,950,690,1990,8.6667,0.0133,0.00,61.84,0,1484351,0,0,2431319
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,24,22,1,42,12,0,4293,1500000,100.000000,0.000000,0.000000,1088185,0,0,0,875,740,2020,8.5333,0.0000,0.00,61.87,0,1088185,0,0,2434303
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,21,19,1,42,10,0,4305,1500000,100.000000,0.000000,0.000000,1315894,0,0,0,1045,750,2215,9.7667,0.0000,0.00,61.97,0,1315894,0,0,2443896
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,30,28,1,42,15,0,4308,1500000,100.000000,0.000000,0.000000,1362178,0,6,0,875,610,1580,6.4667,0.0400,0.00,61.43,0,1362178,0,0,2388571
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,20,18,1,42,10,0,4311,1500000,100.000000,0.000000,0.000000,1471718,0,0,0,945,635,2230,10.6333,0.0000,0.00,62.01,0,1471718,0,0,2448326
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,23,21,1,42,11,0,4312,1500000,100.000000,0.000000,0.000000,1471953,0,0,0,1025,705,2035,8.8667,0.0000,0.00,61.92,0,1471953,0,0,2439270
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,26,24,1,42,13,0,4315,1500000,100.000000,0.000000,0.000000,1475141,0,0,0,960,695,1940,8.3000,0.0000,0.00,61.81,0,1475141,0,0,2427339
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,22,20,1,42,11,0,4323,1500000,100.000000,0.000000,0.000000,1469971,0,0,0,1015,720,2185,9.7667,0.0000,0.00,61.97,0,1469971,0,0,2444080
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,32,30,1,42,16,0,4324,1500000,100.000000,0.000000,0.000000,1153003,0,10,0,830,615,1520,6.0333,0.0667,0.00,61.34,0,1153003,0,0,2379673
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,7,5,1,42,3,0,4329,1500000,100.000000,0.000000,0.000000,1460842,0,0,0,1025,805,3425,17.4667,0.0000,0.00,62.27,0,1460842,0,0,2475569
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,2,0,1,42,1,0,4348,1500000,100.000000,0.000000,0.000000,1387358,0,15,0,1150,770,3710,19.6000,0.1000,0.00,62.25,0,1387358,0,0,2473541
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,4,2,1,42,2,0,4355,1500000,100.000000,0.000000,0.000000,1460021,0,0,0,1120,710,3620,19.4000,0.0000,0.00,62.25,0,1460021,0,0,2473972
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,17,15,1,42,8,0,4361,1500000,100.000000,0.000000,0.000000,1448800,0,0,0,1085,765,2455,11.2667,0.0000,0.00,62.16,0,1448800,0,0,2464015
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,3,1,1,42,1,0,4364,1500000,100.000000,0.000000,0.000000,1414230,0,0,0,1205,770,3650,19.2000,0.0000,0.00,62.25,0,1414230,0,0,2473701
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,8,6,1,42,4,0,4383,1500000,100.000000,0.000000,0.000000,1239923,0,0,0,1095,785,3275,16.6000,0.0000,0.00,62.24,0,1239923,0,0,2472271
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,14,12,1,42,7,0,4382,1500000,100.000000,0.000000,0.000000,1278249,0,0,0,1160,800,2825,13.5000,0.0000,0.00,62.19,0,1278249,0,0,2467687
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,19,17,1,42,9,0,4401,1500000,100.000000,0.000000,0.000000,1301213,0,0,0,995,735,2290,10.3667,0.0000,0.00,62.07,0,1301213,0,0,2454721
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,6,4,1,42,3,0,4410,1500000,100.000000,0.000000,0.000000,1421923,0,0,0,1170,765,3515,18.3333,0.0000,0.00,62.22,0,1421923,0,0,2470721
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,9,7,1,42,4,0,4421,1500000,100.000000,0.000000,0.000000,1454037,0,0,0,1140,780,3245,16.4333,0.0000,0.00,62.23,0,1454037,0,0,2471720
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,5,3,1,42,2,0,4423,1500000,100.000000,0.000000,0.000000,1481262,0,3,0,1060,770,3590,18.8000,0.0200,0.00,62.26,0,1481262,0,0,2474138
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,18,16,1,42,9,0,4422,1500000,100.000000,0.000000,0.000000,1494854,0,0,0,1150,755,2365,10.7333,0.0000,0.00,62.13,0,1494854,0,0,2461069
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,13,11,1,42,6,0,4424,1500000,100.000000,0.000000,0.000000,1188984,0,0,0,1100,770,2875,14.0333,0.0000,0.00,62.23,0,1188984,0,0,2471249
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,11,9,1,42,5,0,4425,1500000,100.000000,0.000000,0.000000,1364909,0,0,0,1035,755,2975,14.8000,0.0000,0.00,62.29,0,1364909,0,0,2478113
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,12,10,1,42,6,0,4429,1500000,100.000000,0.000000,0.000000,1491539,0,0,0,1015,740,2905,14.4333,0.0000,0.00,62.25,0,1491539,0,0,2473499
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,15,13,1,42,7,0,4454,1500000,100.000000,0.000000,0.000000,1494457,0,0,0,1020,790,2605,12.1000,0.0000,0.00,62.18,0,1494457,0,0,2465825
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,10,8,1,42,5,0,4482,1500000,100.000000,0.000000,0.000000,1426028,0,1,0,1115,710,3185,16.5000,0.0067,0.00,62.20,0,1426028,0,0,2467862
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,16,14,1,42,8,0,4483,1500000,100.000000,0.000000,0.000000,1480826,0,0,0,1105,715,2570,12.3667,0.0000,0.00,62.16,0,1480826,0,0,2463797
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,61,59,1,42,30,0,3859,1500000,100.000000,0.000000,0.000000,832434,0,0,0,430,400,590,1.2667,0.0000,0.00,60.02,0,832434,0,0,2251760
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,42,40,1,42,21,0,4011,1500000,100.000000,0.000000,0.000000,1436692,0,0,0,675,485,1035,3.6667,0.0000,0.00,60.66,0,1436692,0,0,2312936
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,59,57,1,42,29,0,3904,1500000,100.000000,0.000000,0.000000,407142,0,5,0,515,415,615,1.3333,0.0333,0.00,59.62,0,407142,0,0,2214446
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,58,56,1,42,29,0,3906,1500000,100.000000,0.000000,0.000000,585553,0,2,0,535,425,635,1.4000,0.0133,0.00,59.38,0,585553,0,0,2192933
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,51,49,1,42,25,0,3983,1500000,100.000000,0.000000,0.000000,1353053,0,0,0,565,410,780,2.4667,0.0000,0.00,60.10,0,1353053,0,0,2259798
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,55,53,1,42,27,0,3960,1500000,100.000000,0.000000,0.000000,1289724,0,0,0,500,415,710,1.9667,0.0000,0.00,60.17,0,1289724,0,0,2265893
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,63,61,1,42,31,0,3889,1500000,100.000000,0.000000,0.000000,528726,0,0,0,455,425,575,1.0000,0.0000,0.00,60.00,0,528726,0,0,2250103
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,64,62,1,42,32,0,3903,1500000,100.000000,0.000000,0.000000,193858,0,2,0,460,415,530,0.7667,0.0133,0.00,59.79,0,193858,0,0,2230575
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,45,43,1,42,22,0,4065,1500000,100.000000,0.000000,0.000000,1330682,0,0,0,640,430,965,3.5667,0.0000,0.00,60.48,0,1330682,0,0,2295253
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,56,54,1,42,28,0,3978,1500000,100.000000,0.000000,0.000000,1052507,0,0,0,515,415,705,1.9333,0.0000,0.00,60.14,0,1052507,0,0,2262740
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,57,55,1,42,28,0,3980,1500000,100.000000,0.000000,0.000000,720875,0,0,0,525,410,700,1.9333,0.0000,0.00,60.12,0,720875,0,0,2261660
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,60,58,1,42,30,0,3978,1500000,100.000000,0.000000,0.000000,1180241,0,1,1,445,385,610,1.5000,0.0067,0.00,60.38,0,1180241,0,0,2285722
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,41,39,1,42,20,0,4091,1500000,100.000000,0.000000,0.000000,1487499,0,0,0,640,485,1065,3.8667,0.0000,0.00,60.74,0,1487499,0,0,2320663
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,54,52,1,42,27,0,4000,1500000,100.000000,0.000000,0.000000,1320219,0,1,0,525,425,740,2.1000,0.0067,0.00,60.14,0,1320219,0,0,2263473
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,46,44,1,42,23,0,4079,1500000,100.000000,0.000000,0.000000,1463166,0,0,0,590,445,930,3.2333,0.0000,0.00,60.55,0,1463166,0,0,2301832
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,53,51,1,42,26,0,4026,1500000,100.000000,0.000000,0.000000,1181263,0,0,0,545,430,755,2.1667,0.0000,0.00,60.37,0,1181263,0,0,2285362
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,62,60,1,42,31,0,3957,1500000,100.000000,0.000000,0.000000,1267478,0,7,1,430,385,580,1.3000,0.0467,0.00,59.75,0,1267478,0,0,2227126
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,44,42,1,42,22,0,4099,1500000,100.000000,0.000000,0.000000,1275999,0,0,0,635,475,975,3.3333,0.0000,0.00,60.44,0,1275999,0,0,2291695
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,39,37,1,42,19,0,4126,1500000,100.000000,0.000000,0.000000,1378575,0,0,0,680,500,1135,4.2333,0.0000,0.00,60.83,0,1378575,0,0,2329581
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,47,45,1,42,23,0,4098,1500000,100.000000,0.000000,0.000000,1418590,0,0,0,590,455,920,3.1000,0.0000,0.00,60.51,0,1418590,0,0,2298270
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T16:13:45+01:00,50,48,1,42,25,0,4067,1500000,100.000000,0.000000,0.000000,1494057,0,0,0,530,415,795,2.5333,0.0000,0.00,60.34,0,1494057,0,0,2281961
