path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
2,0,1,101,385,385,68,102000000,26385767,158890975,0,0,0,60.9032,10181,1,1,0
1,0,1,42,385,385,69,103500000,30510364,162586071,0,0,0,61.1028,10449,1,2,0
4,0,1,303,400,400,67,100500000,24595538,156429278,0,0,0,60.8842,10264,1,3,1
5,0,1,404,395,395,78,117000000,33272671,183633469,0,0,0,61.0822,11057,1,4,0
3,0,1,202,400,400,66,99000000,27148355,155900535,0,0,0,61.1613,10221,1,5,0
19,4,2,303,230,630,94,141000000,39850550,209695403,0,0,0,59.7942,11934,1,1,1
9,2,2,303,290,675,79,118500000,29770306,177308179,0,0,0,59.9403,10554,1,2,0
7,2,2,101,285,670,67,100500000,25530948,150438324,0,0,0,59.9503,9570,1,3,0
18,4,2,202,230,630,86,129000000,34066956,191004935,0,0,0,59.6881,11457,1,4,0
20,4,2,404,230,630,78,117000000,29048293,172622938,0,0,0,59.6026,10365,1,5,0
6,2,2,42,290,675,65,97500000,24901718,145568217,0,0,0,59.8878,9418,1,6,0
8,2,2,202,270,655,75,112500000,29158792,168186078,0,0,0,59.9196,10043,1,7,0
10,2,2,404,280,665,74,111000000,29278910,166421045,0,0,0,59.9886,10124,1,8,0
17,4,2,101,230,630,68,102000000,24869056,149720175,0,0,0,59.4788,9656,1,9,0
29,3,2,303,250,650,79,118500000,34033087,176667126,0,0,0,59.8533,10675,1,10,0
16,4,2,42,230,630,65,97500000,25771808,144328690,0,0,0,59.6822,9671,1,11,0
13,1,2,202,300,685,74,111000000,32481009,166696967,0,0,0,60.0284,10050,1,12,0
12,1,2,101,290,675,65,97500000,24011886,145071814,0,0,0,59.8057,9548,0,0,0
24,5,2,303,290,685,77,115500000,32272667,171189198,0,0,0,59.7125,10438,0,0,0
27,3,2,101,240,640,72,108000000,25305207,159186278,0,0,0,59.5788,9875,0,0,0
28,3,2,202,240,640,74,111000000,30223169,165441405,0,0,0,59.8468,10284,0,0,0
15,1,2,404,290,675,77,115500000,31432262,173621053,0,0,0,60.0513,10715,0,0,0
26,3,2,42,250,650,79,118500000,26768635,174031590,0,0,0,59.4916,10469,0,0,0
30,3,2,404,250,650,73,109500000,25376932,162603897,0,0,0,59.7580,9884,0,0,0
23,5,2,202,290,685,84,126000000,34718658,186709364,0,0,0,59.7070,10909,0,0,0
14,1,2,303,280,665,77,115500000,30665533,172449986,0,0,0,59.8889,11695,0,0,0
22,5,2,101,300,695,71,106500000,29529339,158142330,0,0,0,59.7570,9898,0,0,0
11,1,2,42,300,685,63,94500000,25276458,141753405,0,0,0,60.0006,8490,0,0,0
21,5,2,42,290,685,67,100500000,25440930,147870011,0,0,0,59.5362,9708,0,0,0
25,5,2,404,290,685,77,115500000,32557694,171636197,0,0,0,59.7752,10566,0,0,0
33,19,3,202,445,1075,75,112500000,31495216,168061815,0,0,0,59.9019,11430,1,1,0
50,18,3,404,445,1075,74,111000000,26519706,163544015,0,0,0,59.5693,11152,1,2,0
55,20,3,404,465,1095,68,102000000,23950441,151180069,0,0,0,59.7125,10786,1,3,0
48,18,3,202,455,1085,79,118500000,35184389,177898674,0,0,0,60.0201,11740,1,4,0
35,19,3,404,445,1075,75,112500000,27612226,166122732,0,0,0,59.6228,11329,1,5,0
51,20,3,42,455,1085,90,135000000,35834104,202244954,0,0,0,59.9697,12522,1,6,0
52,20,3,101,460,1090,82,123000000,32975934,184567281,0,0,0,60.0088,11970,1,7,0
81,16,3,42,445,1075,90,135000000,35965365,204227463,0,0,0,60.2037,12573,1,8,0
80,29,3,404,450,1100,84,126000000,33071929,187403711,0,0,0,59.7963,11958,1,9,0
32,19,3,101,445,1075,77,115500000,29202117,170721207,0,0,0,59.6466,11595,1,10,1
74,17,3,303,455,1085,84,126000000,36592446,189590347,0,0,0,60.0748,13261,1,11,0
46,18,3,42,445,1075,73,109500000,29772549,163092785,0,0,0,59.8302,11161,1,12,0
53,20,3,202,460,1090,80,120000000,34871985,180554434,0,0,0,60.0738,11806,0,0,0
82,16,3,101,460,1090,74,111000000,30505531,168010305,0,0,0,60.2165,11330,0,0,0
37,9,3,101,455,1130,76,114000000,31926420,172844151,0,0,0,60.2572,11516,0,0,0
75,17,3,404,455,1085,77,115500000,27338050,172306368,0,0,0,59.8689,11434,0,0,0
54,20,3,303,465,1095,77,115500000,33846199,174132733,0,0,0,60.1219,11622,0,0,0
57,6,3,101,445,1120,82,123000000,34704142,185415809,0,0,0,60.1188,13278,0,0,0
62,8,3,101,460,1115,82,123000000,32571563,183686138,0,0,0,59.8939,11970,0,0,0
79,29,3,303,445,1095,85,127500000,31660256,189350395,0,0,0,59.7602,12875,0,0,0
31,19,3,42,445,1075,93,139500000,35520241,207199014,0,0,0,59.7634,12586,0,0,0
34,19,3,303,460,1090,71,106500000,28808102,158293948,0,0,0,59.7800,10916,0,0,0
84,16,3,303,460,1090,75,112500000,29781068,169705623,0,0,0,60.1355,11421,0,0,0
71,17,3,42,455,1085,75,112500000,31530804,169609586,0,0,0,60.1219,11411,0,0,0
47,18,3,101,445,1075,74,111000000,31244467,165575830,0,0,0,59.8663,11777,0,0,0
73,17,3,202,460,1090,75,112500000,31558315,169869622,0,0,0,60.1586,11462,0,0,0
87,13,3,101,445,1130,78,117000000,31851801,175150450,0,0,0,59.9521,11713,0,0,0
60,6,3,404,460,1135,80,120000000,32387965,180516002,0,0,0,60.0687,11912,0,0,0
85,16,3,404,460,1090,77,115500000,29051810,173378484,0,0,0,60.0178,11463,0,0,0
61,8,3,42,460,1115,80,120000000,29871675,178420282,0,0,0,59.7883,11756,0,0,0
69,10,3,303,450,1115,75,112500000,30823036,169647653,0,0,0,60.1273,11331,0,0,0
83,16,3,202,445,1075,89,133500000,37500268,203031708,0,0,0,60.3306,13176,0,0,0
64,8,3,303,460,1115,74,111000000,27654149,165638348,0,0,0,59.8754,11289,0,0,0
70,10,3,404,450,1115,78,117000000,29207650,175782472,0,0,0,60.0386,11593,0,0,0
42,7,3,101,465,1135,78,117000000,31824847,177292508,0,0,0,60.2436,11634,0,0,0
72,17,3,101,460,1090,64,96000000,26834552,143598313,0,0,0,59.9329,9171,0,0,0
63,8,3,202,460,1115,72,108000000,30165273,161922058,0,0,0,59.9884,11109,0,0,0
65,8,3,404,460,1115,79,118500000,29552837,176412033,0,0,0,59.8185,11690,0,0,0
78,29,3,202,450,1100,87,130500000,34254675,194269705,0,0,0,59.8177,12250,0,0,0
38,9,3,202,465,1140,74,111000000,31085598,168031052,0,0,0,60.2195,11402,0,0,0
40,9,3,404,455,1130,80,120000000,30587171,180139890,0,0,0,60.0186,12774,0,0,0
77,29,3,101,465,1115,72,108000000,29031518,160768670,0,0,0,59.8167,10940,0,0,0
49,18,3,303,445,1075,87,130500000,33835598,194073009,0,0,0,59.7933,12853,0,0,0
56,6,3,42,445,1120,77,115500000,31987205,173832956,0,0,0,60.0806,11487,0,0,0
76,29,3,42,445,1095,86,129000000,33432834,192304245,0,0,0,59.8511,13403,0,0,0
44,7,3,303,465,1135,75,112500000,29025522,170268859,0,0,0,60.2149,12325,0,0,0
59,6,3,303,460,1135,70,105000000,28627363,158259945,0,0,0,60.1155,10871,0,0,0
89,13,3,303,445,1130,76,114000000,33370257,172108109,0,0,0,60.1549,12068,0,0,0
