run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,worker_id,parent_worker_id,week,worker_seed,depth,start_time_ms,finish_time_ms,finish_candidate,initial_temperature,final_temperature,temperature_at_best,best_candidate,plateau_count,branch_count,produced_global_best,final_penalty,best_penalty,start_penalty,improvement_per_10k,branches_per_10k,accepted_worse_pct,hard_reject_pct,first_plateau_candidate,last_improvement_candidate,local_best_improvements,accepted_worse,hard_rejects
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T02:05:07+01:00,32,30,1,303,16,0,4024,1500000,100.000000,0.000000,0.000000,1432833,0,15,0,690,495,1095,4.0000,0.1000,0.00,60.79,0,1432833,0,0,2325495
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T02:05:07+01:00,31,29,1,303,15,0,4041,1500000,100.000000,0.000000,0.000000,1424189,0,4,0,740,525,1135,4.0667,0.0267,0.00,60.75,0,1424189,0,0,2321841
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T02:05:07+01:00,30,28,1,303,15,0,4048,1500000,100.000000,0.000000,0.000000,1339830,0,5,0,730,500,1150,4.3333,0.0333,0.00,60.79,0,1339830,0,0,2325398
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T02:05:07+01:00,29,27,1,303,14,0,4055,1500000,100.000000,0.000000,0.000000,1443417,0,3,0,710,535,1195,4.4000,0.0200,0.00,60.82,0,1443417,0,0,2328320
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T02:05:07+01:00,27,25,1,303,13,0,4086,1500000,100.000000,0.000000,0.000000,1447168,0,0,0,850,535,1285,5.0000,0.0000,0.00,61.01,0,1447168,0,0,2346803
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T02:05:07+01:00,28,26,1,303,14,0,4087,1500000,100.000000,0.000000,0.000000,1320657,0,3,0,795,530,1245,4.7667,0.0200,0.00,60.96,0,1320657,0,0,2342111
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T02:05:07+01:00,24,22,1,303,12,0,4087,1500000,100.000000,0.000000,0.000000,1190180,0,0,0,795,585,1365,5.2000,0.0000,0.00,61.13,0,1190180,0,0,2359435
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T02:05:07+01:00,26,24,1,303,13,0,4107,1500000,100.000000,0.000000,0.000000,1462723,0,0,0,865,515,1300,5.2333,0.0000,0.00,61.05,0,1462723,0,0,2350634
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T02:05:07+01:00,25,23,1,303,12,0,4125,1500000,100.000000,0.000000,0.000000,1384150,0,0,0,765,545,1350,5.3667,0.0000,0.00,61.16,0,1384150,0,0,2361585
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-01T02:05:07+01:00,19,17,1,303,9,0,4143,1500000,100.000000,0.000000,0.000000,1493670,0,0,0,945,665,1670,6.7000,0.0000,0.00,61.48,0,1493670,0,0,2394457
