run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,path_id,fingerprint,hamming_to_best,hamming_to_parent,beam_spread,near_duplicate,retained,retained_rank,winning,cumulative_penalty,week_penalty
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,3,d92ed202e0f2,0.000000,0.000000,15,1,1,1,1,385,385
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,1,c7cdac1e71ce,0.511905,0.000000,15,0,1,2,0,395,395
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,1,2,14e4bc28c35e,0.607143,0.000000,15,0,1,3,0,400,400
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,2,5,2ba795ee1023,0.000000,0.654762,45,1,1,1,1,630,245
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,2,4,2f21ff2ea4b7,0.440476,0.666667,45,0,1,2,0,640,255
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,2,6,76a997febba4,0.630952,0.702381,45,0,1,3,0,645,260
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,2,11,63febc3f4eb3,0.690476,0.630952,45,0,1,4,0,670,270
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,2,10,1c6bf1e297be,0.678571,0.714286,45,0,1,5,0,675,275
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,2,12,a62419c22a30,0.642857,0.607143,45,0,0,0,0,675,275
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,2,7,d75779ad40dc,0.738095,0.642857,45,0,0,0,0,685,290
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,2,9,c09949e7e433,0.678571,0.690476,45,0,0,0,0,685,290
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,2,8,1df146e905e6,0.714286,0.559524,45,0,0,0,0,700,305
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,3,13,2a1da7100cfe,0.000000,0.654762,25,1,1,1,1,1085,455
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,3,15,5be4b7f706c0,0.523810,0.619048,25,0,1,2,0,1085,455
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,3,14,76f2f4400287,0.535714,0.583333,25,0,1,3,0,1095,465
