path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
3,0,1,202,385,385,85,42500000,7120561,64623828,5247999,1872562,35379439,60.3263,3849,1,1,1
1,0,1,42,395,395,81,40500000,6709482,61647533,4977872,1731610,33790518,60.3515,3846,1,2,0
2,0,1,101,400,400,69,34500000,6086745,52709391,4418208,1668537,28413255,60.4400,3511,1,3,0
5,3,2,101,245,630,70,35000000,5558836,50984525,3962645,1596191,29441164,59.2950,3060,1,1,1
4,3,2,42,255,640,74,37000000,6632839,54271391,4659997,1972842,30367161,59.4616,3286,1,2,0
6,3,2,202,260,645,60,30000000,4652981,43832593,3331804,1321177,25347019,59.3675,2317,1,3,0
11,2,2,101,270,670,69,34500000,5873912,50662529,4116232,1757680,28626088,59.4892,3027,1,4,0
10,2,2,42,275,675,62,31000000,4669064,45437088,3317618,1351446,26330936,59.4438,2356,1,5,0
12,2,2,202,275,675,85,42500000,6875382,62348119,4833870,2041512,35624618,59.4652,3379,0,0,0
7,1,2,42,290,685,79,39500000,6666258,57750093,4669278,1996980,32833742,59.3831,3263,0,0,0
9,1,2,202,290,685,69,34500000,5774058,50065686,4027660,1746398,28725942,59.2033,3029,0,0,0
8,1,2,101,305,700,60,30000000,4584059,43463986,3257544,1326515,25415941,59.1637,2325,0,0,0
13,5,3,42,455,1085,62,31000000,5299962,45130728,3811020,1488942,25700038,59.2806,2771,1,1,1
15,5,3,202,455,1085,67,33500000,5196961,48388006,3794359,1402602,28303039,59.0905,3373,1,2,0
14,5,3,101,465,1095,66,33000000,4961698,47560967,3633349,1328349,28038302,59.0372,3354,1,3,0
16,4,3,42,470,1110,74,37000000,5749931,54976019,4229453,1520478,31250069,59.7721,3470,1,4,0
18,4,3,202,470,1110,70,35000000,5907526,52006617,4266248,1641278,29092474,59.7732,3367,1,5,0
22,11,3,42,445,1115,68,34000000,6220334,50366665,4496710,1723624,27779666,59.6997,3369,0,0,0
23,11,3,101,445,1115,80,40000000,6485624,58963171,4767552,1718072,33514376,59.5809,3617,0,0,0
24,11,3,202,445,1115,59,29500000,5134271,43571592,3736838,1397433,24365729,59.6286,2596,0,0,0
17,4,3,101,485,1125,85,42500000,6914774,63109449,5055156,1859618,35585226,59.7574,3795,0,0,0
25,10,3,42,450,1125,70,35000000,6196755,51408686,4418320,1778435,28803245,59.4948,3375,0,0,0
26,10,3,101,450,1125,78,39000000,6191188,56743349,4515272,1675916,32808812,59.2661,3533,0,0,0
27,10,3,202,450,1125,69,34500000,6496115,50513124,4598462,1897653,28003885,59.4180,3370,0,0,0
19,6,3,42,485,1130,73,36500000,5886227,53432808,4294449,1591778,30613773,59.4141,3427,0,0,0
20,6,3,101,485,1130,84,42000000,6835935,61582199,4984138,1851797,35164065,59.4525,3702,0,0,0
21,6,3,202,500,1145,71,35500000,6263385,52206006,4532727,1730658,29236615,59.5239,3381,0,0,0
28,13,4,42,105,1190,72,36000000,5381193,54994288,3930726,1450467,30618807,60.4371,2726,1,1,1
30,13,4,202,105,1190,67,33500000,5541787,51429265,3983649,1558138,27958213,60.5554,2860,1,2,0
