run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,worker_id,parent_worker_id,week,worker_seed,depth,start_time_ms,finish_time_ms,finish_candidate,initial_temperature,final_temperature,temperature_at_best,best_candidate,plateau_count,branch_count,produced_global_best,final_penalty,best_penalty,start_penalty,improvement_per_10k,branches_per_10k,accepted_worse_pct,hard_reject_pct,first_plateau_candidate,last_improvement_candidate,local_best_improvements,accepted_worse,hard_rejects
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,29,27,1,202,14,0,1321,500000,100.000000,0.000100,14.606562,69622,4,0,0,430,430,1480,21.0000,0.0000,1.78,61.36,169622,69622,38522,8880,793968
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,16,14,1,202,8,0,1338,500000,100.000000,0.000100,13.759543,71784,4,0,0,505,470,2220,35.0000,0.0000,1.81,58.85,171784,71784,42042,9075,715118
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,17,15,1,202,8,0,1340,500000,100.000000,0.000100,12.347414,75703,4,0,0,410,400,2055,33.1000,0.0000,1.82,59.55,175703,75703,39656,9078,736160
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,24,22,1,202,12,0,1340,500000,100.000000,0.000100,6.668989,97996,4,0,0,415,415,1750,26.7000,0.0000,1.79,59.56,197996,97996,38367,8949,736443
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,8,6,1,202,4,0,1341,500000,100.000000,0.000100,9.707692,84408,4,0,0,400,400,2920,50.4000,0.0000,1.76,59.29,184408,84408,42950,8810,728131
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,30,28,1,202,15,0,1346,500000,100.000000,0.000100,13.601537,72202,4,0,0,450,445,1450,20.1000,0.0000,1.74,60.19,172202,72202,41687,8721,756120
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,31,29,1,202,15,0,1348,500000,100.000000,0.000100,11.758394,77472,4,0,0,490,470,1435,19.3000,0.0000,1.77,59.32,177472,77472,33532,8860,729198
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,23,21,1,202,11,0,1350,500000,100.000000,0.000100,17.074028,63973,4,0,0,415,415,1785,27.4000,0.0000,1.72,59.86,163973,63973,51382,8585,745640
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,10,8,1,202,5,0,1351,500000,100.000000,0.000100,10.804483,80534,4,0,0,440,440,2850,48.2000,0.0000,1.73,59.76,180534,80534,45741,8668,742478
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,20,18,1,202,10,0,1365,500000,100.000000,0.000100,13.455009,72594,4,0,0,440,440,1955,30.3000,0.0000,1.74,60.08,172594,72594,44796,8709,752481
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,32,30,1,202,16,0,1377,500000,100.000000,0.000100,13.340988,72902,4,0,0,460,410,1375,19.3000,0.0000,1.76,60.38,172902,72902,42720,8822,761980
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,15,13,1,202,7,0,1380,500000,100.000000,0.000100,16.888691,64368,4,0,0,470,415,2300,37.7000,0.0000,1.79,60.79,164368,64368,45390,8936,775319
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,7,5,1,202,3,0,1405,500000,100.000000,66.656115,9.466120,85320,4,1,0,1525,400,3155,55.1000,0.0200,13.22,61.65,185320,85320,123604,66096,803921
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-02T12:24:35+01:00,19,17,1,202,9,0,1416,500000,100.000000,0.000100,26.496957,48068,4,0,0,510,470,1965,29.9000,0.0000,1.75,58.87,150172,48068,42981,8730,715624
