run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,beam_path,candidate,elapsed_ms,temperature_at_event,current_penalty,previous_best,new_best,improvement,improvement_percent,event_type,branch_depth,seed_used,accepted_worse_count,hard_reject_count,soft_reject_count,discovery_number,cands_since_previous,time_since_previous_ms,improvement_per_10k,improvement_per_second,post_reheat_improved,post_reheat_best_delta,post_reheat_candidates_to_improve,post_reheat_spawned_branch,post_reheat_beat_global,post_reheat_on_winning_lineage
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,1,1,0.000000,3710,3800,3710,90,2.3684,GLOBAL_BEST,0,101,0,5,0,1,1,1,900000.0000,90000.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,2,1,0.000000,3440,3710,3440,270,7.2776,GLOBAL_BEST,0,101,0,8,0,2,1,0,2700000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,3,1,0.000000,3245,3440,3245,195,5.6686,GLOBAL_BEST,0,101,0,9,0,3,1,0,1950000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,4,1,0.000000,3035,3245,3035,210,6.4715,GLOBAL_BEST,0,101,0,12,0,4,1,0,2100000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,4,83,0.000000,1420,1450,1420,30,2.0690,GLOBAL_BEST,1,101,0,2,3,5,0,82,0.0000,365.8537,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,5,1,0.000000,2930,3035,2930,105,3.4596,GLOBAL_BEST,0,101,0,14,0,6,1,-82,1050000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,2,7,83,0.000000,1400,1420,1400,20,1.4085,GLOBAL_BEST,1,101,0,4,4,7,2,82,100000.0000,243.9024,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,9,1,0.000000,2920,2930,2920,10,0.3413,GLOBAL_BEST,0,101,0,22,0,8,2,-82,50000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,10,1,0.000000,2770,2920,2770,150,5.1370,GLOBAL_BEST,0,101,0,24,0,9,1,0,1500000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,11,1,0.000000,2740,2770,2740,30,1.0830,GLOBAL_BEST,0,101,0,24,0,10,1,0,300000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,15,1,0.000000,2710,2740,2710,30,1.0949,GLOBAL_BEST,0,101,0,28,0,11,4,0,75000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,21,1,0.000000,2645,2710,2645,65,2.3985,GLOBAL_BEST,0,101,0,42,0,12,6,0,108333.3333,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,2,21,129,0.000000,920,1010,920,90,8.9109,GLOBAL_BEST,1,101,0,27,19,13,0,128,0.0000,703.1250,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,22,1,0.000000,2345,2645,2345,300,11.3422,GLOBAL_BEST,0,101,0,42,0,14,1,-128,3000000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,4,2,25,177,0.000000,685,715,685,30,4.1958,GLOBAL_BEST,2,101,0,38,20,15,3,176,100000.0000,170.4545,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,27,1,0.000000,2330,2345,2330,15,0.6397,GLOBAL_BEST,0,101,0,56,0,16,2,-176,75000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,29,1,0.000000,2255,2330,2255,75,3.2189,GLOBAL_BEST,0,101,0,57,0,17,2,0,375000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,0,2,30,1,0.000000,2240,2255,2240,15,0.6652,GLOBAL_BEST,0,101,0,59,0,18,1,0,150000.0000,0.0000,0,0,0,0,0,0
