run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,path_id,fingerprint,hamming_to_best,hamming_to_parent,beam_spread,near_duplicate,retained,retained_rank,winning,cumulative_penalty,week_penalty
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,1,fceeccecc908,0.000000,0.000000,20,1,1,1,0,395,395
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,2,1a26b7caeab5,0.571429,0.000000,20,0,1,2,1,400,400
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,1,3,56871800b1d9,0.559524,0.000000,20,0,1,3,0,415,415
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,2,12,6a528fa5c6f8,0.000000,0.702381,30,1,1,1,0,625,210
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,2,8,e57068adbdb9,0.571429,0.571429,30,0,1,2,1,635,235
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,2,9,e81fa0d2b146,0.607143,0.607143,30,0,1,3,0,645,245
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,2,11,b83079f7cd60,0.500000,0.666667,30,0,1,4,0,645,230
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,2,7,2bbd79dc959d,0.761905,0.666667,30,0,1,5,0,655,255
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,2,10,3d5d38a89e9e,0.511905,0.702381,30,0,0,0,0,680,265
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,2,6,1ef538d4e2f3,0.726190,0.666667,30,0,0,0,0,685,290
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,2,4,2ffcaa5a67d1,0.714286,0.654762,30,0,0,0,0,690,295
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,2,5,4494fc5bb505,0.714286,0.619048,30,0,0,0,0,690,295
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,17,497c68e98e33,0.000000,0.654762,20,1,1,1,1,1080,445
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,16,dc8301365d23,0.464286,0.630952,20,0,1,2,0,1085,450
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,18,ac47d658e1ad,0.571429,0.642857,20,0,1,3,0,1095,460
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,14,41164e43b2d7,0.714286,0.702381,20,0,1,4,0,1100,475
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,15,a70d4f65c258,0.750000,0.714286,20,0,1,5,0,1100,475
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,21,3f22b9c184ee,0.630952,0.702381,20,0,0,0,0,1120,475
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,13,9e15f8caff9b,0.619048,0.666667,20,0,0,0,0,1130,505
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,24,190a649ba785,0.678571,0.690476,20,0,0,0,0,1130,485
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,25,29294a5196c4,0.678571,0.654762,20,0,0,0,0,1130,475
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,19,5a06853847e1,0.714286,0.666667,20,0,0,0,0,1135,490
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,22,a10252e5893a,0.714286,0.678571,20,0,0,0,0,1135,490
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,23,7f4a8d2e4e28,0.678571,0.690476,20,0,0,0,0,1135,490
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,26,5c0be28f24c4,0.750000,0.738095,20,0,0,0,0,1135,480
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,20,e47c36579bb6,0.738095,0.607143,20,0,0,0,0,1150,505
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,27,88b6a887d706,0.642857,0.583333,20,0,0,0,0,1150,495
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,4,28,3eed67e1e66c,0.000000,0.630952,5,1,1,1,0,1215,135
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,4,30,92aa8235daf9,0.559524,0.690476,5,0,1,2,1,1215,135
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,4,34,c1e1d3ca3738,0.750000,0.666667,5,0,1,3,0,1215,120
