path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
1,0,1,42,395,395,6,3000000,584791,4592772,0,0,0,60.4887,1666,1,1,0
2,0,1,101,400,400,6,3000000,620035,4627982,0,0,0,60.6711,1262,1,2,1
3,0,1,202,415,415,6,3000000,587611,4636640,0,0,0,60.7157,1387,1,3,0
12,3,2,202,210,625,6,3000000,599101,4385310,0,0,0,59.3788,1060,1,1,0
8,2,2,101,235,635,7,3500000,673285,5145839,0,0,0,59.5181,977,1,2,1
9,2,2,202,245,645,7,3500000,685472,5217665,0,0,0,59.8516,1257,1,3,0
11,3,2,101,230,645,9,4500000,733606,6672986,0,0,0,59.7243,1313,1,4,0
7,2,2,42,255,655,7,3500000,658272,5253514,0,0,0,60.0161,1172,1,5,0
10,3,2,42,265,680,6,3000000,607702,4491253,0,0,0,59.9533,1437,0,0,0
6,1,2,202,290,685,7,3500000,609590,5004634,0,0,0,58.8460,1315,0,0,0
4,1,2,42,295,690,7,3500000,607758,5030426,0,0,0,58.9704,1142,0,0,0
5,1,2,101,295,690,7,3500000,601720,5036498,0,0,0,58.9996,1370,0,0,0
17,8,3,101,445,1080,9,4500000,688306,6473822,0,0,0,58.9933,1277,1,1,1
16,8,3,42,450,1085,6,3000000,615350,4370432,0,0,0,59.2968,1146,1,2,0
18,8,3,202,460,1095,6,3000000,620894,4376616,0,0,0,59.3309,1038,1,3,0
14,12,3,101,475,1100,7,3500000,616272,5088451,0,0,0,59.2476,1484,1,4,0
15,12,3,202,475,1100,6,3000000,689467,4380089,0,0,0,59.3501,1159,1,5,0
21,9,3,202,475,1120,9,4500000,678294,6590533,0,0,0,59.4249,1402,0,0,0
13,12,3,42,505,1130,7,3500000,666503,4997562,0,0,0,58.8117,1202,0,0,0
24,11,3,202,485,1130,7,3500000,672096,5165764,0,0,0,59.6112,1438,0,0,0
25,7,3,42,475,1130,7,3500000,623000,5024061,0,0,0,58.9398,1321,0,0,0
19,9,3,42,490,1135,7,3500000,611300,5080864,0,0,0,59.2116,1369,0,0,0
22,11,3,42,490,1135,7,3500000,663600,5120061,0,0,0,59.3970,1333,0,0,0
23,11,3,101,490,1135,7,3500000,620154,5050278,0,0,0,59.0657,1427,0,0,0
26,7,3,101,480,1135,7,3500000,668464,5145848,0,0,0,59.5181,1451,0,0,0
20,9,3,101,505,1150,8,4000000,681688,5889638,0,0,0,59.5536,1487,0,0,0
27,7,3,202,495,1150,6,3000000,611608,4413856,0,0,0,59.5352,1137,0,0,0
28,17,4,42,135,1215,6,3000000,534547,4646046,0,0,0,60.7640,1349,1,1,0
30,17,4,202,135,1215,7,3500000,598292,5518369,0,0,0,61.1903,1134,1,2,1
34,18,4,42,120,1215,9,4500000,683801,7016173,0,0,0,60.9245,1101,1,3,0
35,18,4,101,120,1215,7,3500000,653876,5686955,0,0,0,61.9025,1103,1,4,0
37,14,4,42,120,1220,7,3500000,648919,5376010,0,0,0,60.5679,957,1,5,0
29,17,4,101,150,1230,6,3000000,578958,4749150,0,0,0,61.2861,1118,0,0,0
41,15,4,101,145,1245,9,4500000,645050,6831729,0,0,0,60.2885,1514,0,0,0
32,16,4,101,165,1250,8,4000000,652754,6161568,0,0,0,60.6360,1077,0,0,0
38,14,4,101,150,1250,6,3000000,574099,4746965,0,0,0,61.2752,1456,0,0,0
39,14,4,202,150,1250,6,3000000,591632,4652233,0,0,0,60.7958,845,0,0,0
36,18,4,202,165,1260,6,3000000,552307,4788421,0,0,0,61.4813,1307,0,0,0
31,16,4,42,180,1265,8,4000000,596569,6223607,0,0,0,60.8749,1239,0,0,0
33,16,4,202,180,1265,9,4500000,669630,6864074,0,0,0,60.4015,1263,0,0,0
42,15,4,202,165,1265,6,3000000,604282,4770511,0,0,0,61.3925,920,0,0,0
40,15,4,42,175,1275,7,3500000,595314,5461386,0,0,0,60.9435,1157,0,0,0
47,30,5,101,300,1515,9,4500000,704831,7034936,0,0,0,60.9881,1556,1,1,0
45,28,5,202,315,1530,8,4000000,632477,6134078,0,0,0,60.5292,1462,1,2,0
54,35,5,202,325,1540,7,3500000,642359,5457163,0,0,0,60.9251,1363,1,3,0
46,30,5,42,330,1545,7,3500000,581331,5487119,0,0,0,61.0554,1109,1,4,1
48,30,5,202,330,1545,6,3000000,612040,4729826,0,0,0,61.1893,1168,1,5,0
52,35,5,42,330,1545,6,3000000,570168,4646495,0,0,0,60.7663,965,0,0,0
51,34,5,202,335,1550,8,4000000,669714,6139672,0,0,0,60.5510,1472,0,0,0
53,35,5,101,335,1550,7,3500000,616108,5480877,0,0,0,61.0283,1533,0,0,0
55,37,5,42,330,1550,8,4000000,671517,6170155,0,0,0,60.6692,1325,0,0,0
56,37,5,101,330,1550,7,3500000,592431,5480350,0,0,0,61.0260,1124,0,0,0
43,28,5,42,340,1555,6,3000000,559997,4662723,0,0,0,60.8494,1341,0,0,0
44,28,5,101,340,1555,5,2500000,520305,3943196,0,0,0,61.1994,1063,0,0,0
49,34,5,42,340,1555,7,3500000,622621,5408651,0,0,0,60.7123,1024,0,0,0
57,37,5,202,340,1560,9,4500000,574330,6868771,0,0,0,60.4179,1685,0,0,0
50,34,5,101,365,1580,8,4000000,650173,6234196,0,0,0,60.9153,1512,0,0,0
59,47,6,101,180,1695,9,4500000,681662,7240163,0,0,0,61.6700,1276,1,1,0
68,46,6,101,190,1735,6,3000000,553399,4798702,0,0,0,61.5321,949,1,2,0
72,48,6,202,190,1735,6,3000000,576759,4917082,0,0,0,62.1073,1048,1,3,0
58,47,6,42,225,1740,5,2500000,603003,4124670,0,0,0,62.2623,836,1,4,0
67,46,6,42,205,1750,9,4500000,628356,7082860,0,0,0,61.1495,1277,1,5,1
70,48,6,42,205,1750,6,3000000,539947,4865729,0,0,0,61.8599,1057,0,0,0
61,45,6,42,225,1755,8,4000000,585565,6412591,0,0,0,61.5850,1509,0,0,0
69,46,6,202,235,1780,8,4000000,632970,6491592,0,0,0,61.8742,1224,0,0,0
71,48,6,101,235,1780,5,2500000,552203,4156222,0,0,0,62.4412,857,0,0,0
60,47,6,202,270,1785,9,4500000,638556,7289824,0,0,0,61.8315,1315,0,0,0
63,45,6,202,260,1790,5,2500000,546182,4117518,0,0,0,62.2215,1025,0,0,0
62,45,6,101,265,1795,6,3000000,605559,4954730,0,0,0,62.2866,845,0,0,0
64,54,6,42,265,1805,8,4000000,669896,6657434,0,0,0,62.4675,1165,0,0,0
66,54,6,202,270,1810,7,3500000,644663,5687728,0,0,0,61.9057,1308,0,0,0
65,54,6,101,310,1850,6,3000000,592032,4973093,0,0,0,62.3734,917,0,0,0
73,59,7,42,245,1940,7,3500000,672802,6084765,0,0,0,63.4837,1317,1,1,0
74,59,7,101,245,1940,7,3500000,641196,6045883,0,0,0,63.3350,1078,1,2,0
87,67,7,202,190,1940,6,3000000,615295,5156746,0,0,0,63.2206,951,1,3,1
75,59,7,202,250,1945,7,3500000,615861,5959161,0,0,0,62.9988,1408,1,4,0
78,68,7,202,215,1950,7,3500000,640464,5926096,0,0,0,62.8690,965,1,5,0
85,67,7,42,205,1955,7,3500000,623353,5907901,0,0,0,62.7972,1270,0,0,0
79,72,7,42,225,1960,7,3500000,611280,6007667,0,0,0,63.1876,1160,0,0,0
84,58,7,202,220,1960,8,4000000,690595,7009055,0,0,0,63.6663,1363,0,0,0
76,68,7,42,230,1965,7,3500000,664784,5883983,0,0,0,62.7024,1180,0,0,0
77,68,7,101,235,1970,8,4000000,719246,6906245,0,0,0,63.3238,1092,0,0,0
82,58,7,42,230,1970,9,4500000,744945,7772352,0,0,0,63.3322,1238,0,0,0
86,67,7,101,220,1970,6,3000000,638183,5157307,0,0,0,63.2232,894,0,0,0
81,72,7,202,250,1985,7,3500000,671213,6192546,0,0,0,63.8898,1073,0,0,0
80,72,7,101,255,1990,6,3000000,654307,5270227,0,0,0,63.7253,927,0,0,0
83,58,7,101,275,2015,6,3000000,535136,5278055,0,0,0,63.7596,1007,0,0,0
95,87,8,101,1760,3700,7,3500000,637147,5187899,0,0,0,59.7141,1193,1,1,1
101,78,8,101,1760,3710,7,3500000,675748,5275830,0,0,0,60.1177,1299,1,2,0
94,87,8,42,1785,3725,8,4000000,683736,5945370,0,0,0,59.7803,1484,1,3,0
96,87,8,202,1795,3735,7,3500000,682238,5241564,0,0,0,59.9614,1264,1,4,0
102,78,8,202,1785,3735,7,3500000,677944,5407709,0,0,0,60.7082,1479,1,5,0
92,74,8,101,1800,3740,8,4000000,715920,5955313,0,0,0,59.8204,1396,0,0,0
100,78,8,42,1790,3740,8,4000000,712108,6049122,0,0,0,60.1955,1526,0,0,0
90,73,8,202,1810,3750,7,3500000,689979,5258788,0,0,0,60.0401,1166,0,0,0
97,75,8,42,1810,3755,8,4000000,708547,6128663,0,0,0,60.5081,1621,0,0,0
91,74,8,42,1825,3765,8,4000000,691288,5985529,0,0,0,59.9420,1606,0,0,0
93,74,8,202,1825,3765,7,3500000,754601,5315188,0,0,0,60.2958,1118,0,0,0
89,73,8,101,1840,3780,6,3000000,639992,4608335,0,0,0,60.5696,1150,0,0,0
99,75,8,202,1835,3780,6,3000000,591072,4600249,0,0,0,60.5276,1397,0,0,0
98,75,8,101,1840,3785,9,4500000,758493,6923651,0,0,0,60.6080,1529,0,0,0
88,73,8,42,1855,3795,6,3000000,654436,4596459,0,0,0,60.5079,1143,0,0,0
