run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,worker_id,parent_worker_id,algorithm,week,worker_seed,depth,start_time_ms,finish_time_ms,finish_candidate,initial_temperature,final_temperature,temperature_at_best,best_candidate,plateau_count,branch_count,produced_global_best,final_penalty,best_penalty,start_penalty,improvement_per_10k,branches_per_10k,accepted_worse_pct,hard_reject_pct,first_plateau_candidate,last_improvement_candidate,local_best_improvements,accepted_worse,hard_rejects
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,0,-1,lahc,1,101,0,0,827,500000,100.000000,0.000000,0.000000,427746,0,28,0,1105,795,3800,60.1000,0.5600,0.00,62.31,0,427746,0,0,826657
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,2,0,lahc,1,101,1,0,797,500000,100.000000,0.000000,0.000000,496376,0,10,0,760,615,1450,16.7000,0.2000,0.00,61.24,0,496376,0,0,789963
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,1,lahc,1,101,1,0,780,500000,100.000000,0.000000,0.000000,498416,0,9,0,575,470,1010,10.8000,0.1800,0.00,60.57,0,498416,0,0,768147
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,4,2,lahc,1,101,2,0,738,500000,100.000000,0.000000,0.000000,323874,0,6,0,500,410,715,6.1000,0.1200,0.00,60.21,0,323874,0,0,756523
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,5,3,lahc,1,101,2,0,717,500000,100.000000,0.000000,0.000000,221535,0,6,1,450,400,535,2.7000,0.1200,0.00,59.52,0,221535,0,0,735099
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,6,4,lahc,1,101,3,0,699,500000,100.000000,0.000000,0.000000,0,0,0,1,400,400,400,0.0000,0.0000,0.00,60.05,0,0,0,0,751593
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,0,-1,lahc,2,101,0,0,798,500000,100.000000,0.000000,0.000000,379338,0,36,0,950,670,3770,62.0000,0.7200,0.00,61.67,0,379338,0,0,804314
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,2,0,lahc,2,101,1,0,767,500000,100.000000,0.000000,0.000000,452052,0,7,0,635,495,1320,16.5000,0.1400,0.00,60.68,0,452052,0,0,771731
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,3,1,lahc,2,101,1,0,750,500000,100.000000,0.000000,0.000000,404630,0,10,0,570,415,925,10.2000,0.2000,0.00,59.82,0,404630,0,0,744549
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:05:22+01:00,4,2,lahc,2,101,2,0,722,500000,100.000000,0.000000,0.000000,393175,0,9,0,380,305,610,6.1000,0.1800,0.00,59.21,0,393175,0,0,725767
