path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
2,0,1,101,400,400,9,4500000,1939755,13793842,1172536,621789,1205675,75.4016,3574,1,1,1
3,0,1,202,410,410,12,6000000,2624566,18415367,1598711,865323,1535966,75.4253,3899,1,2,0
1,0,1,42,430,430,9,4500000,1903232,13862143,1161528,622030,1216442,75.4931,3474,1,3,0
4,2,2,42,220,620,21,10500000,4377522,31564065,2737605,1482815,2779580,75.0381,4208,1,1,1
5,2,2,101,220,620,15,7500000,3112380,22524316,1946284,1049624,2004092,75.0202,3690,1,2,0
6,2,2,202,240,640,18,9000000,3538523,26954424,2213193,1180850,2605957,74.9683,3838,1,3,0
10,1,2,42,235,665,18,9000000,3691824,27027505,2280840,1239659,2479501,75.0191,4137,1,4,0
8,3,2,101,270,680,15,7500000,3120911,22352667,1937770,1041016,2021214,74.8766,3766,1,5,0
11,1,2,101,250,680,18,9000000,3574350,27006765,2222367,1185167,2592466,75.0047,4052,0,0,0
7,3,2,42,295,705,15,7500000,2943337,22269941,1841023,989006,2169971,74.8068,3717,0,0,0
12,1,2,202,275,705,9,4500000,1866057,13499352,1148998,619386,1231616,74.9991,3334,0,0,0
9,3,2,202,315,725,12,6000000,2289532,17864899,1414953,743841,1841206,74.8585,3498,0,0,0
18,5,3,202,455,1075,15,7500000,3040177,22420369,1919240,967937,2112823,74.9335,4089,1,1,0
17,5,3,101,470,1090,18,9000000,3615806,26851707,2262267,1145219,2592514,74.8966,4225,1,2,0
14,4,3,101,475,1095,15,7500000,2994714,22592515,1884537,965974,2149489,75.0769,4084,1,3,1
16,5,3,42,475,1095,15,7500000,3066835,22389205,1909717,968833,2121450,74.9073,4040,1,4,0
13,4,3,42,490,1110,15,7500000,3022650,22451301,1902447,971111,2126442,74.9594,4174,1,5,0
15,4,3,202,495,1115,9,4500000,1868106,13549830,1164134,600183,1235683,75.0690,3616,0,0,0
20,6,3,101,475,1115,12,6000000,2423466,17764289,1523687,781147,1695166,74.7520,3759,0,0,0
19,6,3,42,480,1120,12,6000000,2442209,18024915,1525979,779492,1694529,75.0259,3948,0,0,0
21,6,3,202,505,1145,15,7500000,3030034,22541635,1886790,965057,2148153,75.0346,3930,0,0,0
27,8,3,202,470,1150,18,9000000,3753501,26965831,2364368,1201948,2433684,74.9762,4105,0,0,0
24,10,3,202,515,1180,15,7500000,3150960,22581307,1974890,1021293,2003817,75.0676,3766,0,0,0
25,8,3,42,500,1180,9,4500000,1899891,13419993,1181775,601765,1216460,74.8884,3585,0,0,0
22,10,3,42,520,1185,18,9000000,3744997,27162208,2345158,1208290,2446552,75.1121,3879,0,0,0
26,8,3,101,510,1190,12,6000000,2650302,17961082,1640664,845515,1513821,74.9594,3703,0,0,0
23,10,3,101,530,1195,18,9000000,3729788,27179539,2345500,1211726,2442774,75.1241,4017,0,0,0
