run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,candidate,temperature_at_event,old_global_best,new_global_best,improvement,elapsed_ms
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,1,99.997237,3800,3710,90,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,4,99.988948,3710,3650,60,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,5,99.986185,3650,3620,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,6,99.983423,3620,3590,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,8,99.977898,3590,3355,235,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,9,99.975135,3355,3235,120,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,10,99.972373,3235,3145,90,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,11,99.969610,3145,2995,150,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,13,99.964086,2995,2875,120,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,14,99.961324,2875,2835,40,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,15,99.958562,2835,2655,180,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,43,99.881257,2655,2620,35,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,45,99.875738,2620,2485,135,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,47,99.870218,2485,2355,130,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,48,99.867459,2355,2175,180,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,49,99.864700,2175,2160,15,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,50,99.861940,2160,2130,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,51,99.859181,2130,2065,65,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,53,99.853663,2065,1915,150,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,63,99.826076,1915,1885,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,65,99.820560,1885,1855,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,67,99.815043,1855,1840,15,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,69,99.809528,1840,1825,15,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,79,99.781953,1825,1735,90,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,408,98.878985,1735,1615,120,2
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,412,98.868057,1615,1600,15,2
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,421,98.843474,1600,1540,60,2
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,501,98.625223,1540,1485,55,2
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,502,98.622498,1485,1295,190,2
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,503,98.619773,1295,1280,15,2
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,1452,96.067392,1280,1250,30,4
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,1461,96.043505,1250,1190,60,4
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,1462,96.040851,1190,1075,115,4
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,1,0,1463,96.038197,1075,1030,45,4
