path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
1,0,1,42,400,400,4,2000000,479065,3118301,327516,151549,1520935,60.9245,882,1,1,1
2,0,1,101,400,400,4,2000000,491629,3186431,336734,154895,1508371,61.4378,920,1,2,0
3,0,1,202,400,400,6,3000000,577781,4556920,411738,166043,2422219,60.3013,937,1,3,0
6,1,2,202,230,630,4,2000000,322665,2999468,228086,94579,1677335,59.9957,788,1,1,1
4,1,2,42,240,640,4,2000000,474482,2980809,317908,156574,1525518,59.8459,831,1,2,0
5,1,2,101,240,640,3,1500000,280214,2181852,191194,89020,1219786,59.2596,746,1,3,0
8,2,2,101,245,645,6,3000000,887062,4462974,585988,301074,2112938,59.8015,907,1,4,0
11,3,2,101,250,650,6,3000000,705311,4444662,476004,229307,2294689,59.7027,919,1,5,0
9,2,2,202,260,660,7,3500000,925358,5246591,622701,302657,2574642,59.9844,953,0,0,0
12,3,2,202,260,660,6,3000000,703197,4530811,473020,230177,2296803,60.1637,870,0,0,0
7,2,2,42,270,670,5,2500000,529237,3719274,362022,167215,1970763,59.8024,798,0,0,0
10,3,2,42,290,690,4,2000000,324277,3033874,230958,93319,1675723,60.2692,793,0,0,0
17,4,3,101,445,1085,5,2500000,533231,3805165,379896,153335,1966769,60.3500,1037,1,1,0
14,6,3,101,460,1090,4,2000000,493879,3026380,341790,152089,1506121,60.2099,976,1,2,0
15,6,3,202,460,1090,4,2000000,487398,2963015,335191,152207,1512602,59.7019,921,1,3,1
13,6,3,42,465,1095,3,1500000,293604,2192308,207983,85621,1206396,59.3750,842,1,4,0
16,4,3,42,460,1100,5,2500000,539803,3780784,380380,159423,1960197,60.1961,1031,1,5,0
20,5,3,101,470,1110,4,2000000,485270,2934511,332543,152727,1514730,59.4691,921,0,0,0
25,11,3,42,460,1110,5,2500000,536524,3690123,379124,157400,1963476,59.6131,1001,0,0,0
19,5,3,42,480,1120,5,2500000,679030,3679912,459589,219441,1820970,59.5463,946,0,0,0
18,4,3,202,485,1125,4,2000000,487438,3032332,336483,150955,1512562,60.2570,940,0,0,0
23,8,3,101,500,1145,5,2500000,528029,3765563,369104,158925,1971971,60.0994,998,0,0,0
24,8,3,202,500,1145,4,2000000,333683,2993899,244141,89542,1666317,59.9511,899,0,0,0
27,11,3,202,495,1145,5,2500000,695983,3796741,476525,219458,1804017,60.2969,1022,0,0,0
21,5,3,202,510,1150,4,2000000,493656,2948208,339024,154632,1506344,59.5813,954,0,0,0
22,8,3,42,505,1150,4,2000000,331266,2954059,239225,92041,1668734,59.6291,885,0,0,0
26,11,3,101,505,1155,4,2000000,359525,2962894,265773,93752,1640475,59.7009,885,0,0,0
31,14,4,42,135,1225,6,3000000,697623,4773784,485237,212386,2302377,61.4088,821,1,1,0
33,14,4,202,135,1225,5,2500000,529429,3957584,373324,156105,1970571,61.2858,743,1,2,0
30,17,4,202,150,1235,4,2000000,457146,3220667,313242,143904,1542854,61.6907,782,1,3,0
40,16,4,42,135,1235,6,3000000,538437,4675286,384082,154355,2461563,60.9135,727,1,4,0
35,15,4,101,150,1240,6,3000000,710461,4862125,492168,218293,2289539,61.8424,929,1,5,1
28,17,4,42,160,1245,5,2500000,510594,3876028,358737,151857,1989406,60.7906,777,0,0,0
38,13,4,101,150,1245,5,2500000,526669,3934853,371277,155392,1973331,61.1491,729,0,0,0
29,17,4,101,165,1250,6,3000000,826998,4763773,559847,267151,2173002,61.3590,1046,0,0,0
41,16,4,101,150,1250,4,2000000,312830,3097505,227108,85722,1687170,60.7651,696,0,0,0
