run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,worker_id,parent_worker_id,algorithm,week,worker_seed,depth,start_time_ms,finish_time_ms,finish_candidate,initial_temperature,final_temperature,temperature_at_best,best_candidate,plateau_count,branch_count,produced_global_best,final_penalty,best_penalty,start_penalty,improvement_per_10k,branches_per_10k,accepted_worse_pct,hard_reject_pct,first_plateau_candidate,last_improvement_candidate,local_best_improvements,accepted_worse,hard_rejects
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,3,1,sa,1,42,1,0,712,500000,100.000000,0.000100,16.714139,64744,4,0,0,470,415,565,3.0000,0.0000,1.79,59.40,164744,64744,42115,8969,731610
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,0,-1,sa,1,42,0,0,801,500000,100.000000,34.298569,18.396534,61273,4,61,0,1165,430,3800,67.4000,1.2200,14.06,61.66,161273,61273,128681,70322,804115
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,2,0,sa,1,42,1,0,795,500000,100.000000,26.085790,6.075863,101367,3,3,1,915,400,845,8.9000,0.0600,12.68,61.48,201367,101367,120069,63424,797903
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,4,2,sa,1,42,2,0,707,500000,100.000000,0.000100,10.840367,80414,4,0,0,415,415,425,0.2000,0.0000,1.77,61.08,180414,80414,36651,8834,784673
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,2,0,sa,2,202,1,0,662,500000,100.000000,0.000100,9.222911,86262,4,0,0,305,305,690,7.7000,0.0000,1.92,59.63,186262,86262,37733,9579,738653
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,3,1,sa,2,202,1,0,656,500000,100.000000,0.000100,6.811833,97229,4,0,0,275,275,480,4.1000,0.0000,1.86,59.80,197229,97229,35804,9321,743916
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,0,-1,sa,2,202,0,0,740,500000,100.000000,89.590921,7.042843,96022,4,72,1,1285,230,3740,70.2000,1.4400,13.23,61.03,196022,96022,122643,66160,782999
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,4,2,sa,2,202,2,0,652,500000,100.000000,0.000100,0.000000,0,4,0,0,270,245,245,0.0000,0.0000,1.90,59.48,150172,0,31906,9519,733900
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,3,1,sa,3,202,1,0,734,500000,100.000000,0.000100,8.570063,88919,4,0,0,495,490,615,2.5000,0.0000,1.80,58.85,188919,88919,39604,9022,714956
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,0,-1,sa,3,202,0,0,824,500000,100.000000,45.211821,13.955969,71271,4,66,0,1375,475,4385,78.2000,1.3200,13.67,60.75,171271,71271,131890,68365,773825
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,2,0,sa,3,202,1,0,820,500000,100.000000,74.105083,8.514595,89154,4,2,1,1675,460,885,8.5000,0.0400,13.16,60.67,189154,89154,127214,65776,771325
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,4,2,sa,3,202,2,0,730,500000,100.000000,0.000100,0.000000,0,4,0,0,490,470,470,0.0000,0.0000,1.81,58.43,150172,0,36483,9044,702909
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,2,0,sa,4,101,1,0,598,500000,100.000000,0.000100,12.279028,75904,4,0,0,225,225,585,7.2000,0.0000,1.73,63.04,175904,75904,33555,8629,852677
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,0,-1,sa,4,101,0,0,678,500000,100.000000,56.398039,11.187885,79272,4,54,0,1320,210,3405,63.9000,1.0800,13.07,62.60,179272,79272,126190,65341,836776
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,3,1,sa,4,101,1,0,677,500000,100.000000,40.526957,15.569261,67312,4,1,0,1075,195,255,1.2000,0.0200,13.41,62.51,167312,67312,129418,67074,833738
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,4,2,sa,4,101,2,0,665,500000,100.000000,35.240008,4.497550,112253,3,4,1,1155,150,195,0.9000,0.0800,12.02,62.31,212253,112253,117656,60089,826584
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,5,3,sa,4,101,2,0,588,500000,100.000000,0.000100,0.000000,0,4,0,0,255,190,190,0.0000,0.0000,1.75,60.16,150172,0,42259,8769,754951
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,6,4,sa,4,101,3,0,596,500000,100.000000,0.000100,0.000000,0,4,0,1,270,150,150,0.0000,0.0000,1.68,60.24,150172,0,43090,8391,757399
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,0,-1,sa,5,202,0,0,757,500000,100.000000,71.478594,8.827465,87848,4,63,0,1455,350,4350,80.0000,1.2600,13.16,61.61,187848,87848,121401,65777,802323
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,3,1,sa,5,202,1,0,672,500000,100.000000,0.000100,13.147767,73430,4,0,0,355,340,395,1.1000,0.0000,1.76,58.78,173430,73430,47398,8779,712958
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,2,0,sa,5,202,1,0,757,500000,100.000000,75.316824,8.377607,89741,4,4,1,1455,295,680,7.7000,0.0800,13.18,61.68,189741,89741,120683,65876,804897
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,4,2,sa,5,202,2,0,667,500000,100.000000,0.000100,0.000000,0,4,0,0,370,335,335,0.0000,0.0000,1.82,59.39,150172,0,43029,9078,731130
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,0,-1,sa,6,42,0,0,720,500000,100.000000,46.558181,13.552393,72333,4,59,0,1035,290,3535,64.9000,1.1800,13.86,63.26,172333,72333,132518,69281,861001
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,2,0,sa,6,42,1,0,713,500000,100.000000,45.500063,13.867558,71501,4,3,0,1105,265,640,7.5000,0.0600,13.93,63.28,171501,71501,133649,69661,861738
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,3,1,sa,6,42,1,0,705,500000,100.000000,98.573460,6.401062,99480,4,3,0,1750,230,410,3.6000,0.0600,12.75,63.13,199480,99480,124283,63739,856015
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,5,3,sa,6,42,2,0,613,500000,100.000000,0.000100,5.797063,103067,3,0,0,265,250,260,0.2000,0.0000,1.80,60.35,203067,103067,31709,9024,760881
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,6,4,sa,6,42,3,0,638,500000,100.000000,0.000100,0.000000,0,4,0,0,265,245,245,0.0000,0.0000,1.80,62.64,150172,0,45726,9003,838505
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,4,2,sa,6,42,2,0,716,500000,100.000000,70.892452,8.900451,87550,4,1,1,1365,220,280,1.2000,0.0200,13.38,63.02,187550,87550,128719,66904,852199
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,7,5,sa,6,42,3,0,625,500000,100.000000,0.000100,0.000000,0,4,0,1,245,220,220,0.0000,0.0000,1.82,61.56,150172,0,35940,9115,800772
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,2,0,sa,7,202,1,0,592,500000,100.000000,0.000100,8.230761,90381,4,0,0,295,295,675,7.6000,0.0000,1.95,62.81,190381,90381,44701,9767,844444
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,0,-1,sa,7,202,0,0,671,500000,100.000000,55.736539,11.320667,78845,4,76,1,1460,235,3460,64.5000,1.5200,14.40,64.76,178845,78845,133981,71983,918912
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,3,1,sa,7,202,1,0,588,500000,100.000000,0.000100,14.997125,68667,4,0,0,260,260,340,1.6000,0.0000,1.96,61.52,168667,68667,38654,9816,799331
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,0,-1,sa,8,202,0,0,854,500000,100.000000,64.751823,25.129277,434271,3,64,0,2685,1685,4850,63.3000,1.2800,13.42,61.73,184285,434271,127081,67086,806494
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,2,0,sa,8,202,1,0,845,500000,100.000000,89.541425,7.046736,96002,4,9,0,2825,1685,2035,7.0000,0.1800,14.21,61.57,196002,96002,132644,71063,801148
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,4,2,sa,8,202,2,0,759,500000,100.000000,0.000100,12.789807,74429,4,0,0,1730,1715,1750,0.7000,0.0000,2.02,59.17,174429,74429,45148,10117,724517
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,3,1,sa,8,202,1,0,866,500000,100.000000,25.499285,6.215613,100544,3,2,0,2170,1660,1765,2.1000,0.0400,13.97,61.77,200544,100544,130854,69874,808017
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,6,4,sa,8,202,3,0,775,500000,100.000000,0.000100,0.000000,0,4,0,0,1720,1660,1660,0.0000,0.0000,2.00,60.32,150172,0,43739,9982,759997
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-05T01:03:14+01:00,5,3,sa,8,202,2,0,862,500000,100.000000,53.854748,11.716233,77602,4,1,1,2880,1655,1670,0.3000,0.0200,14.92,61.91,177602,77602,138181,74597,812593
