path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
1,0,1,42,385,385,12,12000000,4887900,19383983,2897233,1749426,3353341,61.7639,2317,1,1,0
2,0,1,123,400,400,18,18000000,7173618,28792166,4213696,2542107,5244197,61.5320,2603,1,2,0
3,0,1,777,400,400,18,18000000,7216994,28878100,4232833,2539181,5227986,61.6025,2604,1,3,1
11,3,2,123,230,630,24,24000000,10018513,37706445,5931741,3687638,6380621,61.1062,2764,1,1,1
5,1,2,123,255,640,18,18000000,7036362,28089638,4156185,2553376,5290439,60.9457,2349,1,2,0
6,1,2,777,255,640,12,12000000,4847428,19038919,2857758,1764535,3377707,61.3389,2091,1,3,0
4,1,2,42,260,645,15,15000000,5881402,23410331,3489013,2161427,4349560,60.9480,2248,1,4,0
12,3,2,777,245,645,18,18000000,6552424,27841660,3858155,2394582,5747263,60.7344,2318,1,5,0
10,3,2,42,250,650,15,15000000,5454884,23028000,3225543,1994005,4780452,60.5554,2280,0,0,0
7,2,2,42,260,660,18,18000000,7366141,27343372,4355471,2715131,4929398,60.3029,2613,0,0,0
9,2,2,777,275,675,21,21000000,8470537,31869499,5030339,3125401,5844260,60.2796,2552,0,0,0
8,2,2,123,280,680,18,18000000,7026397,27235456,4152220,2558330,5289450,60.2082,2512,0,0,0
14,11,3,123,445,1075,15,15000000,6420003,23115963,3808766,2291940,3899294,60.6464,2534,1,1,1
13,11,3,42,450,1080,9,9000000,3374542,13518439,2002593,1183829,2813578,60.0328,1995,1,2,0
19,6,3,42,445,1085,21,21000000,8505556,32135707,5099886,3071892,5828222,60.4786,2806,1,3,0
17,5,3,123,455,1095,24,24000000,10550431,36797284,6299574,3791188,5909238,60.5246,3034,1,4,0
21,6,3,777,460,1100,12,12000000,4503629,18620469,2657449,1579296,3763255,60.8105,2239,1,5,0
15,11,3,777,475,1105,15,15000000,5888564,22566447,3525952,2125501,4348547,60.0708,2510,0,0,0
18,5,3,777,465,1105,15,15000000,6469316,22818653,3847961,2288003,3864036,60.3370,2571,0,0,0
23,4,3,123,460,1105,15,15000000,5957579,22729560,3539449,2132447,4328104,60.2434,2481,0,0,0
24,4,3,777,460,1105,12,12000000,4875544,18052159,2872812,1733988,3393200,60.0694,2215,0,0,0
26,12,3,123,465,1110,18,18000000,8354882,27659194,4942632,2986093,4071275,60.5775,2881,0,0,0
16,5,3,42,475,1115,24,24000000,9749357,36743575,5807444,3462237,6730319,60.4896,2865,0,0,0
20,6,3,123,475,1115,15,15000000,5966724,22945369,3578563,2134912,4286525,60.4695,2413,0,0,0
25,12,3,42,475,1120,15,15000000,5639304,22517273,3330613,1968888,4700499,60.0184,2426,0,0,0
22,4,3,42,480,1125,15,15000000,5954418,22636956,3543717,2127972,4328311,60.1456,2489,0,0,0
27,12,3,777,480,1125,12,12000000,4472617,18632607,2650244,1574232,3775524,60.8261,2233,0,0,0
34,19,4,42,110,1195,12,12000000,4460150,19286458,2651628,1561866,3786506,61.6447,1847,1,1,0
35,19,4,123,120,1205,9,9000000,3295508,14773988,1967509,1171450,2861041,62.1435,1699,1,2,0
36,19,4,777,120,1205,18,18000000,7446672,29773060,4416739,2659921,4923340,62.3219,2194,1,3,0
28,14,4,42,135,1210,12,12000000,4446816,19380165,2665185,1561137,3773678,61.7593,1857,1,4,0
29,14,4,123,150,1225,18,18000000,7081412,29194473,4221459,2497932,5280609,61.8599,2227,1,5,1
30,14,4,777,150,1225,18,18000000,7113321,29244899,4221825,2502171,5276004,61.9006,2251,0,0,0
31,13,4,42,150,1230,21,21000000,8584112,35351579,5174897,3043094,5782009,62.7340,2353,0,0,0
38,17,4,123,135,1230,15,15000000,5557453,24439280,3335520,1952042,4712438,61.9669,1954,0,0,0
37,17,4,42,145,1240,21,21000000,8937039,35169235,5341726,3203609,5454665,62.6130,3029,0,0,0
39,17,4,777,145,1240,18,18000000,7093519,29565573,4218777,2499295,5281928,62.1575,2704,0,0,0
32,13,4,123,165,1245,15,15000000,5545591,24568420,3267244,1948246,4784510,62.0910,2035,0,0,0
41,21,4,123,145,1245,18,18000000,6994738,29276512,4194164,2493371,5312465,61.9261,2201,0,0,0
40,21,4,42,150,1250,15,15000000,5984391,24541269,3555809,2107274,4336917,62.0650,2062,0,0,0
33,13,4,777,180,1260,12,12000000,4528936,20032885,2653344,1559811,3786845,62.5385,1884,0,0,0
42,21,4,777,180,1280,15,15000000,5591721,23902971,3342561,1949762,4707677,61.4425,2004,0,0,0
56,29,5,123,280,1505,30,30000000,12644589,48199304,7433620,4645969,7920411,61.6365,3434,1,1,1
55,29,5,42,290,1515,18,18000000,7843049,28809453,4610252,2890292,4499456,61.5462,2838,1,2,0
46,35,5,42,315,1520,18,18000000,7064391,28700674,4163703,2567051,5269246,61.4567,2341,1,3,0
57,29,5,777,300,1525,15,15000000,6348536,24070694,3721027,2321780,3957193,61.6081,2703,1,4,0
49,36,5,42,325,1530,18,18000000,6711815,29181972,3902117,2392197,5705686,61.8498,2367,1,5,0
47,35,5,123,330,1535,12,12000000,4932681,19126545,2872043,1766777,3361180,61.4477,2224,0,0,0
48,35,5,777,335,1540,18,18000000,7141208,28343747,4173858,2562510,5263632,61.1598,2429,0,0,0
52,28,5,42,340,1550,15,15000000,5959814,23838815,3486509,2162501,4350990,61.3788,2338,0,0,0
53,28,5,123,340,1550,21,21000000,8107075,33664464,4812077,2962995,6224928,61.5838,2678,0,0,0
51,36,5,777,350,1555,15,15000000,5565836,23830128,3293339,1993192,4713469,61.3702,2146,0,0,0
50,36,5,123,355,1560,12,12000000,4540104,19015113,2656745,1595516,3747739,61.3092,2156,0,0,0
45,34,5,777,375,1570,21,21000000,8495743,33664182,5034534,3099968,5865498,61.5836,2664,0,0,0
54,28,5,777,360,1570,15,15000000,5524260,24021588,3245207,1999809,4754984,61.5597,2383,0,0,0
44,34,5,123,385,1580,15,15000000,5536155,23762067,3297737,1992882,4709381,61.3024,2265,0,0,0
43,34,5,42,390,1585,18,18000000,6676595,28679512,3941970,2390862,5667168,61.4392,2435,0,0,0
60,56,6,777,180,1685,15,15000000,5962970,25797536,3560243,2125901,4313856,63.2331,2203,1,1,0
59,56,6,123,195,1700,12,12000000,4792098,20514493,2882441,1734320,3383239,63.0934,2025,1,2,0
58,56,6,42,205,1710,18,18000000,7431245,30452408,4439705,2679875,4880420,62.8501,2432,1,3,1
65,46,6,123,190,1710,12,12000000,4384177,20532635,2611777,1571310,3816913,63.1140,2076,1,4,0
66,46,6,777,200,1720,12,12000000,4471107,20232205,2662858,1570493,3766649,62.7702,1963,1,5,0
61,55,6,42,210,1725,18,18000000,7427803,31076671,4443589,2678393,4878018,63.3227,2558,0,0,0
62,55,6,123,210,1725,21,21000000,8777198,36439555,5306714,3210790,5482496,63.4398,2704,0,0,0
64,46,6,42,205,1725,21,21000000,9390805,36462010,5626953,3402160,4970887,63.4541,2743,0,0,0
69,57,6,777,220,1745,18,18000000,7028827,30937421,4186179,2505624,5308197,63.2183,2379,0,0,0
70,49,6,42,220,1750,21,21000000,7682906,35601139,4580471,2748856,6670673,62.8983,2352,0,0,0
68,57,6,123,230,1755,18,18000000,6964728,30984312,4198450,2514428,5287122,63.2535,2264,0,0,0
63,55,6,777,250,1765,9,9000000,3358726,15276975,1990327,1177308,2832365,62.9278,1782,0,0,0
67,57,6,42,250,1775,15,15000000,5573798,25684140,3280819,1962060,4757121,63.1306,2250,0,0,0
71,49,6,123,250,1780,12,12000000,4831248,20902547,2871148,1734423,3394429,63.5287,2012,0,0,0
72,49,6,777,250,1780,12,12000000,4442061,20645734,2634745,1571228,3794027,63.2418,2027,0,0,0
75,60,7,777,185,1870,21,21000000,8689111,38204835,5101648,3170017,5728335,64.5299,2517,1,1,0
80,58,7,123,160,1870,12,12000000,4584577,22470576,2661374,1614849,3723777,65.1877,1919,1,2,1
81,58,7,777,160,1870,24,24000000,9868528,45216528,5750494,3563747,6685759,65.3262,2982,1,3,0
73,60,7,42,200,1885,21,21000000,8197742,38069917,4789529,2988650,6221821,64.4489,2381,1,4,0
74,60,7,123,200,1885,12,12000000,4533196,21719263,2629728,1616997,3753275,64.4120,1929,1,5,0
79,58,7,42,175,1885,12,12000000,4596610,22421257,2665049,1616097,3718854,65.1378,1949,0,0,0
77,59,7,123,220,1920,15,15000000,6064517,27773249,3552159,2182965,4264876,64.9314,2270,0,0,0
76,59,7,42,235,1935,27,27000000,10853388,50246396,6351728,3952400,7695872,65.0469,2799,0,0,0
85,66,7,42,215,1935,12,12000000,4491724,21952895,2596564,1615216,3788220,64.6569,1978,0,0,0
87,66,7,777,215,1935,21,21000000,8586231,39517037,5031028,3148023,5820949,65.2990,2545,0,0,0
