run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,path_id,fingerprint,hamming_to_best,hamming_to_parent,beam_spread,near_duplicate,retained,retained_rank,winning,cumulative_penalty,week_penalty
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,1,5,e1e844f2478c,0.000000,0.000000,15,1,1,1,0,385,385
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,1,2,d1cf3815a932,0.535714,0.000000,15,0,1,2,1,400,400
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,1,4,8c1ce7b92ffc,0.321429,0.000000,15,0,1,3,0,385,385
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,1,1,471a58ea39a8,0.416667,0.000000,15,0,1,4,0,395,395
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,1,3,24cc6e3985b0,0.440476,0.000000,15,0,1,5,0,400,400
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,12,775be47bcbff,0.000000,0.642857,45,1,1,1,0,610,210
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,11,a9ef3cb51631,0.464286,0.607143,45,0,1,2,1,630,230
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,6,aa6ef096aed0,0.607143,0.583333,45,0,1,3,0,625,240
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,8,c38f6d4209eb,0.547619,0.642857,45,0,1,4,0,625,240
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,28,cd29f58fe223,0.607143,0.797619,45,0,1,5,0,650,250
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,9,1fbda61615e1,0.583333,0.642857,45,0,1,6,0,625,240
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,15,c0b60fe4ee07,0.404762,0.702381,45,0,1,7,0,620,220
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,10,1a3332bb95fe,0.607143,0.619048,45,0,1,8,0,655,270
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,14,bf280632641f,0.595238,0.666667,45,0,1,9,0,630,230
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,13,d9e0a1ded3ab,0.416667,0.654762,45,0,1,10,0,625,225
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,19,6047e9ab854e,0.785714,0.678571,45,0,1,11,0,625,240
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,30,e62d2dd5c2a8,0.666667,0.726190,45,0,1,12,0,650,250
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,7,8f7f8a1510be,0.690476,0.678571,45,0,0,0,0,630,245
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,18,37be6adad265,0.809524,0.571429,45,0,0,0,0,635,250
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,16,1c54947a7676,0.654762,0.654762,45,0,0,0,0,675,290
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,29,c6823cae2130,0.559524,0.678571,45,0,0,0,0,660,260
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,20,1fbb8c79c096,0.773810,0.690476,45,0,0,0,0,665,280
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,27,0e2a13099ce1,0.559524,0.666667,45,0,0,0,0,660,260
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,26,d1d25fe26ff6,0.511905,0.595238,45,0,0,0,0,660,260
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,17,0fb2b9d53d8a,0.773810,0.571429,45,0,0,0,0,660,275
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,24,0bdd3163bfe9,0.750000,0.666667,45,0,0,0,0,695,300
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,25,e6482efb1a87,0.714286,0.702381,45,0,0,0,0,700,305
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,21,5a239b55f6a1,0.714286,0.595238,45,0,0,0,0,710,315
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,23,895c2f39a0b9,0.738095,0.702381,45,0,0,0,0,720,325
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,2,22,ee0664bbab9f,0.726190,0.702381,45,0,0,0,0,710,315
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,31,5ad6859c9c81,0.000000,0.547619,60,1,1,1,0,1075,465
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,33,dc8f6391861e,0.488095,0.654762,60,0,1,2,0,1075,465
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,34,c1366411d705,0.488095,0.619048,60,0,1,3,0,1075,465
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,37,2b9a4eaff25b,0.642857,0.654762,60,0,1,4,1,1080,450
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,32,5964668730ed,0.511905,0.642857,60,0,1,5,0,1075,465
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,69,4c35300b5877,0.523810,0.619048,60,0,1,6,0,1135,480
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,39,7033a9f4b8b7,0.666667,0.642857,60,0,1,7,0,1095,465
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,85,e67bfeae5aec,0.678571,0.702381,60,0,1,8,0,1080,455
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,48,31784977511c,0.559524,0.666667,60,0,1,9,0,1075,450
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,35,341f0115fecc,0.547619,0.595238,60,0,1,10,0,1075,465
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,38,65d16b9fd193,0.642857,0.630952,60,0,1,11,0,1110,480
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,61,619c727a9706,0.761905,0.690476,60,0,1,12,0,1090,470
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,63,3c181b33a182,0.583333,0.607143,60,0,0,0,0,1085,465
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,67,2e849fad7f82,0.738095,0.619048,60,0,0,0,0,1100,445
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,44,f5ad1636ae88,0.607143,0.630952,60,0,0,0,0,1100,475
n012w8-0,n012w8,0,12,1500000,100.0,adaptive,2026-07-04T11:37:08+01:00,3,86,cd3e33316243,0.678571,0.619048,60,0,0,0,0,1110,460
