path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
5,0,1,404,385,385,21,31500000,13009467,50270499,7737509,4702460,8560031,61.4775,4289,1,1,0
2,0,1,101,400,400,15,22500000,9138590,35795226,5360646,3245984,6393370,61.4034,3502,1,2,1
4,0,1,303,385,385,18,27000000,11395177,43474154,6736292,4110514,7153194,61.6881,4246,1,3,0
1,0,1,42,395,395,18,27000000,10754971,43148570,6389178,3840826,7769996,61.5103,3799,1,4,0
3,0,1,202,400,400,15,22500000,9099375,35578499,5451475,3243456,6305069,61.2593,3617,1,5,0
12,2,2,101,210,610,18,27000000,10569130,40422805,6285001,3860915,7854084,59.9542,3772,1,1,0
11,2,2,42,230,630,24,36000000,14542076,54675378,8650092,5332283,10017625,60.2979,4596,1,2,1
6,5,2,42,240,625,21,31500000,12867818,48503589,7631563,4741800,8626637,60.6268,4024,1,3,0
8,5,2,202,240,625,24,36000000,15183998,54971582,8994287,5601851,9403862,60.4272,4405,1,4,0
28,3,2,202,250,650,24,36000000,14453089,54179080,8594255,5331778,10073967,60.0794,4159,1,5,0
9,5,2,303,240,625,24,36000000,13728129,55026864,8104475,5065756,10829769,60.4512,4008,1,6,0
15,2,2,404,220,620,24,36000000,15890473,55324236,9437732,5873843,8688425,60.5800,4613,1,7,0
10,5,2,404,270,655,18,27000000,9835949,40911601,5861401,3600726,8537873,60.2424,3729,1,8,0
14,2,2,303,230,630,21,31500000,12160403,47530294,7257340,4465083,9277577,60.1419,4060,1,9,0
13,2,2,202,225,625,12,18000000,6496441,27054743,3862635,2399129,5738236,60.0486,3186,1,10,0
19,4,2,303,240,625,18,27000000,9937873,41171812,5865437,3599141,8535422,60.3942,3606,1,11,0
30,3,2,404,250,650,18,27000000,10480978,40569569,6226132,3863668,7910200,60.0412,3742,1,12,0
7,5,2,101,245,630,21,31500000,12096110,47915179,7251960,4471206,9276834,60.3350,3976,0,0,0
18,4,2,202,250,635,24,36000000,14446166,55723243,8635272,5325946,10038782,60.7515,4579,0,0,0
16,4,2,42,290,675,18,27000000,11148587,41297428,6620420,4126533,7253047,60.4670,3916,0,0,0
29,3,2,303,260,660,21,31500000,12745651,47990649,7627158,4730868,8641974,60.3727,4134,0,0,0
20,4,2,404,280,665,12,18000000,6537935,27441903,3877484,2400959,5721557,60.3890,3383,0,0,0
27,3,2,101,260,660,18,27000000,10516544,40471195,6231869,3866258,7901873,59.9829,3804,0,0,0
26,3,2,42,260,660,12,18000000,6487766,26868717,3851475,2402151,5746374,59.8830,3204,0,0,0
17,4,2,101,275,660,15,22500000,8254278,34464641,4864688,3000094,7135218,60.5018,3491,0,0,0
24,1,2,303,300,695,12,18000000,6521912,27210445,3895162,2399448,5705390,60.1862,3496,0,0,0
25,1,2,404,305,700,21,31500000,12039930,48010379,7188763,4457643,9353594,60.3825,3977,0,0,0
21,1,2,42,315,710,18,27000000,10464813,40965051,6240355,3867535,7892110,60.2737,3765,0,0,0
23,1,2,202,325,720,18,27000000,10468066,41316661,6292859,3865366,7841775,60.4782,4011,0,0,0
22,1,2,101,315,710,12,18000000,6524186,27529726,3859212,2398986,5741802,60.4654,3138,0,0,0
31,12,3,42,465,1075,18,27000000,11342078,41560970,6801409,4065868,7132723,60.6190,4168,1,1,0
33,12,3,202,465,1075,24,36000000,14670805,55145704,8723282,5256586,10020132,60.5028,4657,1,2,0
34,12,3,303,465,1075,21,31500000,13041135,48606023,7752427,4664559,8583014,60.6771,4422,1,3,0
37,11,3,101,450,1080,18,27000000,10660785,41620535,6386305,3809379,7804316,60.6532,4055,1,4,1
32,12,3,101,465,1075,18,27000000,10773321,40861387,6430040,3810427,7759533,60.2130,4315,1,5,0
69,10,3,303,480,1135,15,22500000,8344335,33906535,4998265,2949992,7051743,60.1110,3761,1,6,0
39,11,3,303,465,1095,24,36000000,14076741,55352542,8352572,4990812,10656616,60.5922,4684,1,7,0
85,19,3,404,455,1080,21,31500000,12915634,47819797,7754592,4667078,8578330,60.2873,4467,1,8,0
48,8,3,202,450,1075,18,27000000,11321308,41088973,6757966,4077517,7164517,60.3460,4431,1,9,0
35,12,3,404,465,1075,15,22500000,8395024,34469370,4968819,2959185,7071996,60.5051,3723,1,10,0
38,11,3,202,480,1110,21,31500000,13000602,48748730,7740506,4650376,8609118,60.7470,4839,1,11,0
61,15,3,42,470,1090,12,18000000,6556232,27134074,3929023,2364489,5706488,60.1188,3365,1,12,0
63,15,3,202,465,1085,24,36000000,14646633,54808101,8744449,5251841,10003710,60.3560,4905,0,0,0
67,10,3,101,445,1100,18,27000000,10637442,41082477,6346909,3796163,7856928,60.3422,4356,0,0,0
44,6,3,303,475,1100,21,31500000,13011101,48477207,7755016,4656620,8588364,60.6138,4406,0,0,0
86,30,3,42,460,1110,21,31500000,12337186,47799878,7353008,4402157,9244835,60.2774,4417,0,0,0
87,30,3,101,475,1125,21,31500000,13097775,47938700,7801532,4670674,8527794,60.3468,4530,0,0,0
89,30,3,303,460,1110,21,31500000,12387771,47784886,7359683,4405376,9234941,60.2699,4355,0,0,0
90,30,3,404,460,1110,18,27000000,10620262,40825965,6331422,3809201,7859377,60.1922,4147,0,0,0
43,6,3,202,480,1105,21,31500000,12974525,48413182,7735305,4654654,8610041,60.5822,4464,0,0,0
79,13,3,303,450,1075,12,18000000,6651564,26836668,3957568,2365505,5676927,59.8543,3628,0,0,0
42,6,3,101,490,1115,15,22500000,9119161,34617255,5381333,3213810,6404857,60.6074,3791,0,0,0
36,11,3,42,465,1095,15,22500000,8403737,34795847,5002829,2958188,7038983,60.7301,3740,0,0,0
40,11,3,404,480,1110,12,18000000,7331023,27769891,4400337,2621788,4977875,60.6728,3764,0,0,0
41,6,3,42,485,1110,27,40500000,16455598,61910422,9827870,5835499,11336631,60.4532,4895,0,0,0
45,6,3,404,500,1125,27,40500000,17704256,62691801,10552343,6351897,10095760,60.7527,4825,0,0,0
49,8,3,303,450,1075,21,31500000,13719921,48259449,8140336,4918572,7941092,60.5062,4483,0,0,0
65,15,3,404,450,1070,21,31500000,12904045,47722130,7728717,4660176,8611107,60.2384,4538,0,0,0
70,10,3,404,470,1125,12,18000000,6624122,27479824,3965961,2361858,5672181,60.4220,3586,0,0,0
78,13,3,202,465,1090,21,31500000,12352531,47506724,7355778,4398684,9245538,60.1300,4512,0,0,0
68,10,3,202,470,1125,15,22500000,9051159,34143947,5384873,3211168,6403959,60.2782,3960,0,0,0
56,9,3,42,465,1090,18,27000000,10657480,40700564,6353303,3820456,7826241,60.1185,4087,0,0,0
76,13,3,42,450,1075,15,22500000,8961658,34068561,5328901,3211321,6459778,60.2253,4081,0,0,0
50,8,3,404,460,1085,15,22500000,8982033,34333727,5388179,3225482,6386339,60.4108,4000,0,0,0
88,30,3,202,460,1110,12,18000000,7277957,27076666,4340309,2619850,5039841,60.0680,3814,0,0,0
80,13,3,404,450,1075,21,31500000,12886842,47883917,7723191,4659086,8617723,60.3194,4623,0,0,0
64,15,3,303,460,1080,12,18000000,6582858,26754147,3939399,2361947,5698654,59.7803,3421,0,0,0
55,28,3,404,490,1140,18,27000000,10687948,40981912,6364316,3795539,7840145,60.2836,4352,0,0,0
46,8,3,42,455,1080,15,22500000,9009270,34215208,5362631,3224082,6413287,60.3281,3800,0,0,0
