run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,candidate,temperature_at_event,old_global_best,new_global_best,improvement,elapsed_ms
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,1,99.997237,3800,3680,120,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,2,99.994474,3680,3530,150,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,5,99.986185,3530,3380,150,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,6,99.983423,3380,3160,220,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,7,99.980660,3160,3130,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,13,99.964086,3130,3110,20,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,14,99.961324,3110,3005,105,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,15,99.958562,3005,2785,220,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,17,99.953038,2785,2635,150,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,19,99.947515,2635,2605,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,20,99.944753,2605,2575,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,24,99.933708,2575,2510,65,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,2,28,99.922663,2510,2470,40,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,45,99.875738,2470,2350,120,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,46,99.872978,2350,2320,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,45,99.875738,2320,2310,10,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,47,99.870218,2310,2290,20,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,53,99.853663,2290,2260,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,55,99.848145,2260,2250,10,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,56,99.845386,2250,2220,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,57,99.842627,2220,2025,195,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,3,59,99.837110,2025,1905,120,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,75,99.792982,1905,1800,105,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,79,99.781953,1800,1685,115,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,84,99.768169,1685,1655,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:26:25+01:00,1,1,87,99.759899,1655,1610,45,1
