path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
2,0,1,123,410,410,15,7500000,3136411,12060512,1856165,1112136,2031699,61.6574,1348,1,1,0
3,0,1,777,415,415,12,6000000,2439617,9573048,1424070,854622,1721308,61.4719,1175,1,2,0
1,0,1,42,430,430,9,4500000,1859392,7258831,1083447,656271,1260282,61.7309,1041,1,3,1
8,3,2,123,230,645,12,6000000,2329378,9130637,1361667,854982,1783351,60.3454,1133,1,1,0
7,3,2,42,235,650,24,12000000,4645141,18163830,2776911,1713150,3509939,60.2173,1547,1,2,0
9,3,2,777,240,655,15,7500000,3071952,11597971,1804406,1118921,2076673,60.7288,1328,1,3,0
12,1,2,777,230,660,12,6000000,2383323,9274363,1388918,859327,1751755,60.7185,1209,1,4,1
4,2,2,42,260,670,12,6000000,2364595,9320020,1384569,852115,1763316,60.8356,1193,1,5,0
5,2,2,123,260,670,15,7500000,2908070,11518142,1723217,1053318,2223465,60.5640,1264,0,0,0
6,2,2,777,260,670,15,7500000,2898986,11583101,1717958,1055281,2226761,60.6982,1275,0,0,0
11,1,2,123,245,675,12,6000000,2368058,9348845,1390038,860507,1749455,60.9091,1159,0,0,0
10,1,2,42,290,720,12,6000000,2356491,9400993,1378962,856424,1764614,61.0415,1151,0,0,0
24,12,3,777,435,1095,15,7500000,3099097,11451821,1829944,1100114,2069942,60.4260,1344,1,1,1
13,8,3,42,460,1105,15,7500000,2901255,11465908,1724714,1040726,2234560,60.4554,1369,1,2,0
15,8,3,777,460,1105,18,9000000,3622579,13670171,2163053,1292984,2543963,60.3003,1509,1,3,0
22,12,3,42,450,1110,9,4500000,1850320,6897683,1089475,648229,1262296,60.5183,1116,1,4,0
14,8,3,123,470,1115,9,4500000,1841295,6891117,1088954,648457,1262589,60.4955,1219,1,5,0
23,12,3,123,460,1120,12,6000000,2434817,9182390,1438187,847903,1713910,60.4805,1219,0,0,0
16,7,3,42,480,1130,12,6000000,2416212,9054295,1421938,846152,1731910,60.1443,1291,0,0,0
26,4,3,123,460,1130,15,7500000,3130266,11339184,1843489,1092716,2063795,60.1894,1432,0,0,0
19,9,3,42,480,1135,15,7500000,2927802,11433681,1738475,1039971,2221554,60.3881,1332,0,0,0
17,7,3,123,495,1145,12,6000000,2381357,9115692,1404668,843023,1752309,60.3062,1255,0,0,0
20,9,3,123,490,1145,12,6000000,2355978,9040197,1397433,835727,1766840,60.1069,1283,0,0,0
21,9,3,777,490,1145,15,7500000,3078133,11574137,1836132,1096394,2067474,60.6797,1489,0,0,0
27,4,3,777,475,1145,21,10500000,4380432,16103609,2621635,1548615,2829750,60.5317,1592,0,0,0
25,4,3,42,485,1155,12,6000000,2403948,9050048,1426808,846969,1726223,60.1330,1299,0,0,0
18,7,3,777,520,1170,18,9000000,3809631,13848464,2266558,1355104,2378338,60.6100,1517,0,0,0
28,24,4,42,130,1225,18,9000000,3483269,14661349,2074145,1225039,2700816,61.9633,1178,1,1,1
33,13,4,777,130,1235,21,10500000,4164453,17097846,2484941,1476869,3038190,61.9536,1391,1,2,0
42,14,4,777,120,1235,15,7500000,3062606,12165238,1812809,1085598,2101593,61.8616,1372,1,3,0
30,24,4,777,145,1240,15,7500000,2909399,12303223,1733880,1026229,2239891,62.1274,1102,1,4,0
40,14,4,42,135,1250,21,10500000,4340390,17186557,2578290,1537030,2884680,62.0755,1265,1,5,0
