run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,parent_worker_id,child_worker_id,depth,branch_reason,candidate,temperature_at_event,old_penalty,new_penalty,improvement,elapsed_ms
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1001,0,global_best_update,1,99.998618,3800,3755,45,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1002,0,global_best_update,2,99.997237,3755,3575,180,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,2,-1,1004,0,global_best_update,4,99.994474,3575,3430,145,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,2,-1,1005,0,global_best_update,5,99.993092,3430,3220,210,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,2,-1,1006,0,global_best_update,7,99.990330,3220,3040,180,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,2,-1,1007,0,global_best_update,14,99.980660,3040,2985,55,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,2,-1,1008,0,global_best_update,15,99.979279,2985,2670,315,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,3,-1,1010,0,global_best_update,18,99.975135,2670,2635,35,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,3,-1,1011,0,global_best_update,48,99.933708,2635,2565,70,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,3,-1,1012,0,global_best_update,49,99.932327,2565,2475,90,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,3,-1,1013,0,global_best_update,53,99.926805,2475,2435,40,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,3,-1,1014,0,global_best_update,54,99.925424,2435,2405,30,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1013,0,global_best_update,70,99.903338,2405,2365,40,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1014,0,global_best_update,71,99.901958,2365,2305,60,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1015,0,global_best_update,72,99.900578,2305,2275,30,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1016,0,global_best_update,73,99.899198,2275,2245,30,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1017,0,global_best_update,84,99.884017,2245,2210,35,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1018,0,global_best_update,86,99.881257,2210,2195,15,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1019,0,global_best_update,87,99.879877,2195,2085,110,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1020,0,global_best_update,92,99.872978,2085,2080,5,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1021,0,global_best_update,95,99.868839,2080,2005,75,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1022,0,global_best_update,132,99.817801,2005,1925,80,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1023,0,global_best_update,151,99.791603,1925,1825,100,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1024,0,global_best_update,153,99.788846,1825,1780,45,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1025,0,global_best_update,199,99.725449,1780,1765,15,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1026,0,global_best_update,211,99.708917,1765,1745,20,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1027,0,global_best_update,215,99.703407,1745,1730,15,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1028,0,global_best_update,219,99.697898,1730,1670,60,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1029,0,global_best_update,283,99.609784,1670,1655,15,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1030,0,global_best_update,284,99.608408,1655,1610,45,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1031,0,global_best_update,287,99.604280,1610,1565,45,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1032,0,global_best_update,353,99.513500,1565,1495,70,1
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1033,0,global_best_update,696,99.043049,1495,1460,35,2
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1034,0,global_best_update,697,99.041680,1460,1445,15,2
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1035,0,global_best_update,735,98.989698,1445,1400,45,2
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1036,0,global_best_update,741,98.981493,1400,1375,25,2
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1037,0,global_best_update,979,98.656567,1375,1350,25,2
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1038,0,global_best_update,1008,98.617048,1350,1305,45,2
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1039,0,global_best_update,1017,98.604787,1305,1250,55,2
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1040,0,global_best_update,1038,98.576184,1250,1210,40,2
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1041,0,global_best_update,1050,98.559842,1210,1165,45,2
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1042,0,global_best_update,1064,98.540781,1165,1075,90,2
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1043,0,global_best_update,1065,98.539420,1075,1030,45,2
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1044,0,global_best_update,1088,98.508113,1030,990,40,2
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,-1,1045,0,global_best_update,1098,98.494505,990,975,15,2
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,2,-1,1047,0,global_best_update,24571,71.215413,975,965,10,43
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,2,-1,1048,0,global_best_update,24574,71.212462,965,935,30,43
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,2,-1,1049,0,global_best_update,29738,66.308927,935,900,35,52
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,5,3,1053,1,global_best_update,3,99.995855,900,885,15,52
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,5,3,1054,1,global_best_update,4,99.994474,885,825,60,52
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,5,3,1055,1,global_best_update,49,99.932327,825,820,5,52
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,5,3,1056,1,global_best_update,51,99.929566,820,765,55,52
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,5,3,1057,1,global_best_update,55,99.924044,765,630,135,52
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,5,3,1058,1,global_best_update,10208,86.846436,630,610,20,68
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,5,3,1059,1,global_best_update,13657,82.805274,610,595,15,73
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,5,3,1060,1,global_best_update,13669,82.791547,595,565,30,73
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,5,3,1061,1,global_best_update,18148,77.823722,565,550,15,81
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,5,3,1062,1,global_best_update,24525,71.260686,550,515,35,91
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,5,3,1063,1,global_best_update,39303,58.100785,515,500,15,113
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,8,6,1067,3,global_best_update,52,99.928185,500,490,10,117
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,8,6,1068,3,global_best_update,136,99.812285,490,485,5,117
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,8,6,1069,3,global_best_update,205,99.717183,485,470,15,117
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,5,3,1067,1,global_best_update,48472,51.187981,470,465,5,127
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,8,6,1071,3,global_best_update,9947,87.160156,465,460,5,131
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,8,6,1072,3,global_best_update,10094,86.983324,460,455,5,131
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,2,-1,1067,0,global_best_update,94687,27.031989,455,445,10,153
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,5,3,1071,1,global_best_update,61840,42.555922,445,440,5,156
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,11,9,1078,4,global_best_update,17,99.976516,440,415,25,158
