run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,beam_path,candidate,elapsed_ms,temperature_at_event,current_penalty,previous_best,new_best,improvement,improvement_percent,event_type,branch_depth,seed_used,accepted_worse_count,hard_reject_count,soft_reject_count,discovery_number,cands_since_previous,time_since_previous_ms,improvement_per_10k,improvement_per_second,post_reheat_improved,post_reheat_best_delta,post_reheat_candidates_to_improve,post_reheat_spawned_branch,post_reheat_beat_global,post_reheat_on_winning_lineage
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,3,1,0,100.000000,3755,3800,3755,45,1.1842,GLOBAL_BEST,0,777,0,5,0,1,1,0,450000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,3,3,1,0,0.000000,3550,3800,3550,250,6.5789,LOCAL_BEST,0,777,0,2,0,2,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,3,2,0,99.998618,3575,3755,3575,180,4.7936,GLOBAL_BEST,0,777,0,5,0,3,1,0,1800000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,2,3,3,0,0.000000,3580,3800,3580,220,5.7895,LOCAL_BEST,0,777,0,3,0,4,1,0,2200000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,3,3,3,0,0.000000,3340,3550,3340,210,5.9155,LOCAL_BEST,0,777,0,4,1,5,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,5,3,3,52,0.000000,885,900,885,15,1.6667,GLOBAL_BEST,1,777,0,1,2,6,0,52,0.0000,288.4615,0,0,0,0,0,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,2,3,4,0,0.000000,3430,3580,3430,150,4.1899,GLOBAL_BEST,0,777,0,3,0,7,1,-52,1500000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,5,3,4,52,0.000000,825,885,825,60,6.7797,GLOBAL_BEST,1,777,0,1,2,8,0,52,0.0000,1153.8462,0,0,0,0,0,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,2,3,5,0,0.000000,3220,3430,3220,210,6.1224,GLOBAL_BEST,0,777,0,7,0,9,1,-52,2100000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,3,7,0,99.991711,3470,3575,3470,105,2.9371,LOCAL_BEST,0,777,0,15,1,10,2,0,525000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,2,3,7,0,0.000000,3040,3220,3040,180,5.5901,GLOBAL_BEST,0,777,0,10,0,11,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,3,3,8,0,0.000000,3205,3340,3205,135,4.0419,LOCAL_BEST,0,777,1,6,1,12,1,0,1350000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,3,9,0,99.988948,3455,3470,3455,15,0.4323,LOCAL_BEST,0,777,0,23,1,13,1,0,150000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,1,3,10,0,99.987567,3395,3455,3395,60,1.7366,LOCAL_BEST,0,777,0,24,1,14,1,0,600000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-07-04T10:59:26+01:00,1,3,3,10,0,0.000000,3055,3205,3055,150,4.6802,LOCAL_BEST,0,777,1,8,2,15,0,0,0.0000,0.0000,0,0,0,0,0,0
