path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
1,0,1,42,385,385,12,12000000,4887900,19383983,2897233,1749426,3353341,61.7639,2354,1,1,0
2,0,1,123,400,400,18,18000000,7173618,28792166,4213696,2542107,5244197,61.5320,2593,1,2,0
3,0,1,777,400,400,18,18000000,7197212,28875496,4211267,2539056,5249677,61.6004,2599,1,3,1
11,3,2,123,230,630,24,24000000,10018513,37706445,5931741,3687638,6380621,61.1062,2734,1,1,1
5,1,2,123,255,640,18,18000000,7036362,28089638,4156185,2553376,5290439,60.9457,2329,1,2,0
6,1,2,777,255,640,12,12000000,4847428,19038919,2857758,1764535,3377707,61.3389,2054,1,3,0
12,3,2,777,240,640,18,18000000,6544901,27923941,3885217,2393764,5721019,60.8048,2259,1,4,0
4,1,2,42,260,645,15,15000000,5881402,23410331,3489013,2161427,4349560,60.9480,2268,1,5,0
10,3,2,42,250,650,15,15000000,5454884,23028000,3225543,1994005,4780452,60.5554,2273,0,0,0
7,2,2,42,260,660,18,18000000,7366141,27343372,4355471,2715131,4929398,60.3029,2580,0,0,0
8,2,2,123,270,670,15,15000000,5434677,22529464,3235444,2000115,4764441,60.0314,2175,0,0,0
9,2,2,777,275,675,21,21000000,8470537,31869499,5030339,3125401,5844260,60.2796,2598,0,0,0
14,11,3,123,445,1075,15,15000000,6420003,23115963,3808766,2291940,3899294,60.6464,2510,1,1,1
13,11,3,42,450,1080,9,9000000,3374542,13518439,2002593,1183829,2813578,60.0328,1989,1,2,0
19,6,3,42,445,1085,21,21000000,8505556,32135707,5099886,3071892,5828222,60.4786,2754,1,3,0
17,5,3,123,455,1095,24,24000000,10550431,36797284,6299574,3791188,5909238,60.5246,3016,1,4,0
21,6,3,777,460,1100,15,15000000,5973556,23084781,3563507,2134681,4301812,60.6142,2402,1,5,0
15,11,3,777,475,1105,15,15000000,5888564,22566447,3525952,2125501,4348547,60.0708,2522,0,0,0
18,5,3,777,465,1105,15,15000000,6469316,22818653,3847961,2288003,3864036,60.3370,2577,0,0,0
23,12,3,123,465,1105,21,21000000,8210322,31891170,4896176,2920397,6183427,60.2958,2654,0,0,0
26,4,3,123,460,1105,15,15000000,5957579,22729560,3539449,2132447,4328104,60.2434,2446,0,0,0
27,4,3,777,460,1105,12,12000000,4875544,18052159,2872812,1733988,3393200,60.0694,2160,0,0,0
22,12,3,42,470,1110,21,21000000,7785668,31114499,4607377,2756809,6635814,59.7041,2617,0,0,0
16,5,3,42,475,1115,24,24000000,9756581,36872281,5833843,3461471,6704686,60.5732,2860,0,0,0
20,6,3,123,475,1115,15,15000000,5966724,22945369,3578563,2134912,4286525,60.4695,2472,0,0,0
25,4,3,42,480,1125,15,15000000,5954418,22636956,3543717,2127972,4328311,60.1456,2438,0,0,0
24,12,3,777,510,1150,12,12000000,4452329,18026977,2659505,1576794,3763701,60.0359,2206,0,0,0
34,19,4,42,110,1195,12,12000000,4460150,19286458,2651628,1561866,3786506,61.6447,1830,1,1,0
35,19,4,123,120,1205,9,9000000,3295508,14773988,1967509,1171450,2861041,62.1435,1664,1,2,0
36,19,4,777,120,1205,18,18000000,7446672,29773060,4416739,2659921,4923340,62.3219,2142,1,3,0
28,14,4,42,135,1210,12,12000000,4446816,19380165,2665185,1561137,3773678,61.7593,1846,1,4,0
29,14,4,123,150,1225,18,18000000,7081412,29194473,4221459,2497932,5280609,61.8599,2221,1,5,1
30,14,4,777,150,1225,18,18000000,7113321,29244899,4221825,2502171,5276004,61.9006,2191,0,0,0
31,13,4,42,150,1230,21,21000000,8584112,35351579,5174897,3043094,5782009,62.7340,2377,0,0,0
37,17,4,42,135,1230,27,27000000,11510326,44985291,6899353,4133651,6966996,62.4923,2707,0,0,0
38,17,4,123,135,1230,15,15000000,5557453,24439280,3335520,1952042,4712438,61.9669,1918,0,0,0
39,17,4,777,145,1240,18,18000000,7093519,29565573,4218777,2499295,5281928,62.1575,2105,0,0,0
32,13,4,123,165,1245,15,15000000,5545591,24568420,3267244,1948246,4784510,62.0910,1966,0,0,0
41,21,4,123,145,1245,18,18000000,6994738,29276512,4194164,2493371,5312465,61.9261,2183,0,0,0
40,21,4,42,150,1250,15,15000000,5984391,24541269,3555809,2107274,4336917,62.0650,1987,0,0,0
33,13,4,777,180,1260,12,12000000,4528936,20032885,2653344,1559811,3786845,62.5385,1877,0,0,0
42,21,4,777,180,1280,15,15000000,5591721,23902971,3342561,1949762,4707677,61.4425,1987,0,0,0
