path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
2,0,1,123,410,410,15,7500000,3136411,12060512,1856165,1112136,2031699,61.6574,1390,1,1,1
1,0,1,42,430,430,9,4500000,1859392,7258831,1083447,656271,1260282,61.7309,1057,1,2,0
3,0,1,777,415,415,12,6000000,2439617,9573048,1424070,854622,1721308,61.4719,1212,1,3,0
9,1,2,777,230,660,12,6000000,2383323,9274363,1388918,859327,1751755,60.7185,1109,1,1,0
4,2,2,42,260,670,12,6000000,2364595,9320020,1384569,852115,1763316,60.8356,1072,1,2,1
6,2,2,777,260,670,15,7500000,2898986,11583101,1717958,1055281,2226761,60.6982,1181,1,3,0
11,3,2,123,230,645,12,6000000,2329378,9130637,1361667,854982,1783351,60.3454,1097,1,4,0
10,3,2,42,230,645,24,12000000,4684174,18365022,2783385,1712262,3504353,60.4808,1381,1,5,0
5,2,2,123,260,670,15,7500000,2908070,11518142,1723217,1053318,2223465,60.5640,1171,0,0,0
8,1,2,123,245,675,12,6000000,2368058,9348845,1390038,860507,1749455,60.9091,1104,0,0,0
12,3,2,777,240,655,15,7500000,3071952,11597971,1804406,1118921,2076673,60.7288,1216,0,0,0
7,1,2,42,290,720,12,6000000,2356491,9400993,1378962,856424,1764614,61.0415,1071,0,0,0
23,11,3,123,470,1115,9,4500000,1841295,6891117,1088954,648457,1262589,60.4955,1131,1,1,0
22,11,3,42,460,1105,15,7500000,2901255,11465908,1724714,1040726,2234560,60.4554,1439,1,2,0
24,11,3,777,460,1105,18,9000000,3622579,13670171,2163053,1292984,2543963,60.3003,1473,1,3,0
16,4,3,42,485,1155,12,6000000,2403948,9050048,1426808,846969,1726223,60.1330,1375,1,4,1
17,4,3,123,460,1130,15,7500000,3130266,11339184,1843489,1092716,2063795,60.1894,1527,1,5,0
15,9,3,777,435,1095,15,7500000,3099097,11451821,1829944,1100114,2069942,60.4260,1325,0,0,0
18,4,3,777,475,1145,18,9000000,3674189,13754708,2188436,1292510,2519054,60.4477,1410,0,0,0
25,10,3,42,460,1105,9,4500000,1851197,6868662,1087153,649674,1263173,60.4175,1094,0,0,0
