run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,worker_id,parent_worker_id,algorithm,week,worker_seed,depth,start_time_ms,finish_time_ms,finish_candidate,initial_temperature,final_temperature,temperature_at_best,best_candidate,plateau_count,branch_count,produced_global_best,final_penalty,best_penalty,start_penalty,improvement_per_10k,branches_per_10k,accepted_worse_pct,hard_reject_pct,first_plateau_candidate,last_improvement_candidate,local_best_improvements,accepted_worse,hard_rejects
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,1,-1,sa,1,123,0,0,918,500000,100.000000,0.000100,14.446811,70020,4,37,0,465,455,3800,66.9000,0.7400,1.78,61.42,170020,70020,51974,8924,795851
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,2,-1,lahc,1,123,0,0,982,500000,100.000000,0.000000,0.000000,101621,0,6,0,480,455,3800,66.9000,0.1200,0.00,60.12,0,101621,0,0,753710
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,5,3,lahc,1,123,1,0,945,500000,100.000000,0.000000,0.000000,92968,0,16,0,440,430,905,9.5000,0.3200,0.00,59.90,0,92968,0,0,747013
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,8,6,lahc,1,123,3,0,937,500000,100.000000,0.000000,0.000000,43472,0,6,0,435,430,580,3.0000,0.1200,0.00,59.39,0,43472,0,0,731198
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,7,5,sa,1,123,2,0,975,500000,100.000000,0.000100,6.278097,100182,3,0,0,480,480,580,2.0000,0.0000,1.74,60.06,200182,100182,49477,8724,751745
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,14,12,lahc,1,123,6,0,914,500000,100.000000,0.000000,0.000000,0,0,0,0,415,415,415,0.0000,0.0000,0.00,58.93,0,0,0,0,717465
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,3,-1,tabu,1,123,0,0,1097,500000,100.000000,0.000000,0.000000,246428,3,4,0,2620,1335,3800,49.3000,0.0800,37.93,64.14,216650,246428,290534,189662,894414
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,6,4,tabu,1,123,2,0,1060,500000,100.000000,0.000000,0.000000,0,4,0,0,2290,905,905,0.0000,0.0000,37.88,64.14,100001,0,290594,189406,894210
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,4,2,sa,1,123,1,0,1062,500000,100.000000,38.705796,16.301816,65648,4,1,0,1095,415,905,9.8000,0.0200,13.97,61.52,165648,65648,128291,69830,799513
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,11,9,lahc,1,123,4,0,974,500000,100.000000,0.000000,0.000000,0,0,0,0,430,430,430,0.0000,0.0000,0.00,59.15,0,0,0,0,724124
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,10,8,sa,1,123,4,0,977,500000,100.000000,0.000100,11.730162,77559,4,0,0,440,415,430,0.3000,0.0000,1.77,59.56,177559,77559,42525,8835,736344
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,17,15,lahc,1,123,7,0,889,500000,100.000000,0.000000,0.000000,0,0,0,0,410,410,410,0.0000,0.0000,0.00,59.08,0,0,0,0,721996
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,9,7,tabu,1,123,3,0,1137,500000,100.000000,0.000000,0.000000,0,4,0,0,2660,580,580,0.0000,0.0000,37.92,64.14,100001,0,290769,189620,894437
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,15,13,tabu,1,123,6,0,1068,500000,100.000000,0.000000,0.000000,0,4,0,0,2530,415,415,0.0000,0.0000,37.94,64.12,100001,0,290652,189719,893533
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,13,11,sa,1,123,5,0,1081,500000,100.000000,69.359827,9.097122,86759,4,2,1,1545,400,415,0.3000,0.0400,13.32,61.48,186759,86759,124961,66591,798059
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,12,10,tabu,1,123,5,0,1105,500000,100.000000,0.000000,0.000000,0,4,0,0,2275,430,430,0.0000,0.0000,37.94,64.15,100001,0,290685,189721,894522
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,16,14,sa,1,123,7,0,961,500000,100.000000,0.000100,0.000000,0,4,0,0,485,410,410,0.0000,0.0000,1.74,59.37,150172,0,40734,8704,730530
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,18,16,tabu,1,123,8,0,1049,500000,100.000000,0.000000,0.000000,0,4,0,0,2365,410,410,0.0000,0.0000,37.98,64.07,100001,0,290329,189923,891443
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,2,-1,lahc,2,777,0,0,832,500000,100.000000,0.000000,0.000000,143218,0,16,0,270,255,3680,68.5000,0.3200,0.00,59.62,0,143218,0,0,738285
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,4,2,sa,2,777,1,0,846,500000,100.000000,0.000100,21.569099,55515,4,0,0,365,345,760,8.3000,0.0000,1.83,60.47,155515,55515,39534,9161,764969
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,5,3,lahc,2,777,1,0,853,500000,100.000000,0.000000,0.000000,72110,0,15,0,255,240,760,10.4000,0.3000,0.00,59.41,0,72110,0,0,731909
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,1,-1,sa,2,777,0,0,909,500000,100.000000,77.553250,8.136020,90800,4,35,1,1650,230,3680,69.0000,0.7000,13.35,60.85,190800,90800,125053,66733,777000
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,8,6,lahc,2,777,3,0,856,500000,100.000000,0.000000,0.000000,13431,0,7,0,270,270,375,2.1000,0.1400,0.00,58.40,0,13431,0,0,702023
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,7,5,sa,2,777,2,0,863,500000,100.000000,0.000100,7.142792,95512,4,0,0,300,300,375,1.5000,0.0000,1.85,60.26,195512,95512,37323,9252,758259
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:35:58+01:00,11,9,lahc,2,777,4,0,840,500000,100.000000,0.000000,0.000000,1805,0,2,1,230,230,260,0.6000,0.0400,0.00,58.12,0,1805,0,0,693810
