run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,candidate,temperature_at_event,old_global_best,new_global_best,improvement,elapsed_ms
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,2,1,99.997237,3800,3635,165,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,2,2,99.994474,3635,3625,10,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,3,99.991711,3625,3565,60,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,3,4,99.988948,3565,3545,20,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,4,99.988948,3545,3415,130,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,10,99.972373,3415,3275,140,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,3,10,99.972373,3275,3260,15,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,11,99.969610,3260,3065,195,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,3,11,99.969610,3065,2990,75,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,3,13,99.964086,2990,2850,140,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,3,16,99.955800,2850,2845,5,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,19,99.947515,2845,2810,35,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,20,99.944753,2810,2720,90,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,21,99.941992,2720,2690,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,22,99.939230,2690,2630,60,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,25,99.930946,2630,2540,90,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,27,99.925424,2540,2510,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,30,99.917141,2510,2480,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,31,99.914381,2480,2420,60,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,32,99.911620,2420,2390,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,33,99.908859,2390,2360,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,34,99.906099,2360,2260,100,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,35,99.903338,2260,2095,165,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,50,99.861940,2095,1950,145,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,51,99.859181,1950,1935,15,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,64,99.823318,1935,1875,60,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,70,99.806770,1875,1850,25,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,71,99.804012,1850,1755,95,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,78,99.784710,1755,1710,45,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,103,99.715805,1710,1680,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,169,99.534124,1680,1645,35,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,175,99.517624,1645,1615,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,185,99.490130,1615,1435,180,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,186,99.487381,1435,1375,60,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,1570,95.754678,1375,1355,20,4
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,1579,95.730869,1355,1265,90,4
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,1886,94.922245,1265,1250,15,4
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,1890,94.911754,1250,1160,90,4
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,1892,94.906509,1160,1145,15,4
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,1893,94.903887,1145,1060,85,4
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,8358,79.378703,1060,1050,10,15
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,14634,66.740891,1050,1000,50,26
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,14648,66.715078,1000,970,30,26
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,18106,60.635645,970,965,5,31
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,20289,57.086314,965,955,10,35
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,1,20293,57.080005,955,940,15,35
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,2,23461,52.295943,940,920,20,40
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,2,25462,49.482998,920,905,15,43
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,5,32,99.911620,905,845,60,43
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,5,107,99.704785,845,815,30,43
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,5,116,99.679993,815,785,30,43
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,5,488,98.660656,785,750,35,44
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,5,489,98.657930,750,690,60,44
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,5,5062,86.947280,690,685,5,52
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,5,5429,86.070039,685,680,5,53
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,5,10535,74.744631,680,675,5,60
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,5,12350,71.088606,675,645,30,63
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,5,18519,59.947627,645,620,25,73
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,5,19047,59.079390,620,605,15,74
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,5,24181,51.265831,605,590,15,82
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:18:19+01:00,1,5,28332,45.710503,590,580,10,88
