path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
2,0,1,123,400,400,21,10500000,4376780,16957316,2587034,1564518,2848448,61.7588,1377,1,1,1
1,0,1,42,430,430,9,4500000,1859392,7258831,1083447,656271,1260282,61.7309,1041,1,2,0
3,0,1,777,415,415,12,6000000,2439617,9573048,1424070,854622,1721308,61.4719,1288,1,3,0
5,2,2,123,240,640,18,9000000,3631160,13703575,2139191,1313807,2547002,60.3587,1402,1,1,1
9,1,2,777,230,660,12,6000000,2383323,9274363,1388918,859327,1751755,60.7185,1196,1,2,0
6,2,2,777,250,650,12,6000000,2376500,9024052,1389288,856285,1754427,60.0640,1249,1,3,0
11,3,2,123,230,645,12,6000000,2329378,9130637,1361667,854982,1783351,60.3454,1160,1,4,0
10,3,2,42,240,655,21,10500000,3991164,15968489,2364837,1457110,3178053,60.3302,1425,1,5,0
8,1,2,123,245,675,12,6000000,2368058,9348845,1390038,860507,1749455,60.9091,1225,0,0,0
12,3,2,777,240,655,15,7500000,3071952,11597971,1804406,1118921,2076673,60.7288,1271,0,0,0
7,1,2,42,290,720,12,6000000,2356491,9400993,1378962,856424,1764614,61.0415,1166,0,0,0
4,2,2,42,265,665,15,7500000,3086551,11565659,1814561,1117681,2067758,60.6623,1316,0,0,0
23,11,3,123,470,1115,9,4500000,1841295,6891117,1088954,648457,1262589,60.4955,1072,1,1,0
22,11,3,42,460,1105,15,7500000,2901255,11465908,1724714,1040726,2234560,60.4554,1300,1,2,0
24,11,3,777,460,1105,18,9000000,3622579,13670171,2163053,1292984,2543963,60.3003,1489,1,3,0
21,6,3,777,500,1150,18,9000000,3817417,14052172,2269807,1353622,2376571,60.9581,1549,1,4,0
15,5,3,777,470,1110,15,7500000,3100619,11358921,1822999,1099528,2077473,60.2310,1436,1,5,1
19,6,3,42,485,1135,21,10500000,4256076,16080631,2536067,1501648,2962285,60.4976,1516,0,0,0
13,5,3,42,460,1100,15,7500000,2930121,11325933,1753259,1041154,2205587,60.1613,1360,0,0,0
25,10,3,42,530,1185,12,6000000,2576639,9207511,1523760,905506,1570734,60.5458,1369,0,0,0
14,5,3,123,480,1120,12,6000000,2390685,9151293,1415098,846806,1738096,60.3994,1202,0,0,0
16,9,3,42,450,1110,9,4500000,1850320,6897683,1089475,648229,1262296,60.5183,1053,0,0,0
27,10,3,777,535,1190,18,9000000,3683884,14012807,2190816,1294625,2514559,60.8913,1449,0,0,0
18,9,3,777,435,1095,18,9000000,3645826,13862173,2159595,1297412,2542993,60.6337,1509,0,0,0
20,6,3,123,505,1155,12,6000000,2584672,9356521,1522770,905853,1571377,60.9287,1320,0,0,0
26,10,3,123,505,1160,21,10500000,4258347,15937015,2523416,1490984,2985600,60.2830,1630,0,0,0
17,9,3,123,460,1120,12,6000000,2434817,9182390,1438187,847903,1713910,60.4805,1224,0,0,0
41,15,4,123,150,1260,15,7500000,2920529,12354988,1722632,1030793,2246575,62.2261,1104,1,1,1
42,15,4,777,160,1270,15,7500000,2892489,12236269,1735134,1026406,2238460,61.9989,1213,1,2,0
39,21,4,777,160,1310,21,10500000,4190102,17147074,2506926,1475657,3017417,62.0213,1303,1,3,0
38,21,4,123,120,1270,21,10500000,4040424,17102599,2421364,1417059,3161577,61.9601,1515,1,4,0
31,22,4,42,120,1225,15,7500000,2965923,12292602,1763472,1032510,2204018,62.1071,1236,1,5,0
36,24,4,777,180,1285,15,7500000,3114929,12325439,1852762,1086504,2060734,62.1698,1122,0,0,0
32,22,4,123,150,1255,12,6000000,2399832,9913714,1422531,836847,1740622,62.2967,1025,0,0,0
40,15,4,42,145,1255,18,9000000,3610109,14734987,2148237,1282659,2569104,62.0813,1186,0,0,0
28,23,4,42,120,1235,18,9000000,3781919,14825154,2242952,1343490,2413558,62.2248,1301,0,0,0
29,23,4,123,135,1250,15,7500000,3081197,12256714,1833148,1088152,2078700,62.0382,1185,0,0,0
33,22,4,777,150,1255,12,6000000,2532148,10091131,1494937,893214,1611849,62.7124,1059,0,0,0
