path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
2,0,1,123,400,400,18,9000000,3690201,14370107,2181525,1309659,2508816,61.4893,1450,1,1,0
3,0,1,777,415,415,12,6000000,2439617,9573048,1424070,854622,1721308,61.4719,1177,1,2,1
1,0,1,42,430,430,9,4500000,1859392,7258831,1083447,656271,1260282,61.7309,1062,1,3,0
4,2,2,42,230,630,15,7500000,2927097,11588647,1734148,1061106,2204746,60.7096,1158,1,1,0
5,2,2,123,230,630,15,7500000,2924765,11582614,1720577,1060247,2219176,60.6972,1140,1,2,0
6,2,2,777,230,630,12,6000000,2404215,9429502,1401908,856500,1741592,61.1135,1099,1,3,0
7,3,2,42,230,645,21,10500000,4135203,16159996,2449121,1513424,3037455,60.6151,1319,1,4,1
8,3,2,123,230,645,12,6000000,2329378,9130637,1361667,854982,1783351,60.3454,1092,1,5,0
9,3,2,777,240,655,21,10500000,4318755,16221943,2557920,1579473,2862607,60.7065,1336,0,0,0
12,1,2,777,230,660,12,6000000,2383323,9274363,1388918,859327,1751755,60.7185,1121,0,0,0
11,1,2,123,245,675,12,6000000,2368058,9348845,1390038,860507,1749455,60.9091,1095,0,0,0
10,1,2,42,290,720,12,6000000,2356491,9400993,1378962,856424,1764614,61.0415,1101,0,0,0
23,7,3,123,450,1095,21,10500000,4198115,16130874,2494334,1496453,3009213,60.5721,1388,1,1,0
20,6,3,123,470,1100,18,9000000,3773614,13773517,2243869,1347197,2408934,60.4804,1391,1,2,0
22,7,3,42,460,1105,9,4500000,1851197,6868662,1087153,649674,1263173,60.4175,1099,1,3,1
25,8,3,42,460,1105,15,7500000,2901255,11465908,1724714,1040726,2234560,60.4554,1299,1,4,0
27,8,3,777,460,1105,18,9000000,3622579,13670171,2163053,1292984,2543963,60.3003,1418,1,5,0
21,6,3,777,485,1115,18,9000000,3682129,13684757,2183972,1301874,2514154,60.3258,1367,0,0,0
26,8,3,123,470,1115,9,4500000,1841295,6891117,1088954,648457,1262589,60.4955,1083,0,0,0
13,4,3,42,490,1120,15,7500000,3113247,11476729,1835843,1101626,2062531,60.4779,1306,0,0,0
14,4,3,123,490,1120,12,6000000,2400583,9126621,1413813,850227,1735960,60.3348,1191,0,0,0
17,5,3,123,490,1120,15,7500000,2965160,11404701,1754931,1045887,2199182,60.3273,1305,0,0,0
15,4,3,777,495,1125,15,7500000,2958044,11339107,1746861,1046285,2206854,60.1892,1339,0,0,0
16,5,3,42,500,1130,9,4500000,1826661,6973583,1084051,646665,1269284,60.7795,1069,0,0,0
19,6,3,42,500,1130,12,6000000,2570652,9354584,1512583,904885,1582532,60.9237,1222,0,0,0
24,7,3,777,495,1140,9,4500000,1860980,6860211,1093517,647981,1258502,60.3881,1076,0,0,0
18,5,3,777,515,1145,9,4500000,1856493,6849747,1094712,653523,1251765,60.3515,1084,0,0,0
34,22,4,42,135,1240,15,7500000,3055961,12361367,1815138,1086912,2097950,62.2382,1093,1,1,0
35,22,4,123,135,1240,12,6000000,2375264,9895899,1388877,837746,1773377,62.2544,1291,1,2,1
36,22,4,777,150,1255,21,10500000,4361560,17218265,2589199,1537772,2873029,62.1188,1243,1,3,0
37,25,4,42,150,1255,9,4500000,1866256,7349021,1093549,642411,1264040,62.0222,883,1,4,0
38,25,4,123,150,1255,12,6000000,2399832,9913714,1422531,836847,1740622,62.2967,983,1,5,0
39,25,4,777,150,1255,12,6000000,2532148,10091131,1494937,893214,1611849,62.7124,1006,0,0,0
30,23,4,777,180,1275,21,10500000,4265920,17128289,2562123,1524196,2913681,61.9955,1201,0,0,0
33,20,4,777,180,1280,12,6000000,2421953,9909452,1423267,838657,1738076,62.2866,976,0,0,0
40,27,4,42,180,1285,12,6000000,2552026,9968032,1511833,892703,1595464,62.4249,1044,0,0,0
41,27,4,123,180,1285,15,7500000,3105234,12535965,1824345,1087850,2087805,62.5673,1069,0,0,0
42,27,4,777,180,1285,15,7500000,3114929,12325439,1852762,1086504,2060734,62.1698,1052,0,0,0
28,23,4,42,195,1290,15,7500000,2934240,12150677,1772407,1027260,2200333,61.8334,1014,0,0,0
29,23,4,123,195,1290,18,9000000,3470559,14619338,2056173,1219827,2724000,61.8956,1081,0,0,0
31,20,4,42,195,1295,15,7500000,2930441,12451069,1741163,1030169,2228668,62.4080,1032,0,0,0
32,20,4,123,205,1305,12,6000000,2391214,9939732,1414684,832610,1752706,62.3582,969,0,0,0
48,35,5,777,325,1565,9,4500000,1683444,7133222,984891,600076,1415033,61.3177,947,1,1,1
47,35,5,123,330,1570,12,6000000,2395419,9673063,1392670,857811,1749519,61.7178,1116,1,2,0
44,34,5,123,340,1580,12,6000000,2383566,9602354,1402355,859357,1738288,61.5443,1101,1,3,0
46,35,5,42,340,1580,21,10500000,4294930,16910277,2537472,1570508,2892020,61.6932,1362,1,4,0
49,36,5,42,350,1605,15,7500000,2895950,12012800,1708369,1052243,2239388,61.5637,1195,1,5,0
50,36,5,123,350,1605,12,6000000,2372718,9545665,1400602,856584,1742814,61.4040,1101,0,0,0
43,34,5,42,370,1610,18,9000000,3818882,14557959,2238508,1372123,2389369,61.7964,1348,0,0,0
51,36,5,777,355,1610,15,7500000,3067923,12053721,1798823,1110125,2091052,61.6441,1189,0,0,0
54,37,5,777,355,1610,9,4500000,1845633,7243775,1071067,657147,1271786,61.6818,977,0,0,0
45,34,5,777,375,1615,12,6000000,2389381,9717964,1410774,860503,1728723,61.8271,1065,0,0,0
52,37,5,42,365,1620,12,6000000,2407184,9703489,1407337,858963,1733700,61.7919,1071,0,0,0
53,37,5,123,370,1625,15,7500000,2957449,12002177,1741421,1056630,2201949,61.5428,1130,0,0,0
55,38,5,42,370,1625,15,7500000,3080979,12015070,1801185,1112184,2086631,61.5682,1212,0,0,0
56,38,5,123,375,1630,18,9000000,3601656,14485553,2134614,1310337,2555049,61.6786,1297,0,0,0
57,38,5,777,380,1635,15,7500000,3088064,12065527,1810603,1112625,2076772,61.6673,1164,0,0,0
59,48,6,123,180,1745,21,10500000,4345292,18037471,2588959,1552276,2858765,63.2063,1315,1,1,1
58,48,6,42,190,1755,12,6000000,2381521,10365601,1411357,839288,1749355,63.3377,999,1,2,0
63,47,6,777,190,1760,9,4500000,1855587,7577607,1092560,648290,1259150,62.7410,922,1,3,0
60,48,6,777,210,1775,15,7500000,3071295,13039953,1836818,1098548,2064634,63.4858,1085,1,4,0
62,47,6,123,210,1780,18,9000000,3812994,15404340,2269589,1352719,2377692,63.1213,1206,1,5,0
61,47,6,42,220,1790,12,6000000,2418760,10319803,1434196,844892,1720912,63.2349,1046,0,0,0
66,44,6,777,230,1810,12,6000000,2394914,10252268,1410466,844724,1744810,63.0821,1045,0,0,0
69,46,6,777,230,1810,15,7500000,3237502,13003821,1922719,1151896,1925385,63.4215,1304,0,0,0
70,49,6,42,205,1810,21,10500000,4225441,18063035,2498691,1488290,3013019,63.2392,1263,0,0,0
72,49,6,777,205,1810,15,7500000,2952016,12873644,1736952,1039512,2223536,63.1877,1127,0,0,0
64,44,6,42,235,1815,15,7500000,3066036,12954509,1806492,1093801,2099707,63.3333,1231,0,0,0
65,44,6,123,235,1815,12,6000000,2394128,10259414,1413996,841862,1744142,63.0983,1038,0,0,0
68,46,6,123,235,1815,12,6000000,2402290,10252410,1423645,841221,1735134,63.0824,1013,0,0,0
67,46,6,42,245,1825,12,6000000,2386828,10352348,1420603,841254,1738143,63.3080,1022,0,0,0
71,49,6,123,220,1825,12,6000000,2404813,10283348,1417683,843751,1738566,63.1525,1064,0,0,0
80,63,7,123,215,1975,12,6000000,2470205,11113194,1426737,866568,1706695,64.9393,1017,1,1,0
81,63,7,777,230,1990,15,7500000,3113076,14027334,1807523,1129355,2063122,65.1606,1073,1,2,0
74,59,7,123,250,1995,21,10500000,4402755,19706048,2555779,1590218,2854003,65.2387,1257,1,3,0
79,63,7,42,235,1995,15,7500000,2990778,13837675,1733549,1067298,2199153,64.8509,1064,1,4,0
75,59,7,777,265,2010,12,6000000,2294235,11224972,1316493,806681,1876826,65.1669,979,1,5,1
73,59,7,42,270,2015,9,4500000,1868759,8479258,1076805,669379,1253816,65.3293,904,0,0,0
78,58,7,777,260,2015,15,7500000,2980667,13660905,1744055,1070423,2185522,64.5573,1094,0,0,0
76,58,7,42,275,2030,18,9000000,3808056,16575688,2241602,1391932,2366466,64.8103,1154,0,0,0
77,58,7,123,285,2040,12,6000000,2610259,11124714,1498941,934572,1566487,64.9629,992,0,0,0
85,62,7,42,265,2045,15,7500000,3046854,13989942,1752587,1072197,2175216,65.1000,1030,0,0,0
86,62,7,123,265,2045,15,7500000,3170052,14023343,1848358,1128380,2023262,65.1541,1069,0,0,0
87,62,7,777,270,2050,18,9000000,3706490,16991057,2137309,1329968,2532723,65.3727,1141,0,0,0
82,60,7,42,290,2065,15,7500000,2983752,13795436,1726458,1067780,2205762,64.7812,1065,0,0,0
84,60,7,777,290,2065,9,4500000,1884265,8222215,1103127,665398,1231475,64.6288,910,0,0,0
83,60,7,123,295,2070,12,6000000,2480070,11025551,1438406,862758,1698836,64.7588,967,0,0,0
102,75,8,777,1735,3745,21,10500000,4302932,16813802,2489829,1545722,2964449,61.5579,1614,1,1,1
94,74,8,42,1760,3755,21,10500000,4443833,16651940,2593641,1600112,2806247,61.3287,1508,1,2,0
95,74,8,123,1760,3755,21,10500000,4421766,16576934,2587159,1602035,2810806,61.2216,1369,1,3,0
88,80,8,42,1785,3760,15,7500000,3201574,12066338,1853841,1142257,2003902,61.6689,1166,1,4,0
90,80,8,777,1785,3760,15,7500000,3186601,11893239,1837300,1136625,2026075,61.3267,1132,1,5,0
96,74,8,777,1765,3760,18,9000000,3731128,14323920,2166353,1339363,2494284,61.4130,1345,0,0,0
101,75,8,123,1750,3760,18,9000000,3752803,14429852,2176733,1342798,2480469,61.5875,1314,0,0,0
89,80,8,123,1790,3765,12,6000000,2469228,9605074,1425346,876433,1698221,61.5510,1067,0,0,0
100,75,8,42,1770,3780,15,7500000,3025544,12136245,1757145,1074025,2168830,61.8053,1200,0,0,0
93,81,8,777,1810,3800,15,7500000,3020347,11820402,1749123,1079215,2171662,61.1809,1189,0,0,0
91,81,8,42,1820,3810,15,7500000,3155857,11944189,1825895,1143689,2030416,61.4281,1186,0,0,0
99,79,8,777,1825,3820,15,7500000,3365831,12016242,1934503,1211806,1853691,61.5705,1234,0,0,0
92,81,8,123,1850,3840,9,4500000,1886790,7163273,1077247,676375,1246378,61.4173,965,0,0,0
98,79,8,123,1865,3860,21,10500000,4327937,16705657,2513371,1548064,2938565,61.4051,1360,0,0,0
97,79,8,42,1890,3885,15,7500000,3013350,12079078,1743105,1078152,2178743,61.6938,1321,0,0,0
