path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
1,0,1,42,400,400,4,2000000,479065,3118301,327516,151549,1520935,60.9245,918,1,1,0
2,0,1,123,415,415,6,3000000,727770,4703324,495740,232030,2272230,61.0558,949,1,2,1
3,0,1,777,430,430,3,1500000,446751,2304083,301754,144997,1053249,60.5687,885,1,3,0
4,1,2,42,240,640,4,2000000,474482,2980809,317908,156574,1525518,59.8459,862,1,1,0
6,1,2,777,245,645,6,3000000,876657,4590666,585283,291374,2123343,60.4778,1175,1,2,0
9,2,2,777,235,650,9,4500000,1120688,6726747,752606,368082,3379312,59.9172,1202,1,3,1
7,2,2,42,245,660,4,2000000,329393,3021958,233770,95623,1670607,60.1749,824,1,4,0
8,2,2,123,245,660,6,3000000,726591,4491743,491196,235395,2273409,59.9559,942,1,5,0
10,3,2,42,230,660,7,3500000,916103,5122953,619181,296922,2583897,59.4107,1032,0,0,0
11,3,2,123,240,670,4,2000000,323076,2898144,228593,94483,1676924,59.1682,820,0,0,0
5,1,2,123,275,675,3,1500000,277774,2251678,192409,85365,1222226,60.0179,832,0,0,0
12,3,2,777,260,690,5,2500000,535163,3692515,373151,162012,1964837,59.6287,915,0,0,0
16,6,3,42,435,1080,4,2000000,495155,3003163,338824,156331,1504845,60.0253,928,1,1,0
19,9,3,42,435,1085,4,2000000,347693,2887743,253392,94301,1652307,59.0813,893,1,2,0
20,9,3,123,445,1095,3,1500000,296322,2124208,210241,86081,1203678,58.6116,863,1,3,1
13,4,3,42,460,1100,5,2500000,539803,3780784,380380,159423,1960197,60.1961,1072,1,4,0
17,6,3,123,460,1105,4,2000000,338676,2927782,247975,90701,1661324,59.4138,908,1,5,0
14,4,3,123,475,1115,5,2500000,542719,3777606,382751,159968,1957281,60.1759,978,0,0,0
18,6,3,777,470,1115,6,3000000,712459,4456962,490570,221889,2287541,59.7691,1226,0,0,0
21,9,3,777,465,1115,4,2000000,338229,2885623,247867,90362,1661771,59.0636,899,0,0,0
15,4,3,777,485,1125,5,2500000,552446,3768581,394105,158341,1947554,60.1186,1012,0,0,0
25,8,3,42,465,1125,4,2000000,344232,2921211,253397,90835,1655768,59.3596,925,0,0,0
27,8,3,777,465,1125,4,2000000,488797,3014248,335689,153108,1511203,60.1137,981,0,0,0
24,7,3,777,475,1135,6,3000000,704790,4431650,484722,220068,2295210,59.6321,1125,0,0,0
26,8,3,123,475,1135,4,2000000,350661,2943235,259153,91508,1649339,59.5407,903,0,0,0
22,7,3,42,495,1155,7,3500000,919699,5296918,623775,295924,2580301,60.2133,1044,0,0,0
23,7,3,123,510,1170,5,2500000,545735,3673539,383070,162665,1954265,59.5046,975,0,0,0
35,20,4,123,120,1215,5,2500000,517077,3888484,364490,152587,1982923,60.8671,820,1,1,1
32,19,4,123,145,1230,6,3000000,866517,4852566,590102,276415,2133483,61.7959,1078,1,2,0
34,20,4,42,135,1230,3,1500000,283767,2371071,201598,82169,1216233,61.2510,741,1,3,0
31,19,4,42,150,1235,6,3000000,840154,4878235,566774,273380,2159846,61.9204,1068,1,4,0
33,19,4,777,150,1235,3,1500000,289081,2313267,204359,84722,1210919,60.6637,737,1,5,0
37,13,4,42,135,1235,6,3000000,538437,4675286,384082,154355,2461563,60.9135,804,0,0,0
41,17,4,123,135,1240,5,2500000,501634,3899220,353380,148254,1998366,60.9327,864,0,0,0
36,20,4,777,150,1245,5,2500000,521803,3924826,366182,155621,1978197,61.0884,824,0,0,0
29,16,4,123,180,1260,4,2000000,337780,3055804,248871,88909,1662220,60.4415,730,0,0,0
30,16,4,777,180,1260,6,3000000,697141,4856554,485126,212015,2302859,61.8153,978,0,0,0
39,13,4,777,165,1265,5,2500000,643881,4023553,438532,205349,1856119,61.6773,839,0,0,0
40,17,4,42,160,1265,6,3000000,860156,4860862,585609,274547,2139844,61.8362,928,0,0,0
42,17,4,777,165,1270,6,3000000,704837,4796245,487517,217320,2295163,61.5199,905,0,0,0
28,16,4,42,210,1290,4,2000000,329076,3063177,242131,86945,1670924,60.4991,749,0,0,0
38,13,4,123,190,1290,4,2000000,472141,3181012,326867,145274,1527859,61.3975,805,0,0,0
43,35,5,42,315,1530,5,2500000,513999,3909018,357707,156292,1986001,60.9925,937,1,1,0
44,35,5,123,315,1530,5,2500000,658349,3959300,444212,214137,1841651,61.2961,1109,1,2,1
45,35,5,777,350,1565,4,2000000,488993,3163661,335491,153502,1511007,61.2678,913,1,3,0
49,34,5,42,340,1570,6,3000000,704172,4746417,477902,226270,2295828,61.2724,984,1,4,0
57,33,5,777,335,1570,6,3000000,562658,4595489,400033,162625,2437342,60.5029,957,1,5,0
