run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,worker_id,parent_worker_id,algorithm,week,worker_seed,depth,start_time_ms,finish_time_ms,finish_candidate,initial_temperature,final_temperature,temperature_at_best,best_candidate,plateau_count,branch_count,produced_global_best,final_penalty,best_penalty,start_penalty,improvement_per_10k,branches_per_10k,accepted_worse_pct,hard_reject_pct,first_plateau_candidate,last_improvement_candidate,local_best_improvements,accepted_worse,hard_rejects
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:46:52+01:00,0,-1,sa,1,123,0,0,833,500000,100.000000,69.174177,9.121536,86662,4,55,0,1555,450,3800,67.0000,1.1000,13.26,61.45,186662,86662,125318,66322,797129
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:46:52+01:00,4,2,sa,1,123,2,0,739,500000,100.000000,0.000100,3.146937,125177,3,0,0,425,425,450,0.5000,0.0000,1.80,60.40,225177,125177,33549,8985,762490
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:46:52+01:00,2,0,sa,1,123,1,0,838,500000,100.000000,43.113373,14.635245,69551,4,2,0,1105,425,685,5.2000,0.0400,13.78,61.69,169551,69551,129062,68900,805207
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:46:52+01:00,5,3,sa,1,123,2,0,741,500000,100.000000,0.000100,0.000000,0,4,0,0,470,430,430,0.0000,0.0000,1.76,61.14,150172,0,39138,8792,786818
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:46:52+01:00,3,1,sa,1,123,1,0,845,500000,100.000000,31.512583,20.022947,58207,4,1,1,1075,415,530,2.3000,0.0200,14.08,61.75,158207,58207,130751,70389,807354
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:46:52+01:00,6,4,sa,1,123,3,0,745,500000,100.000000,0.000100,0.000000,0,4,0,1,500,415,415,0.0000,0.0000,1.73,59.82,150172,0,37922,8642,744326
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:46:52+01:00,2,0,sa,2,777,1,0,723,500000,100.000000,0.000100,22.109759,54619,4,0,0,380,375,705,6.6000,0.0000,1.85,59.59,154619,54619,34816,9261,737296
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:46:52+01:00,0,-1,sa,2,777,0,0,788,500000,100.000000,34.481012,4.596550,111465,3,65,0,810,290,3725,68.7000,1.3000,12.87,60.70,211465,111465,121729,64366,772247
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:46:52+01:00,3,1,sa,2,777,1,0,800,500000,100.000000,66.554895,9.480517,85265,4,2,0,1230,265,355,1.8000,0.0400,13.69,60.97,185265,85265,127111,68425,780973
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:46:52+01:00,4,2,sa,2,777,2,0,794,500000,100.000000,99.746117,6.325808,99908,4,2,0,1370,250,320,1.4000,0.0400,13.02,61.00,199908,99908,122583,65092,781989
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:46:52+01:00,6,4,sa,2,777,3,0,713,500000,100.000000,0.000100,0.000000,0,4,0,0,305,265,265,0.0000,0.0000,1.90,58.27,150172,0,37140,9482,698157
