run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,parent_worker_id,depth,candidate,temperature_at_event,current_penalty,local_best,global_best,cands_since_improve,worker_lifetime_pct,candidate_pct,time_since_previous_improvement,time_until_worker_exit
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,0,-1,0,186662,25.118864,820,450,415,100000,37.33,37.33,187,587
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,0,-1,0,286662,25.118864,720,450,415,100000,57.33,57.33,187,400
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,0,-1,0,386662,25.118864,855,450,415,100000,77.33,77.33,187,212
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,0,-1,0,486662,25.118864,995,450,415,100000,97.33,97.33,187,25
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,4,2,0,225177,0.198553,425,425,415,100000,45.04,45.04,187,515
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,4,2,0,325177,0.012528,425,425,415,100000,65.04,65.04,187,327
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,4,2,0,425177,0.000790,425,425,415,100000,85.04,85.04,187,140
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,2,0,0,169551,25.118864,950,425,415,100000,33.91,33.91,187,619
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,2,0,0,269551,25.118864,750,425,415,100000,53.91,53.91,187,432
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,2,0,0,369551,25.118864,910,425,415,100000,73.91,73.91,187,244
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,2,0,0,469551,25.118864,920,425,415,100000,93.91,93.91,187,57
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,5,3,0,150172,1.577379,470,430,415,100000,30.03,30.03,187,656
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,5,3,0,250172,0.099526,470,430,415,100000,50.03,50.03,187,468
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,5,3,0,350172,0.006280,470,430,415,100000,70.03,70.03,187,281
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,5,3,0,450172,0.000396,470,430,415,100000,90.03,90.03,187,93
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,3,1,0,158207,25.118864,805,415,415,100000,31.64,31.64,187,641
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,3,1,0,258207,25.118864,925,415,415,100000,51.64,51.64,187,453
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,3,1,0,358207,25.118864,655,415,415,100000,71.64,71.64,187,266
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,3,1,0,458207,25.118864,900,415,415,100000,91.64,91.64,187,78
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,6,4,0,150172,1.577379,500,415,415,100000,30.03,30.03,187,656
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,6,4,0,250172,0.099526,500,415,415,100000,50.03,50.03,187,468
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,6,4,0,350172,0.006280,500,415,415,100000,70.03,70.03,187,281
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T11:48:24+01:00,1,6,4,0,450172,0.000396,500,415,415,100000,90.03,90.03,187,93
