path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
1,0,1,42,400,400,68,6800000,698028,10195588,577186,120842,6101972,59.9896,671,1,1,0
2,0,1,101,400,400,70,7000000,725463,10565226,600650,124813,6274537,60.1485,671,1,2,1
4,0,1,303,400,400,68,6800000,692789,10191919,571724,121065,6107211,59.9810,665,1,3,0
5,0,1,404,400,400,72,7200000,722262,10825160,595141,127121,6477738,60.0558,671,1,4,0
3,0,1,202,410,410,74,7400000,758180,11138446,626783,131397,6641820,60.0830,700,1,5,0
19,4,2,303,230,630,74,7400000,661385,10758627,523095,138290,6738615,59.2480,680,1,1,0
7,1,2,101,230,630,76,7600000,696888,10907917,554331,142557,6903112,58.9365,652,1,2,0
22,5,2,101,220,620,76,7600000,680314,11082929,538252,142062,6919686,59.3212,704,1,3,0
8,1,2,202,245,645,67,6700000,613131,9586448,488386,124745,6086869,58.8615,634,1,4,0
15,2,2,404,230,630,77,7700000,714052,11094436,570908,143144,6985948,59.0304,655,1,5,1
23,5,2,202,230,630,76,7600000,683854,11209012,542334,141520,6916146,59.5938,671,1,6,0
12,2,2,101,230,630,71,7100000,640344,10204112,508668,131676,6459656,58.9693,615,1,7,0
18,4,2,202,235,635,83,8300000,740750,12139479,585803,154947,7559250,59.3923,697,1,8,0
21,5,2,42,255,655,65,6500000,584655,9496222,463324,121331,5915345,59.3654,612,1,9,0
26,3,2,42,265,675,73,7300000,640342,10555853,505931,134411,6659658,59.1170,659,1,10,0
13,2,2,202,260,660,62,6200000,569557,8921183,455404,114153,5630443,58.9979,476,1,11,0
17,4,2,101,235,635,80,8000000,698948,11583624,549147,149801,7301052,59.1495,697,1,12,0
24,5,2,303,255,655,76,7600000,680206,11107840,539555,140651,6919794,59.3753,697,0,0,0
6,1,2,42,240,640,77,7700000,703306,11020269,559844,143462,6996694,58.8681,666,0,0,0
10,1,2,404,240,640,68,6800000,616039,9724028,489897,126142,6183961,58.8478,623,0,0,0
11,2,2,42,235,635,72,7200000,664704,10392078,531008,133696,6535296,59.0725,633,0,0,0
14,2,2,303,240,640,80,8000000,713463,11456065,564777,148686,7286537,58.8817,655,0,0,0
25,5,2,404,255,655,73,7300000,657527,10644668,521907,135620,6642473,59.3194,655,0,0,0
26,3,2,42,265,675,73,7300000,640342,10555853,505931,134411,6659658,59.1170,659,1,10,0
16,4,2,42,240,640,76,7600000,678774,11097274,537241,141533,6921226,59.3524,640,0,0,0
20,4,2,404,260,660,86,8600000,767572,12501046,606918,160654,7832428,59.2437,731,0,0,0
30,3,2,404,280,690,63,6300000,560484,9182012,444746,115738,5739516,59.3076,476,0,0,0
27,3,2,101,275,685,73,7300000,661666,10553749,527838,133828,6638334,59.1122,653,0,0,0
29,3,2,303,275,685,75,7500000,669689,10809176,531404,138285,6830311,59.0369,658,0,0,0
28,3,2,202,295,705,77,7700000,675395,11055091,534056,141339,7024605,58.9445,673,0,0,0
34,19,3,303,455,1085,76,7600000,773688,11041645,635872,137816,6826312,59.2311,742,1,1,0
58,23,3,202,450,1080,67,6700000,672570,9676944,550688,121882,6027430,59.0888,684,1,2,0
35,19,3,404,450,1080,68,6800000,671491,9851672,547892,123599,6128509,59.1633,688,1,3,0
52,15,3,101,460,1090,72,7200000,709706,10333112,578466,131240,6490294,58.9348,728,1,4,1
42,22,3,101,460,1080,74,7400000,711829,10664279,575841,135988,6688171,59.0352,721,1,5,0
40,7,3,404,485,1115,71,7100000,722309,10161866,593673,128636,6377691,58.8689,695,1,6,0
61,12,3,42,455,1085,71,7100000,697440,10170561,566942,130498,6402560,58.8896,694,1,7,0
