run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,parent_worker_id,child_worker_id,depth,branch_reason,candidate,temperature_at_event,old_penalty,new_penalty,improvement,elapsed_ms
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,0,-1,1000,0,global_best_update,2,99.972373,3800,3650,150,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,0,-1,1001,0,global_best_update,4,99.944753,3650,3560,90,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,0,-1,1002,0,global_best_update,10,99.861940,3560,3545,15,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,0,-1,1003,0,global_best_update,11,99.848145,3545,3515,30,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,0,-1,1004,0,global_best_update,12,99.834351,3515,3355,160,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,0,-1,1005,0,global_best_update,13,99.820560,3355,3225,130,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,0,-1,1006,0,global_best_update,14,99.806770,3225,3180,45,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,0,-1,1007,0,global_best_update,19,99.737850,3180,3175,5,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,1,1011,1,global_best_update,5,99.930946,3175,3100,75,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,1,1012,1,global_best_update,7,99.903338,3100,3070,30,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,1,1013,1,global_best_update,9,99.875738,3070,2920,150,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,1,1014,1,global_best_update,11,99.848145,2920,2860,60,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,1,1015,1,global_best_update,12,99.834351,2860,2770,90,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,1,1016,1,global_best_update,14,99.806770,2770,2630,140,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,10,8,1024,5,global_best_update,8,99.889537,2630,2600,30,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,10,8,1025,5,global_best_update,9,99.875738,2600,2555,45,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,10,8,1026,5,global_best_update,10,99.861940,2555,2395,160,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,1,1020,1,global_best_update,37,99.490130,2395,2370,25,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,1,1021,1,global_best_update,40,99.448904,2370,2315,55,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,1,1022,1,global_best_update,41,99.435165,2315,2195,120,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,1,1023,1,global_best_update,42,99.421429,2195,2135,60,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,1,1024,1,global_best_update,43,99.407694,2135,2125,10,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,1,1025,1,global_best_update,44,99.393961,2125,1975,150,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,1,1026,1,global_best_update,45,99.380231,1975,1925,50,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,10,8,1034,5,global_best_update,56,99.229317,1925,1915,10,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,10,8,1035,5,global_best_update,57,99.215608,1915,1795,120,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,10,8,1036,5,global_best_update,59,99.188198,1795,1780,15,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,10,8,1037,5,global_best_update,61,99.160795,1780,1720,60,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,10,8,1038,5,global_best_update,66,99.092321,1720,1660,60,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,10,8,1039,5,global_best_update,68,99.064944,1660,1600,60,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,4,2,1034,2,global_best_update,126,98.274309,1600,1565,35,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,1,1034,1,global_best_update,135,98.152191,1565,1535,30,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,6,4,1038,3,global_best_update,128,98.247159,1535,1515,20,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,8,6,1041,4,global_best_update,138,98.111519,1515,1460,55,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,2,0,1036,1,global_best_update,306,95.860568,1460,1405,55,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,10,8,1045,5,global_best_update,438,94.128253,1405,1385,20,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,10,8,1046,5,global_best_update,440,94.102248,1385,1245,140,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,10,8,1047,5,global_best_update,444,94.050260,1245,1220,25,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,6,4,1044,3,global_best_update,447,94.011287,1220,1190,30,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,6,4,1045,3,global_best_update,451,93.959349,1190,1175,15,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,6,4,1046,3,global_best_update,460,93.842593,1175,1145,30,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,6,4,1047,3,global_best_update,461,93.829629,1145,1055,90,1
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,5,3,1047,2,global_best_update,428,94.258386,1055,1015,40,4
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,6,4,1049,3,global_best_update,2921,66.794392,1015,1010,5,7
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,6,4,1050,3,global_best_update,2926,66.748268,1010,995,15,7
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,4,2,1049,2,global_best_update,3472,61.898482,995,915,80,8
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,2,0,1048,1,global_best_update,4841,51.231845,915,825,90,11
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,2,0,1049,1,global_best_update,4842,51.224768,825,795,30,11
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,1,1051,1,global_best_update,5365,47.654070,795,785,10,13
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,2,0,1051,1,global_best_update,6202,42.450225,785,755,30,16
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,9,7,1059,4,global_best_update,6131,42.868669,755,740,15,17
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,7,5,1058,3,global_best_update,7055,37.731146,740,725,15,19
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,7,5,1059,3,global_best_update,7059,37.710301,725,695,30,19
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,4,2,1057,2,global_best_update,7929,33.439517,695,665,30,20
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,4,2,1058,2,global_best_update,7930,33.434898,665,620,45,20
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,4,2,1059,2,global_best_update,8445,31.138666,620,610,10,21
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,4,2,1060,2,global_best_update,8447,31.130063,610,580,30,21
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,4,2,1061,2,global_best_update,8451,31.112865,580,550,30,21
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,10,8,1068,5,global_best_update,10797,22.499870,550,535,15,31
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,21,19,1080,10,global_best_update,8522,30.809170,535,505,30,31
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,21,19,1081,10,global_best_update,8529,30.779389,505,475,30,31
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,10,8,1071,5,global_best_update,13729,15.005829,475,455,20,43
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,2,0,1064,1,global_best_update,14054,14.346964,455,440,15,46
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,2,0,1065,1,global_best_update,14745,13.040673,440,425,15,49
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,15,13,1079,7,global_best_update,13697,15.072316,425,415,10,57
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,2,0,1067,1,global_best_update,25667,2.883899,415,410,5,82
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,45,43,1111,22,global_best_update,15531,11.698765,410,400,10,313
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,0,-1,1000,0,global_best_update,1,99.986185,3755,3605,150,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,0,-1,1001,0,global_best_update,2,99.972373,3605,3530,75,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,0,-1,1002,0,global_best_update,3,99.958562,3530,3260,270,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,0,-1,1003,0,global_best_update,4,99.944753,3260,3140,120,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,0,-1,1004,0,global_best_update,5,99.930946,3140,3065,75,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,0,-1,1005,0,global_best_update,6,99.917141,3065,2885,180,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,0,-1,1006,0,global_best_update,7,99.903338,2885,2825,60,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,0,-1,1007,0,global_best_update,11,99.848145,2825,2815,10,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,0,-1,1008,0,global_best_update,14,99.806770,2815,2800,15,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,0,-1,1009,0,global_best_update,16,99.779196,2800,2770,30,0
