run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,beam_path,candidate,elapsed_ms,temperature_at_event,current_penalty,previous_best,new_best,improvement,improvement_percent,event_type,branch_depth,seed_used,accepted_worse_count,hard_reject_count,soft_reject_count,discovery_number,cands_since_previous,time_since_previous_ms,improvement_per_10k,improvement_per_second,post_reheat_improved,post_reheat_best_delta,post_reheat_candidates_to_improve,post_reheat_spawned_branch,post_reheat_beat_global,post_reheat_on_winning_lineage
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,5,1,1,100.000000,3395,3560,3395,165,4.6348,LOCAL_BEST,1,404,0,2,0,1,1,1,1650000.0000,165000.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,6,5,1,1,100.000000,3225,3355,3225,130,3.8748,LOCAL_BEST,3,404,0,1,0,2,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,4,5,1,1,100.000000,3365,3545,3365,180,5.0776,LOCAL_BEST,2,404,0,1,0,3,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,10,5,1,1,100.000000,3070,3100,3070,30,0.9677,LOCAL_BEST,5,404,0,1,0,4,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,9,5,1,1,100.000000,3055,3175,3055,120,3.7795,LOCAL_BEST,4,404,0,1,0,5,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,23,5,1,5,100.000000,2035,2125,2035,90,4.2353,LOCAL_BEST,11,404,0,4,0,6,0,4,0.0000,22500.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,15,5,1,5,100.000000,2545,2630,2545,85,3.2319,LOCAL_BEST,7,404,0,2,0,7,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,29,5,1,5,100.000000,1705,1720,1705,15,0.8721,LOCAL_BEST,14,404,0,6,0,8,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,18,5,1,5,100.000000,2305,2395,2305,90,3.7578,LOCAL_BEST,9,404,0,1,0,9,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,28,5,1,5,100.000000,1720,1780,1720,60,3.3708,LOCAL_BEST,14,404,0,2,0,10,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,12,5,1,5,100.000000,2650,2920,2650,270,9.2466,LOCAL_BEST,6,404,0,2,0,11,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,0,5,2,1,99.986185,3650,3800,3650,150,3.9474,GLOBAL_BEST,0,404,0,4,0,12,1,-4,1500000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,2,5,2,1,99.986185,3620,3650,3620,30,0.8219,LOCAL_BEST,1,404,0,5,0,13,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,9,5,2,1,99.986185,2845,3055,2845,210,6.8740,LOCAL_BEST,4,404,0,3,0,14,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,26,5,2,5,99.986185,1855,1915,1855,60,3.1332,LOCAL_BEST,13,404,0,0,1,15,0,4,0.0000,15000.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,29,5,2,5,99.986185,1615,1705,1615,90,5.2786,LOCAL_BEST,14,404,0,6,0,16,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,18,5,2,5,99.986185,2245,2305,2245,60,2.6030,LOCAL_BEST,9,404,0,4,0,17,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,16,5,2,5,99.986185,2555,2600,2555,45,1.7308,LOCAL_BEST,8,404,0,3,0,18,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,19,5,2,5,99.986185,2360,2370,2360,10,0.4219,LOCAL_BEST,9,404,1,3,0,19,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,30,5,2,5,99.986185,1635,1660,1635,25,1.5060,LOCAL_BEST,15,404,1,8,0,20,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,12,5,2,5,99.986185,2635,2650,2635,15,0.5660,LOCAL_BEST,6,404,0,5,0,21,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,11,5,2,5,99.986185,3035,3070,3035,35,1.1401,LOCAL_BEST,5,404,0,2,0,22,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,13,5,2,5,99.986185,2830,2860,2830,30,1.0490,LOCAL_BEST,6,404,0,4,0,23,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,14,5,2,5,99.986185,2710,2770,2710,60,2.1661,LOCAL_BEST,7,404,0,1,0,24,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,33,5,2,259,99.986185,1400,1535,1400,135,8.7948,LOCAL_BEST,16,404,0,2,1,25,0,254,0.0000,531.4961,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,5,3,1,99.972373,3380,3395,3380,15,0.4418,LOCAL_BEST,1,404,0,2,1,26,1,-258,150000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,4,5,3,1,99.972373,3335,3365,3335,30,0.8915,LOCAL_BEST,2,404,0,5,0,27,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,8,5,3,1,99.972373,3090,3180,3090,90,2.8302,LOCAL_BEST,4,404,2,3,0,28,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,9,5,3,1,99.972373,2815,2845,2815,30,1.0545,LOCAL_BEST,4,404,0,3,0,29,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,29,5,3,5,99.972373,1475,1615,1475,140,8.6687,LOCAL_BEST,14,404,0,9,0,30,0,4,0.0000,35000.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,27,5,3,5,99.972373,1770,1795,1770,25,1.3928,LOCAL_BEST,13,404,2,10,0,31,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,12,5,3,5,99.972373,2515,2635,2515,120,4.5541,LOCAL_BEST,6,404,0,6,0,32,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,0,5,4,1,99.958562,3560,3650,3560,90,2.4658,GLOBAL_BEST,0,404,0,6,0,33,1,-4,900000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,5,4,1,99.958562,3350,3380,3350,30,0.8876,LOCAL_BEST,1,404,0,9,1,34,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,8,5,4,1,99.958562,3000,3090,3000,90,2.9126,LOCAL_BEST,4,404,2,4,0,35,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,5,5,4,1,99.958562,3155,3515,3155,360,10.2418,LOCAL_BEST,2,404,1,7,0,36,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,9,5,4,1,99.958562,2805,2815,2805,10,0.3552,LOCAL_BEST,4,404,0,5,0,37,0,0,0.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,21,5,4,4,99.958562,2155,2195,2155,40,1.8223,LOCAL_BEST,10,404,1,7,0,38,0,3,0.0000,13333.3333,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,15,5,4,5,99.958562,2460,2545,2460,85,3.3399,LOCAL_BEST,7,404,1,10,0,39,0,1,0.0000,85000.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,19,5,4,5,99.958562,2330,2360,2330,30,1.2712,LOCAL_BEST,9,404,2,3,0,40,0,0,0.0000,0.0000,0,0,0,0,0,0
