run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,path_id,fingerprint,hamming_to_best,hamming_to_parent,beam_spread,near_duplicate,retained,retained_rank,winning,cumulative_penalty,week_penalty
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,1,291b63e08575,0.000000,0.000000,15,1,1,1,0,395,395
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,4,cc8a293543a3,0.559524,0.000000,15,0,1,2,0,400,400
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,5,30e69bb9b393,0.500000,0.000000,15,0,1,3,1,400,400
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,2,448e2dbf73df,0.547619,0.000000,15,0,1,4,0,410,410
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,1,3,06d0e7a006ec,0.547619,0.000000,15,0,1,5,0,410,410
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,18,c6b0ae965dc4,0.000000,0.642857,95,1,1,1,0,630,230
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,14,9848a5c8cf04,0.607143,0.678571,95,0,1,2,0,620,220
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,16,d34e3a3d8f3a,0.511905,0.559524,95,0,1,3,0,640,240
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,15,270ad71b7644,0.630952,0.714286,95,0,1,4,0,650,250
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,19,8894110a1495,0.559524,0.571429,95,0,1,5,0,630,230
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,17,5223c4cf9cad,0.523810,0.630952,95,0,1,6,1,635,235
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,23,65a36ace5577,0.702381,0.642857,95,0,1,7,0,645,235
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,2,24,ddfdc6a39d0a,0.738095,0.702381,95,0,1,8,0,650,240
