run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,parent_worker_id,depth,candidate,temperature_at_event,current_penalty,local_best,global_best,cands_since_improve,worker_lifetime_pct,candidate_pct,time_since_previous_improvement,time_until_worker_exit
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,5,3,0,147727,0.003700,320,320,195,100000,147.73,147.73,679,-324
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,2,0,0,139895,0.006356,240,240,195,100000,139.89,139.89,679,-270
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,8,6,0,132614,0.010509,285,285,195,100000,132.61,132.61,679,-221
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,0,-1,0,139818,0.006389,230,230,195,100000,139.82,139.82,679,-270
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,14,12,0,134902,0.008973,285,285,195,100000,134.90,134.90,679,-236
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,23,21,0,132750,0.010411,235,230,195,100000,132.75,132.75,679,-222
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,20,18,0,136864,0.007836,250,250,195,100000,136.86,136.86,679,-250
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,12,10,0,150844,0.002983,225,225,195,100000,150.84,150.84,679,-345
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,32,30,0,137435,0.007533,250,250,195,100000,137.44,137.44,679,-254
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,10,8,0,135166,0.008811,280,275,195,100000,135.17,135.17,679,-238
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,18,16,0,131432,0.011404,320,305,195,100000,131.43,131.43,679,-213
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,9,7,0,137289,0.007609,370,370,195,100000,137.29,137.29,679,-253
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,21,19,0,144800,0.004529,230,230,195,100000,144.80,144.80,679,-304
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,3,1,0,136089,0.008267,250,250,195,100000,136.09,136.09,679,-245
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,16,14,0,137570,0.007463,305,305,195,100000,137.57,137.57,679,-255
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,4,2,0,133526,0.009868,280,265,195,100000,133.53,133.53,679,-227
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,6,4,0,134219,0.009407,275,275,195,100000,134.22,134.22,679,-232
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,17,15,0,165833,0.001059,220,220,195,100000,165.83,165.83,679,-447
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,26,24,0,131148,0.011629,295,285,195,100000,131.15,131.15,679,-211
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,11,9,0,132586,0.010530,250,250,195,100000,132.59,132.59,679,-221
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,25,23,0,140020,0.006301,350,350,195,100000,140.02,140.02,679,-271
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,27,25,0,137632,0.007431,195,195,195,100000,137.63,137.63,679,-255
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,31,29,0,144398,0.004657,265,265,195,100000,144.40,144.40,679,-301
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,30,28,0,148592,0.003485,280,280,195,100000,148.59,148.59,679,-329
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,19,17,0,142277,0.005391,315,315,195,100000,142.28,142.28,679,-287
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,13,11,0,129650,0.012897,325,300,195,100000,129.65,129.65,679,-201
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,7,5,0,143358,0.005003,285,285,195,100000,143.36,143.36,679,-294
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,22,20,0,133039,0.010205,325,310,195,100000,133.04,133.04,679,-224
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,29,27,0,142825,0.005191,225,225,195,100000,142.82,142.82,679,-290
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,24,22,0,138402,0.007046,285,270,195,100000,138.40,138.40,679,-260
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,28,26,0,136373,0.008106,235,220,195,100000,136.37,136.37,679,-246
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,15,13,0,132282,0.010753,270,270,195,100000,132.28,132.28,679,-219
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,33,31,0,135925,0.008361,225,210,195,100000,135.93,135.93,679,-243
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,37,35,0,138146,0.007172,265,265,195,100000,138.15,138.15,679,-259
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,36,34,0,129350,0.013167,305,305,195,100000,129.35,129.35,679,-199
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,34,32,0,135112,0.008844,280,280,195,100000,135.11,135.11,679,-238
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,41,39,0,131233,0.011561,365,355,195,100000,131.23,131.23,679,-212
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,44,42,0,135983,0.008327,235,235,195,100000,135.98,135.98,679,-244
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,42,40,0,138004,0.007242,225,225,195,100000,138.00,138.00,679,-258
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,52,50,0,139551,0.006508,260,260,195,100000,139.55,139.55,679,-268
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,45,43,0,134943,0.008948,290,285,195,100000,134.94,134.94,679,-237
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,48,46,0,139865,0.006369,245,245,195,100000,139.87,139.87,679,-270
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,53,51,0,138483,0.007007,260,260,195,100000,138.48,138.48,679,-261
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,38,36,0,139995,0.006312,255,255,195,100000,140.00,140.00,679,-271
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,46,44,0,139843,0.006378,255,255,195,100000,139.84,139.84,679,-270
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,54,52,0,140622,0.006044,270,270,195,100000,140.62,140.62,679,-275
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,43,41,0,135480,0.008622,245,245,195,100000,135.48,135.48,679,-240
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,47,45,0,139566,0.006502,285,285,195,100000,139.57,139.57,679,-268
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,51,49,0,135569,0.008569,250,250,195,100000,135.57,135.57,679,-241
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,40,38,0,139094,0.006717,290,290,195,100000,139.09,139.09,679,-265
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,61,59,0,132478,0.010609,280,280,195,100000,132.48,132.48,679,-220
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,49,47,0,145599,0.004286,255,255,195,100000,145.60,145.60,679,-309
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,58,56,0,141010,0.005884,255,255,195,100000,141.01,141.01,679,-278
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,64,62,0,120069,0.024999,370,270,195,100000,120.07,120.07,679,-136
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,39,37,0,130537,0.012131,315,315,195,100000,130.54,130.54,679,-207
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,57,55,0,140289,0.006185,255,240,195,100000,140.29,140.29,679,-273
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,63,61,0,142442,0.005330,260,260,195,100000,142.44,142.44,679,-288
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,50,48,0,136159,0.008227,320,305,195,100000,136.16,136.16,679,-245
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,59,57,0,134047,0.009519,310,310,195,100000,134.05,134.05,679,-231
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:51:58+01:00,7,55,53,0,141579,0.005658,265,250,195,100000,141.58,141.58,679,-282
