path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
1,0,1,42,395,395,72,7200000,742208,10763122,613979,128229,6457792,59.9179,684,1,1,0
4,0,1,303,400,400,67,6700000,705611,9990313,586024,119587,5994389,59.8570,666,1,2,0
5,0,1,404,400,400,68,6800000,706483,10173046,585973,120510,6093517,59.9365,679,1,3,1
2,0,1,101,410,410,71,7100000,734767,10710713,608455,126312,6365233,60.1364,689,1,4,0
3,0,1,202,410,410,68,6800000,702996,10211561,581923,121073,6097004,60.0272,678,1,5,0
18,5,2,202,230,630,66,6600000,594464,9357073,472119,122345,6005536,58.6390,609,1,1,0
14,4,2,303,220,620,89,8900000,800012,12998787,634312,165700,8099988,59.3585,733,1,2,0
16,5,2,42,240,640,68,6800000,595364,9722465,469131,126233,6204636,58.8439,609,1,3,0
15,4,2,404,250,650,73,7300000,642733,10638388,506545,136188,6657267,59.3052,626,1,4,0
19,5,2,303,230,630,71,7100000,626685,10176748,494533,132152,6473315,58.9043,623,1,5,0
17,5,2,101,235,635,77,7700000,693025,11010470,549621,143404,7006975,58.8466,646,1,6,1
23,2,2,202,235,645,86,8600000,772104,12532470,611147,160957,7827896,59.3043,684,1,7,0
24,2,2,303,240,650,73,7300000,670570,10722516,533604,136966,6629430,59.4951,759,1,8,0
20,5,2,404,230,630,83,8300000,751842,11870564,597001,154841,7548158,58.8509,670,1,9,0
9,1,2,303,300,695,77,7700000,697111,11058421,553575,143536,7002889,58.9518,678,1,10,0
28,3,2,202,305,715,68,6800000,601508,9992337,476177,125331,6198492,59.5053,610,1,11,0
21,2,2,42,240,650,86,8600000,778476,12657146,617268,161208,7821524,59.5430,684,1,12,0
9,1,2,303,300,695,77,7700000,697111,11058421,553575,143536,7002889,58.9518,678,1,10,0
13,4,2,202,255,655,74,7400000,653765,10790585,515781,137984,6746235,59.3196,639,0,0,0
11,4,2,42,255,655,74,7400000,665733,10870328,527842,137891,6734267,59.4972,647,0,0,0
25,2,2,404,240,650,72,7200000,654495,10582754,518664,135831,6545505,59.5113,615,0,0,0
28,3,2,202,305,715,68,6800000,601508,9992337,476177,125331,6198492,59.5053,610,1,11,0
10,1,2,404,310,705,74,7400000,690881,10670706,553101,137780,6709119,59.0497,662,0,0,0
30,3,2,404,310,720,76,7600000,666815,11257626,526185,140630,6933185,59.6980,645,0,0,0
27,3,2,101,305,715,76,7600000,660008,11193158,519253,140755,6939992,59.5598,643,0,0,0
6,1,2,42,305,700,77,7700000,715247,11097395,571738,143509,6984753,59.0369,670,0,0,0
26,3,2,42,295,705,76,7600000,674427,11212096,534743,139684,6925573,59.6005,647,0,0,0
8,1,2,202,305,700,63,6300000,583670,9050557,466596,117074,5716330,58.9591,495,0,0,0
7,1,2,101,315,710,72,7200000,667431,10348257,532664,134767,6532569,58.9703,632,0,0,0
29,3,2,303,305,715,79,7900000,698651,11575007,552847,145804,7201349,59.4352,657,0,0,0
59,17,3,303,485,1120,65,6500000,637390,9384677,519668,117722,5862610,59.0801,670,1,1,0
40,14,3,404,455,1075,77,7700000,748164,10884296,607130,141034,6951836,58.5672,728,1,2,0
37,14,3,101,460,1080,64,6400000,625876,9116716,508426,117450,5774124,58.7542,530,1,3,0
43,16,3,202,435,1075,64,6400000,641218,9149720,523577,117641,5758782,58.8417,525,1,4,0
58,17,3,202,490,1125,75,7500000,745382,10856788,609193,136189,6754618,59.1432,696,1,5,1
33,18,3,202,445,1075,75,7500000,744723,10853187,605961,138762,6755277,59.1352,697,1,6,0
31,18,3,42,475,1105,54,5400000,537993,7778517,438321,99672,4862007,59.0242,485,1,7,0
34,18,3,303,460,1090,73,7300000,716586,10565669,581694,134892,6583414,59.1395,691,1,8,0
90,21,3,404,465,1115,76,7600000,731354,10984079,592723,138631,6868646,59.1048,713,1,9,0
78,9,3,202,445,1140,74,7400000,737469,10711147,601861,135608,6662531,59.1412,698,1,10,0
54,19,3,303,455,1085,64,6400000,624084,9294201,506222,117862,5775916,59.2206,652,1,11,0
66,24,3,42,490,1140,78,7800000,779290,11333947,639570,139720,7020710,59.2348,718,1,12,0
54,19,3,303,455,1085,64,6400000,624084,9294201,506222,117862,5775916,59.2206,652,1,11,0
45,16,3,404,460,1100,70,7000000,698117,10021525,569009,129108,6301883,58.8756,676,0,0,0
39,14,3,303,470,1090,71,7100000,706721,10082010,576640,130081,6393279,58.6777,673,0,0,0
51,19,3,42,470,1100,69,6900000,663195,10033564,537322,125873,6236805,59.2525,671,0,0,0
66,24,3,42,490,1140,78,7800000,779290,11333947,639570,139720,7020710,59.2348,718,1,12,0
62,23,3,101,475,1120,73,7300000,729719,10627949,596056,133663,6570281,59.2815,697,0,0,0
41,16,3,42,475,1115,73,7300000,719335,10452572,585553,133782,6580665,58.8792,681,0,0,0
42,16,3,101,450,1090,72,7200000,707280,10308666,573958,133322,6492720,58.8775,678,0,0,0
36,14,3,42,475,1095,80,8000000,795088,11392692,647897,147191,7204912,58.7473,774,0,0,0
35,18,3,404,475,1105,70,7000000,699601,10132558,570448,129153,6300399,59.1421,680,0,0,0
75,20,3,404,450,1080,76,7600000,765906,10934102,627480,138426,6834094,58.9945,714,0,0,0
86,21,3,42,465,1115,60,6000000,585443,8651513,475956,109487,5414557,59.0486,508,0,0,0
64,23,3,303,470,1115,73,7300000,721168,10527969,587862,133306,6578832,59.0531,688,0,0,0
74,20,3,303,455,1085,76,7600000,752576,10989696,614094,138482,6847424,59.1171,722,0,0,0
87,21,3,101,450,1100,70,7000000,679223,10146527,552118,127105,6320777,59.1754,673,0,0,0
48,15,3,202,475,1125,70,7000000,688092,10215893,560596,127496,6311908,59.3399,676,0,0,0
73,20,3,202,460,1090,67,6700000,659238,9691220,536705,122533,6040762,59.1245,668,0,0,0
79,9,3,303,450,1145,75,7500000,759456,10824661,622241,137215,6740544,59.0715,700,0,0,0
55,19,3,404,480,1110,62,6200000,607119,9033545,493332,113787,5592881,59.3003,546,0,0,0
50,15,3,404,470,1120,75,7500000,729868,10846278,592797,137071,6770132,59.1198,699,0,0,0
61,23,3,42,475,1120,70,7000000,682185,10126220,553989,128196,6317815,59.1270,676,0,0,0
63,23,3,202,490,1135,77,7700000,748283,11169742,606987,141296,6951717,59.1939,712,0,0,0
71,20,3,42,450,1080,68,6800000,670840,9788510,547020,123820,6129160,59.0078,667,0,0,0
52,19,3,101,470,1100,71,7100000,686414,10326366,556542,129872,6413586,59.2571,681,0,0,0
60,17,3,404,480,1115,74,7400000,760841,10657973,627047,133794,6639159,59.0209,697,0,0,0
49,15,3,303,480,1130,73,7300000,720375,10611684,587110,133265,6579625,59.2445,693,0,0,0
81,28,3,42,475,1190,62,6200000,616947,8903439,504479,112468,5583053,58.9497,518,0,0,0
44,16,3,303,470,1110,71,7100000,694056,10185530,563926,130130,6405944,58.9252,681,0,0,0
56,17,3,42,485,1120,83,8300000,838722,11993025,688143,150579,7461278,59.0992,735,0,0,0
77,9,3,101,445,1140,75,7500000,748562,10760652,611539,137023,6751438,58.9281,711,0,0,0
65,23,3,404,455,1100,75,7500000,738892,10934894,600194,138698,6761108,59.3163,706,0,0,0
76,9,3,42,455,1150,67,6700000,676276,9692336,553658,122618,6023724,59.1272,668,0,0,0
72,20,3,101,460,1090,65,6500000,644746,9374183,526577,118169,5855254,59.0530,667,0,0,0
88,21,3,202,460,1110,65,6500000,628014,9500422,509737,118277,5871986,59.3761,659,0,0,0
89,21,3,303,460,1110,69,6900000,666726,9969337,540856,125870,6233274,59.0974,688,0,0,0
82,28,3,101,460,1175,80,8000000,788385,11575634,642668,145717,7211615,59.1329,717,0,0,0
83,28,3,202,470,1185,67,6700000,643835,9640237,522362,121473,6056165,58.9969,668,0,0,0
46,15,3,42,495,1145,85,8500000,839020,12317358,684813,154207,7660980,59.1687,746,0,0,0
68,24,3,202,510,1160,70,7000000,710302,10152428,583349,126953,6289698,59.1895,678,0,0,0
85,28,3,404,460,1175,67,6700000,659274,9658372,536661,122613,6040726,59.0424,670,0,0,0
80,9,3,404,460,1155,64,6400000,631143,9250719,513650,117493,5768857,59.1073,550,0,0,0
53,19,3,202,480,1110,58,5800000,566266,8477407,460011,106255,5233734,59.3764,501,0,0,0
57,17,3,101,490,1125,68,6800000,686856,9867924,562944,123912,6113144,59.2031,689,0,0,0
70,24,3,404,525,1175,62,6200000,600273,9037456,488142,112131,5599727,59.3108,545,0,0,0
69,24,3,303,500,1150,78,7800000,760682,11314671,619661,141021,7039318,59.1936,732,0,0,0
47,15,3,101,515,1165,79,7900000,787923,11503761,642782,145141,7112077,59.2862,719,0,0,0
67,24,3,101,520,1170,78,7800000,765096,11352728,623878,141218,7034904,59.2747,722,0,0,0
84,28,3,303,470,1185,70,7000000,683477,10103378,555666,127811,6316523,59.0724,677,0,0,0
134,90,4,303,135,1250,67,6700000,592153,10096920,477908,114245,6107847,60.1117,539,1,1,0
94,59,4,303,150,1270,75,7500000,676969,11292638,549358,127611,6823031,60.0908,563,1,2,0
95,59,4,404,135,1255,65,6500000,592289,9829794,481714,110575,5907711,60.1955,540,1,3,0
139,78,4,303,135,1275,67,6700000,643970,10244405,530630,113340,6056030,60.4589,542,1,4,0
138,78,4,202,120,1260,62,6200000,575255,9362243,469855,105400,5624745,60.1600,416,1,5,0
92,59,4,101,135,1255,77,7700000,683073,11561929,551330,131743,7016927,60.0248,571,1,6,0
135,90,4,404,120,1235,69,6900000,607356,10542997,489634,117722,6292644,60.4426,536,1,7,0
112,58,4,101,135,1260,67,6700000,635019,10172349,520335,114684,6064981,60.2901,540,1,8,1
127,34,4,101,120,1210,59,5900000,562577,9091520,462218,100359,5337423,60.6444,431,1,9,0
100,40,4,404,130,1205,53,5300000,519051,8071076,428669,90382,4780949,60.3622,393,1,10,0
101,37,4,42,150,1230,70,7000000,662754,10686893,543261,119493,6337246,60.4227,538,1,11,0
106,43,4,42,150,1225,70,7000000,655860,10723265,536103,119757,6344140,60.5039,541,1,12,0
115,58,4,404,150,1275,69,6900000,650444,10501845,532546,117898,6249556,60.3490,536,0,0,0
126,34,4,42,160,1250,58,5800000,568413,8920663,470141,98272,5231587,60.5996,427,0,0,0
136,78,4,42,120,1260,62,6200000,569941,9396565,464923,105018,5630059,60.2477,432,0,0,0
91,59,4,42,135,1255,57,5700000,522064,8612900,424745,97319,5177936,60.1758,431,0,0,0
102,37,4,101,130,1210,67,6700000,634693,10230272,520927,113766,6065307,60.4259,539,0,0,0
133,90,4,202,135,1250,61,6100000,542143,9241422,438069,104074,5557857,60.2384,420,0,0,0
98,40,4,202,135,1210,74,7400000,716438,11255384,590737,125701,6683562,60.3332,563,0,0,0
99,40,4,303,130,1205,75,7500000,708901,11498865,581444,127457,6791099,60.5240,572,0,0,0
110,43,4,404,165,1240,63,6300000,599058,9612222,491752,107306,5700942,60.4078,415,0,0,0
130,34,4,404,135,1225,66,6600000,647062,10267155,535030,112032,5952938,60.8707,540,0,0,0
131,90,4,42,135,1250,53,5300000,473961,8064331,383729,90232,4826039,60.3422,392,0,0,0
107,43,4,101,150,1225,63,6300000,598800,9606218,491533,107267,5701200,60.3928,429,0,0,0
108,43,4,202,150,1225,69,6900000,653785,10570690,535956,117829,6246215,60.5053,540,0,0,0
142,54,4,101,150,1235,62,6200000,621109,9506941,515502,105607,5578891,60.5270,420,0,0,0
109,43,4,303,135,1210,64,6400000,602976,9852268,494000,108976,5797024,60.6209,445,0,0,0
104,37,4,303,150,1230,62,6200000,568921,9481781,463186,105735,5631079,60.4637,421,0,0,0
114,58,4,303,135,1260,59,5900000,556656,9080362,455530,101126,5343344,60.6151,421,0,0,0
128,34,4,202,165,1255,50,5000000,491513,7801660,406611,84902,4508487,60.9426,385,0,0,0
132,90,4,101,150,1265,65,6500000,592599,9891773,481735,110864,5907401,60.3460,533,0,0,0
137,78,4,101,135,1275,77,7700000,733112,11673095,602151,130961,6966888,60.2542,573,0,0,0
141,54,4,42,130,1215,64,6400000,630307,9840284,521665,108642,5769693,60.5918,423,0,0,0
97,40,4,101,150,1225,64,6400000,599132,9748242,490659,108473,5800868,60.3672,438,0,0,0
111,58,4,42,120,1245,69,6900000,652239,10487092,534170,118069,6247761,60.3154,539,0,0,0
113,58,4,202,120,1245,64,6400000,596731,9734297,486186,110545,5803269,60.3329,422,0,0,0
116,33,4,42,145,1220,52,5200000,480235,7889585,391738,88497,4719765,60.2738,404,0,0,0
129,34,4,303,135,1225,65,6500000,628808,10064641,518848,109960,5871192,60.7598,530,0,0,0
143,54,4,202,135,1220,56,5600000,553145,8566099,457407,95738,5046855,60.4690,416,0,0,0
93,59,4,202,150,1270,69,6900000,638912,10420185,520903,118009,6261088,60.1621,559,0,0,0
96,40,4,42,135,1210,79,7900000,755086,12147316,620895,134191,7144914,60.5932,586,0,0,0
103,37,4,202,130,1210,59,5900000,561427,9008962,461116,100311,5338573,60.4265,409,0,0,0
121,31,4,42,150,1255,57,5700000,526834,8723445,428592,98242,5173166,60.4810,408,0,0,0
123,31,4,202,135,1240,68,6800000,624363,10414591,507926,116437,6175637,60.4986,540,0,0,0
120,33,4,404,150,1225,69,6900000,658156,10489637,540899,117257,6241844,60.3212,540,0,0,0
125,31,4,404,120,1225,60,6000000,556768,9232983,453579,103189,5443232,60.6118,433,0,0,0
140,78,4,404,145,1285,70,7000000,666703,10650853,547854,118849,6333297,60.3419,552,0,0,0
105,37,4,404,155,1235,67,6700000,643348,10198085,528753,114595,6056652,60.3505,538,0,0,0
118,33,4,202,165,1240,62,6200000,599178,9452124,494102,105076,5600822,60.3888,413,0,0,0
144,54,4,303,130,1215,74,7400000,740454,11266289,614844,125610,6659546,60.3563,563,0,0,0
145,54,4,404,160,1245,60,6000000,600414,9205250,498548,101866,5399586,60.5399,424,0,0,0
148,66,4,202,150,1290,76,7600000,708704,11635514,579389,129315,6891296,60.4897,573,0,0,0
117,33,4,101,155,1230,67,6700000,626345,10214574,512272,114073,6073655,60.3892,562,0,0,0
119,33,4,303,160,1235,63,6300000,604038,9624905,497447,106591,5695962,60.4393,420,0,0,0
122,31,4,101,150,1255,66,6600000,603339,10035559,489895,113444,5996661,60.3259,539,0,0,0
147,66,4,101,150,1290,70,7000000,661511,10787772,543007,118504,6338489,60.6471,540,0,0,0
150,66,4,404,160,1300,63,6300000,570669,9744469,464080,106589,5729331,60.7341,422,0,0,0
146,66,4,42,175,1315,66,6600000,601689,10008775,489301,112388,5998311,60.2620,543,0,0,0
124,31,4,303,160,1265,59,5900000,556692,9087332,454896,101796,5343308,60.6334,413,0,0,0
149,66,4,303,165,1305,81,8100000,758138,12336690,619981,138157,7341862,60.3654,588,0,0,0
171,138,5,42,325,1585,77,7700000,720129,11576214,581812,138317,6979871,60.0544,650,1,1,0
209,106,5,303,285,1510,69,6900000,638226,10488562,514127,124099,6261774,60.3187,608,1,2,0
157,94,5,101,315,1585,70,7000000,650304,10704453,524663,125641,6349696,60.4619,617,1,3,0
158,94,5,202,315,1585,74,7400000,694707,11303426,561552,133155,6705293,60.4351,635,1,4,0
207,106,5,101,295,1520,69,6900000,642383,10449806,518205,124178,6257617,60.2301,609,1,5,0
206,106,5,42,295,1520,71,7100000,664141,10753394,536352,127789,6435859,60.2317,667,1,6,0
181,135,5,42,330,1565,59,5900000,550927,8936322,444480,106447,5349073,60.2327,489,1,7,0
167,139,5,101,330,1605,84,8400000,758134,12680943,607939,150195,7641866,60.1536,676,1,8,0
172,138,5,101,330,1590,64,6400000,624416,9693104,509329,115087,5775584,60.2314,512,1,9,0
202,101,5,101,320,1550,73,7300000,683846,11075412,552554,131292,6616154,60.2730,634,1,10,0
155,134,5,404,330,1580,80,8000000,728691,12194374,585091,143600,7271309,60.3850,662,1,11,0
188,112,5,202,335,1595,70,7000000,631313,10632984,505517,125796,6368687,60.3017,614,1,12,1
174,138,5,303,340,1600,62,6200000,587493,9315790,475618,111875,5612507,60.0407,468,0,0,0
