path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
1,0,1,42,400,400,70,7000000,714092,10518678,589349,124743,6285908,60.0426,899,1,1,0
5,0,1,404,400,400,53,5300000,535045,7973300,440882,94163,4764955,60.0702,698,1,2,0
4,0,1,303,400,400,69,6900000,711315,10257537,588496,122819,6188685,59.7844,881,1,3,1
3,0,1,202,410,410,70,7000000,722967,10553758,598332,124635,6277033,60.1225,897,1,4,0
2,0,1,101,400,400,69,6900000,692070,10380759,568861,123209,6207930,60.0712,887,1,5,0
19,4,2,303,230,630,84,8400000,764365,12287781,607358,157007,7635635,59.3963,986,1,1,0
16,4,2,42,220,620,80,8000000,721539,11669397,572173,149366,7278461,59.3277,926,1,2,0
9,1,2,303,255,655,89,8900000,815688,12710581,650510,165178,8084312,58.8165,1059,1,3,0
10,1,2,404,245,645,67,6700000,613979,9564317,489373,124606,6086021,58.8055,813,1,4,0
28,2,2,202,250,650,74,7400000,666832,10748702,528199,138633,6733168,59.2257,857,1,5,0
13,5,2,202,245,645,60,6000000,547306,8699251,435391,111915,5452694,59.1816,708,1,6,0
18,4,2,202,220,620,78,7800000,703799,11412500,558315,145484,7096201,59.4014,892,1,7,1
15,5,2,404,270,670,70,7000000,644589,10284415,515267,129322,6355411,59.5011,827,1,8,0
27,2,2,101,250,650,64,6400000,587939,9190699,468191,119748,5812061,58.9499,729,1,9,0
22,3,2,101,305,715,68,6800000,588581,10058950,462402,126179,6211419,59.6653,824,1,10,0
14,5,2,303,245,645,74,7400000,669010,10774421,531516,137494,6730990,59.2834,867,1,11,0
20,4,2,404,240,640,70,7000000,617375,10230098,486503,130872,6382625,59.3734,827,1,12,0
7,1,2,101,265,665,73,7300000,671964,10431182,534646,137318,6628036,58.8296,850,0,0,0
17,4,2,101,230,630,74,7400000,646078,10678674,507447,138631,6753922,59.0678,860,0,0,0
26,2,2,42,265,665,65,6500000,592945,9382817,471442,121503,5907055,59.0753,786,0,0,0
6,1,2,42,245,645,76,7600000,700638,10863721,558336,142302,6899362,58.8382,894,0,0,0
22,3,2,101,305,715,68,6800000,588581,10058950,462402,126179,6211419,59.6653,824,1,10,0
12,5,2,101,285,685,64,6400000,589640,9345500,470019,119621,5810360,59.3535,745,0,0,0
8,1,2,202,270,670,74,7400000,690815,10591055,553134,137681,6709185,58.8684,864,0,0,0
23,3,2,202,305,715,68,6800000,601370,10061810,475819,125551,6198630,59.6722,821,0,0,0
25,3,2,404,280,690,77,7700000,686226,11324978,544396,141830,7013774,59.5269,886,0,0,0
30,2,2,404,265,665,62,6200000,561657,8918067,445299,116358,5638343,58.9895,714,0,0,0
29,2,2,303,250,650,59,5900000,537944,8528485,428381,109563,5362056,59.1087,695,0,0,0
21,3,2,42,295,705,80,8000000,678341,11820073,531507,146834,7321659,59.6369,963,0,0,0
24,3,2,303,300,710,75,7500000,654529,10986235,516322,138207,6845471,59.4293,867,0,0,0
33,19,3,202,445,1075,66,6600000,664054,9523371,544210,119844,5935946,59.0656,904,1,1,0
62,18,3,101,460,1080,78,7800000,780655,11257514,640482,140173,7019345,59.0713,978,1,2,1
64,18,3,303,465,1085,79,7900000,802466,11467488,659990,142476,7097534,59.2100,999,1,3,0
40,16,3,404,460,1080,70,7000000,703685,10009436,576240,127445,6296315,58.8464,918,1,4,0
34,19,3,303,455,1085,79,7900000,785007,11358286,641950,143057,7114993,58.9787,981,1,5,0
61,18,3,42,465,1085,70,7000000,695044,10143735,569383,125661,6304956,59.1688,928,1,6,0
39,16,3,303,470,1090,78,7800000,778553,11183341,636014,142539,7021447,58.9113,978,1,7,0
31,19,3,42,480,1110,79,7900000,791256,11441666,647410,143846,7108744,59.1555,992,1,8,0
36,16,3,42,475,1095,59,5900000,573100,8498104,465317,107783,5326900,59.0224,761,1,9,0
66,15,3,42,465,1135,67,6700000,647851,9575793,524981,122870,6052149,58.8346,873,1,10,0
