run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,worker_id,parent_worker_id,week,worker_seed,depth,start_time_ms,finish_time_ms,finish_candidate,initial_temperature,final_temperature,temperature_at_best,best_candidate,plateau_count,branch_count,produced_global_best,final_penalty,best_penalty,start_penalty,improvement_per_10k,branches_per_10k,accepted_worse_pct,hard_reject_pct,first_plateau_candidate,last_improvement_candidate,local_best_improvements,accepted_worse,hard_rejects
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T10:01:13+01:00,3,1,1,303,1,0,148,100000,100.000000,0.000100,15.061908,13703,0,14,0,410,410,3320,291.0000,1.4000,1.77,59.17,0,13703,10065,1775,144908
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T10:01:13+01:00,9,7,1,303,4,0,168,100000,100.000000,0.000100,11.042312,15950,0,2,1,400,400,2740,234.0000,0.2000,1.69,59.76,0,15950,9541,1691,148485
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T10:01:13+01:00,15,13,1,303,7,0,169,100000,100.000000,0.000100,7.600112,18654,0,0,0,485,465,2140,167.5000,0.0000,1.81,59.44,0,18654,7863,1812,146522
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T10:01:13+01:00,2,0,1,303,1,0,173,100000,100.000000,0.000100,12.024859,15333,0,3,0,575,545,3530,298.5000,0.3000,1.71,59.60,0,15333,8035,1714,147514
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T10:01:13+01:00,0,-1,1,303,0,0,177,100000,100.000000,0.000100,6.368248,19934,0,38,0,460,460,3800,334.0000,3.8000,1.76,59.90,0,19934,8824,1760,149382
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T10:01:13+01:00,16,14,1,303,8,0,180,100000,100.000000,0.000100,9.594890,16967,0,0,0,530,530,2110,158.0000,0.0000,1.71,59.52,0,16967,6682,1708,147037
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T10:01:13+01:00,10,8,1,303,5,0,181,100000,100.000000,0.000100,7.522808,18728,0,0,0,495,495,2560,206.5000,0.0000,1.76,60.13,0,18728,8382,1761,150786
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T10:01:13+01:00,6,4,1,303,3,0,189,100000,100.000000,0.000100,6.099581,20246,0,5,0,530,530,2980,245.0000,0.5000,1.71,60.37,0,20246,9747,1709,152361
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T10:01:13+01:00,14,12,1,303,7,0,187,100000,100.000000,0.000100,6.462194,19828,0,0,0,525,525,2155,163.0000,0.0000,1.78,59.69,0,19828,8169,1779,148078
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T10:01:13+01:00,8,6,1,303,4,0,195,100000,100.000000,0.000100,9.299937,17193,0,0,0,490,470,2815,234.5000,0.0000,1.81,58.90,0,17193,8276,1815,143304
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T10:01:13+01:00,12,10,1,303,6,0,199,100000,100.000000,0.000100,11.602191,15592,0,0,0,545,540,2395,185.5000,0.0000,1.82,60.04,0,15592,8865,1823,150280
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T10:01:13+01:00,4,2,1,303,2,0,202,100000,100.000000,0.000100,13.852240,14309,0,5,0,440,430,3230,280.0000,0.5000,1.81,58.67,0,14309,9367,1807,141946
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T10:01:13+01:00,5,3,1,303,2,0,202,100000,100.000000,0.000100,8.426360,17907,0,0,0,475,445,3010,256.5000,0.0000,1.78,59.91,0,17907,6989,1783,149454
