run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,parent_worker_id,depth,candidate,temperature_at_event,current_penalty,local_best,global_best,cands_since_improve,worker_lifetime_pct,candidate_pct,time_since_previous_improvement,time_until_worker_exit
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,5,3,0,137709,0.007391,235,235,190,100000,137.71,137.71,662,-249
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,13,11,0,133645,0.009787,245,245,190,100000,133.64,133.64,662,-222
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,6,4,0,135871,0.008392,255,255,190,100000,135.87,135.87,662,-237
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,28,26,0,134694,0.009103,190,190,190,100000,134.69,134.69,662,-229
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,26,24,0,138530,0.006984,270,270,190,100000,138.53,138.53,662,-255
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,14,12,0,140838,0.005955,235,235,190,100000,140.84,140.84,662,-270
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,31,29,0,129459,0.013069,215,215,190,100000,129.46,129.46,662,-195
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,21,19,0,142487,0.005314,290,290,190,100000,142.49,142.49,662,-281
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,15,13,0,146066,0.004150,215,215,190,100000,146.07,146.07,662,-304
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,18,16,0,143626,0.004912,260,260,190,100000,143.63,143.63,662,-288
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,22,20,0,131971,0.010987,190,190,190,100000,131.97,131.97,662,-211
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,11,9,0,126830,0.015671,275,250,190,100000,126.83,126.83,662,-177
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,8,6,0,129673,0.012877,230,220,190,100000,129.67,129.67,662,-196
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,7,5,0,135683,0.008502,230,225,190,100000,135.68,135.68,662,-236
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,17,15,0,140121,0.006257,265,265,190,100000,140.12,140.12,662,-265
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,30,28,0,139025,0.006749,265,265,190,100000,139.03,139.03,662,-258
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,32,30,0,131301,0.011507,210,200,190,100000,131.30,131.30,662,-207
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,24,22,0,129120,0.013378,290,280,190,100000,129.12,129.12,662,-192
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,19,17,0,136035,0.008298,265,265,190,100000,136.03,136.03,662,-238
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,25,23,0,140876,0.005939,220,220,190,100000,140.88,140.88,662,-270
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,9,7,0,132764,0.010401,220,220,190,100000,132.76,132.76,662,-216
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,23,21,0,149726,0.003223,215,215,190,100000,149.73,149.73,662,-329
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,0,-1,0,142331,0.005371,220,220,190,100000,142.33,142.33,662,-280
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,2,0,0,137764,0.007363,215,215,190,100000,137.76,137.76,662,-249
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,3,1,0,126738,0.015771,260,230,190,100000,126.74,126.74,662,-177
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,20,18,0,132667,0.010471,290,275,190,100000,132.67,132.67,662,-216
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,12,10,0,136421,0.008079,225,225,190,100000,136.42,136.42,662,-241
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,27,25,0,137784,0.007353,285,285,190,100000,137.78,137.78,662,-250
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,10,8,0,138870,0.006822,230,220,190,100000,138.87,138.87,662,-257
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,16,14,0,133305,0.010020,220,215,190,100000,133.31,133.31,662,-220
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,4,2,0,136186,0.008211,220,220,190,100000,136.19,136.19,662,-239
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,29,27,0,137695,0.007399,245,245,190,100000,137.69,137.69,662,-249
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,33,31,0,134099,0.009485,300,265,145,100000,134.10,134.10,662,-225
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,38,36,0,140371,0.006150,145,145,145,100000,140.37,140.37,662,-267
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,37,35,0,139873,0.006365,235,235,145,100000,139.87,139.87,662,-263
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,35,33,0,142636,0.005259,260,260,145,100000,142.64,142.64,662,-282
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,34,32,0,136963,0.007782,245,235,145,100000,136.96,136.96,662,-244
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,41,39,0,138430,0.007032,240,235,145,100000,138.43,138.43,662,-254
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,45,43,0,139062,0.006732,285,285,145,100000,139.06,139.06,662,-258
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,42,40,0,139767,0.006412,290,290,145,100000,139.77,139.77,662,-263
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,39,37,0,134595,0.009165,215,215,145,100000,134.59,134.59,662,-229
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,40,38,0,147033,0.003882,285,285,145,100000,147.03,147.03,662,-311
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,49,47,0,130916,0.011817,200,200,145,100000,130.92,130.92,662,-204
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,36,34,0,132496,0.010595,220,220,145,100000,132.50,132.50,662,-215
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,46,44,0,140471,0.006108,265,265,145,100000,140.47,140.47,662,-267
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,51,49,0,138981,0.006770,205,205,145,100000,138.98,138.98,662,-258
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,48,46,0,140830,0.005958,190,190,145,100000,140.83,140.83,662,-270
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,57,55,0,148272,0.003563,245,245,145,100000,148.27,148.27,662,-319
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,59,57,0,150038,0.003154,230,230,145,100000,150.04,150.04,662,-331
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,47,45,0,132234,0.010789,245,240,145,100000,132.23,132.23,662,-213
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,44,42,0,144253,0.004703,255,255,145,100000,144.25,144.25,662,-292
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,52,50,0,142361,0.005360,215,215,145,100000,142.36,142.36,662,-280
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,56,54,0,138848,0.006832,250,250,145,100000,138.85,138.85,662,-257
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,53,51,0,134808,0.009032,285,285,145,100000,134.81,134.81,662,-230
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,43,41,0,136742,0.007902,260,260,145,100000,136.74,136.74,662,-243
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,54,52,0,136561,0.008001,210,210,145,100000,136.56,136.56,662,-242
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,55,53,0,135296,0.008732,205,205,145,100000,135.30,135.30,662,-233
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,50,48,0,130591,0.012086,345,235,145,100000,130.59,130.59,662,-202
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,60,58,0,135863,0.008397,235,225,145,100000,135.86,135.86,662,-237
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,58,56,0,144649,0.004576,210,210,145,100000,144.65,144.65,662,-295
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,61,59,0,120069,0.024999,345,215,145,100000,120.07,120.07,662,-132
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,62,60,0,120069,0.024999,260,205,145,100000,120.07,120.07,662,-132
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,63,61,0,120069,0.024999,255,190,145,100000,120.07,120.07,662,-132
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,64,62,0,131928,0.011019,210,180,145,100000,131.93,131.93,662,-211
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,65,63,0,120069,0.024999,225,175,145,100000,120.07,120.07,662,-132
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,66,64,0,120069,0.024999,205,160,145,100000,120.07,120.07,662,-132
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,7,67,65,0,120069,0.024999,190,145,145,100000,120.07,120.07,662,-132
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,8,2,0,0,129692,0.012860,1735,1720,1605,100000,129.69,129.69,662,-196
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,8,4,2,0,136231,0.008186,1685,1685,1605,100000,136.23,136.23,662,-239
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,8,14,12,0,142225,0.005411,1720,1720,1605,100000,142.22,142.22,662,-279
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,8,10,8,0,174831,0.000569,1675,1675,1605,100000,174.83,174.83,662,-495
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,8,11,9,0,132610,0.010512,1655,1650,1605,100000,132.61,132.61,662,-215
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,8,13,11,0,139617,0.006479,1675,1675,1605,100000,139.62,139.62,662,-262
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,8,15,13,0,141402,0.005727,1750,1750,1605,100000,141.40,141.40,662,-274
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,8,8,6,0,144889,0.004501,1675,1675,1605,100000,144.89,144.89,662,-297
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,8,0,-1,0,146585,0.004004,1685,1685,1605,100000,146.59,146.59,662,-308
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,8,3,1,0,149045,0.003378,1725,1725,1605,100000,149.05,149.05,662,-324
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,8,7,5,0,137409,0.007546,1680,1680,1605,100000,137.41,137.41,662,-247
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,8,6,4,0,136253,0.008174,1735,1735,1605,100000,136.25,136.25,662,-239
n012w8-0,n012w8,0,12,100000,100.0,adaptive,2026-07-02T08:22:02+01:00,8,32,30,0,135466,0.008630,1605,1605,1605,100000,135.47,135.47,662,-234
