path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
2,0,1,101,395,395,62,6200000,631699,9320182,520765,110934,5568301,60.0520,533,1,1,0
5,0,1,404,400,400,67,6700000,682456,10111562,562734,119722,6017544,60.1465,662,1,2,0
1,0,1,42,400,400,68,6800000,696335,10209458,575482,120853,6103665,60.0222,664,1,3,0
3,0,1,202,400,400,84,8400000,878968,12625786,729452,149516,7521032,60.0491,764,1,4,0
4,0,1,303,400,400,69,6900000,722337,10265867,599405,122932,6177663,59.8040,662,1,5,1
24,3,2,303,225,625,79,7900000,729600,11379670,582898,146702,7170400,59.0242,683,1,1,0
29,4,2,303,230,630,76,7600000,671709,11055699,530265,141444,6928291,59.2618,647,1,2,1
28,4,2,202,230,630,86,8600000,768224,12540738,607762,160462,7831776,59.3202,687,1,3,0
16,1,2,42,250,650,78,7800000,722453,11327187,576788,145665,7077547,59.2203,665,1,4,0
6,2,2,42,280,675,63,6300000,559743,9196401,442306,117437,5740257,59.3454,503,1,5,0
7,2,2,101,310,705,60,6000000,542248,8779068,429602,112646,5457752,59.4020,510,1,6,0
22,3,2,101,250,650,66,6600000,596364,9426229,472457,123907,6003636,58.8175,611,1,7,0
26,4,2,42,225,625,83,8300000,738979,12157123,584033,154946,7561021,59.4273,679,1,8,0
21,3,2,42,245,645,69,6900000,637035,9801066,508225,128810,6262965,58.6853,624,1,9,0
12,5,2,101,290,690,67,6700000,609554,9813877,484003,125551,6090446,59.4281,653,1,10,0
27,4,2,101,235,635,77,7700000,677809,11212633,533683,144126,7022191,59.2865,658,1,11,0
14,5,2,303,245,645,85,8500000,764974,12464423,607147,157827,7735026,59.4551,714,1,12,0
20,1,2,404,230,630,61,6100000,559800,8901515,446054,113746,5540200,59.3374,486,0,0,0
11,5,2,42,285,685,66,6600000,592552,9604824,469892,122660,6007448,59.2714,616,0,0,0
