run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,beam_path,candidate,elapsed_ms,temperature_at_event,current_penalty,previous_best,new_best,improvement,improvement_percent,event_type,branch_depth,seed_used,accepted_worse_count,hard_reject_count,soft_reject_count,discovery_number,cands_since_previous,time_since_previous_ms,improvement_per_10k,improvement_per_second,post_reheat_improved,post_reheat_best_delta,post_reheat_candidates_to_improve,post_reheat_spawned_branch,post_reheat_beat_global,post_reheat_on_winning_lineage
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,1,1,100.000000,3650,3800,3650,150,3.9474,GLOBAL_BEST,0,777,0,1,0,1,1,1,1500000.0000,150000.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,3,1,99.994474,3570,3650,3570,80,2.1918,GLOBAL_BEST,0,777,0,3,0,2,2,0,400000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,4,1,99.991711,3510,3570,3510,60,1.6807,GLOBAL_BEST,0,777,0,3,0,3,1,0,600000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,5,1,99.988948,3480,3510,3480,30,0.8547,GLOBAL_BEST,0,777,0,3,0,4,1,0,300000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,7,1,99.983423,3195,3480,3195,285,8.1897,GLOBAL_BEST,0,777,1,8,0,5,2,0,1425000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,9,1,99.977898,3005,3195,3005,190,5.9468,GLOBAL_BEST,0,777,1,17,0,6,2,0,950000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,10,1,99.975135,2990,3005,2990,15,0.4992,GLOBAL_BEST,0,777,1,17,0,7,1,0,150000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,11,1,99.972373,2840,2990,2840,150,5.0167,GLOBAL_BEST,0,777,1,19,0,8,1,0,1500000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,16,1,99.958562,2810,2840,2810,30,1.0563,GLOBAL_BEST,0,777,3,23,0,9,5,0,60000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,17,1,99.955800,2645,2810,2645,165,5.8719,GLOBAL_BEST,0,777,3,26,0,10,1,0,1650000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,18,1,99.953038,2525,2645,2525,120,4.5369,GLOBAL_BEST,0,777,3,26,0,11,1,0,1200000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,19,1,99.950277,2465,2525,2465,60,2.3762,GLOBAL_BEST,0,777,3,31,0,12,1,0,600000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,20,1,99.947515,2290,2465,2290,175,7.0994,GLOBAL_BEST,0,777,3,31,0,13,1,0,1750000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,22,1,99.941992,2240,2290,2240,50,2.1834,GLOBAL_BEST,0,777,3,39,1,14,2,0,250000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,25,1,99.933708,2200,2240,2200,40,1.7857,GLOBAL_BEST,0,777,3,41,3,15,3,0,133333.3333,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,30,1,99.919902,2110,2200,2110,90,4.0909,GLOBAL_BEST,0,777,4,51,4,16,5,0,180000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,31,1,99.917141,2080,2110,2080,30,1.4218,GLOBAL_BEST,0,777,4,55,4,17,1,0,300000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,34,1,99.908859,2005,2080,2005,75,3.6058,GLOBAL_BEST,0,777,5,60,5,18,3,0,250000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,35,1,99.906099,1990,2005,1990,15,0.7481,GLOBAL_BEST,0,777,5,62,5,19,1,0,150000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,37,1,99.900578,1915,1990,1915,75,3.7688,GLOBAL_BEST,0,777,5,69,5,20,2,0,375000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,41,1,99.889537,1660,1915,1660,255,13.3159,GLOBAL_BEST,0,777,5,70,7,21,4,0,637500.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,42,1,99.886777,1590,1660,1590,70,4.2169,GLOBAL_BEST,0,777,5,74,7,22,1,0,700000.0000,0.0000,0,0,0,0,0,0
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:40:46+01:00,1,0,3,43,1,99.884017,1470,1590,1470,120,7.5472,GLOBAL_BEST,0,777,5,76,7,23,1,0,1200000.0000,0.0000,0,0,0,0,0,0
