path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
2,0,1,123,415,415,6,3000000,727770,4703324,495740,232030,2272230,61.0558,947,1,1,0
1,0,1,42,400,400,4,2000000,479065,3118301,327516,151549,1520935,60.9245,923,1,2,0
3,0,1,777,430,430,3,1500000,446751,2304083,301754,144997,1053249,60.5687,897,1,3,1
4,2,2,42,245,660,4,2000000,329393,3021958,233770,95623,1670607,60.1749,828,1,1,0
5,2,2,123,245,660,6,3000000,726591,4491743,491196,235395,2273409,59.9559,938,1,2,0
6,2,2,777,235,650,9,4500000,1120688,6726747,752606,368082,3379312,59.9172,1241,1,3,0
10,3,2,42,230,660,7,3500000,916103,5122953,619181,296922,2583897,59.4107,1041,1,4,1
7,1,2,42,240,640,4,2000000,474482,2980809,317908,156574,1525518,59.8459,869,1,5,0
8,1,2,123,275,675,3,1500000,277774,2251678,192409,85365,1222226,60.0179,846,0,0,0
11,3,2,123,240,670,4,2000000,323076,2898144,228593,94483,1676924,59.1682,823,0,0,0
9,1,2,777,245,645,6,3000000,876657,4590666,585283,291374,2123343,60.4778,1186,0,0,0
12,3,2,777,260,690,5,2500000,535163,3692515,373151,162012,1964837,59.6287,925,0,0,0
16,5,3,42,465,1125,4,2000000,344232,2921211,253397,90835,1655768,59.3596,922,1,1,0
18,5,3,777,465,1125,4,2000000,488797,3014248,335689,153108,1511203,60.1137,984,1,2,0
17,5,3,123,475,1135,4,2000000,350661,2943235,259153,91508,1649339,59.5407,917,1,3,0
22,10,3,42,450,1110,5,2500000,534259,3723640,377361,156898,1965741,59.8306,1083,1,4,1
24,10,3,777,445,1105,4,2000000,482806,2991301,330564,152242,1517194,59.9303,966,1,5,0
25,7,3,42,460,1100,5,2500000,539803,3780784,380380,159423,1960197,60.1961,1121,0,0,0
23,10,3,123,465,1125,6,3000000,719010,4467650,496652,222358,2280990,59.8267,1096,0,0,0
20,6,3,123,445,1095,3,1500000,296322,2124208,210241,86081,1203678,58.6116,863,0,0,0
13,4,3,42,495,1155,7,3500000,919699,5296918,623775,295924,2580301,60.2133,1073,0,0,0
14,4,3,123,510,1170,5,2500000,545735,3673539,383070,162665,1954265,59.5046,975,0,0,0
27,7,3,777,485,1125,5,2500000,552446,3768581,394105,158341,1947554,60.1186,1015,0,0,0
26,7,3,123,475,1115,5,2500000,542719,3777606,382751,159968,1957281,60.1759,979,0,0,0
19,6,3,42,435,1085,4,2000000,347693,2887743,253392,94301,1652307,59.0813,893,0,0,0
21,6,3,777,465,1115,4,2000000,338229,2885623,247867,90362,1661771,59.0636,907,0,0,0
15,4,3,777,475,1135,6,3000000,704790,4431650,484722,220068,2295210,59.6321,1134,0,0,0
28,16,4,42,150,1275,5,2500000,493035,3861190,340746,152289,2006965,60.6992,842,1,1,0
30,16,4,777,175,1300,4,2000000,318154,3057820,228928,89226,1681846,60.4573,736,1,2,0
38,22,4,123,150,1260,5,2500000,658548,4000416,449784,208764,1841452,61.5409,822,1,3,1
29,16,4,123,165,1290,5,2500000,662602,4046791,450267,212335,1837398,61.8134,875,1,4,0
41,24,4,123,135,1240,6,3000000,708203,4883953,489919,218284,2291797,61.9480,918,1,5,0
35,17,4,123,150,1285,3,1500000,276724,2342077,195009,81715,1223276,60.9586,716,0,0,0
39,22,4,777,145,1255,4,2000000,486486,3193887,338343,148143,1513514,61.4932,779,0,0,0
34,17,4,42,165,1300,5,2500000,511676,3803490,361998,149678,1988324,60.3394,785,0,0,0
33,18,4,777,180,1305,6,3000000,683636,4740134,463132,220504,2316364,61.2410,928,0,0,0
42,24,4,777,150,1255,4,2000000,486078,3193155,339265,146813,1513922,61.4878,778,0,0,0
40,24,4,42,150,1255,5,2500000,680179,3968053,466133,214046,1819821,61.3485,869,0,0,0
36,17,4,777,150,1285,4,2000000,312838,3128793,226189,86649,1687162,61.0045,737,0,0,0
32,18,4,123,145,1270,7,3500000,739554,5433420,519165,220389,2760446,60.8213,847,0,0,0
37,22,4,42,150,1260,6,3000000,709553,4792749,497499,212054,2290447,61.5027,807,0,0,0
31,18,4,42,160,1285,4,2000000,317947,3024373,228750,89197,1682053,60.1940,730,0,0,0
49,38,5,42,360,1620,4,2000000,314713,3013921,224610,90103,1685287,60.1111,827,1,1,1
55,41,5,42,295,1535,5,2500000,656782,3914841,439941,216841,1843218,61.0279,897,1,2,0
45,28,5,777,345,1620,5,2500000,660601,3959196,440706,219895,1839399,61.2955,997,1,3,0
44,28,5,123,335,1610,4,2000000,484613,3145620,330368,154245,1515387,61.1320,907,1,4,0
50,38,5,123,340,1600,5,2500000,522218,3841772,362268,159950,1977782,60.5788,867,1,5,0
51,38,5,777,340,1600,4,2000000,310082,3076356,217682,92400,1689918,60.6017,839,0,0,0
56,41,5,123,295,1535,5,2500000,489400,3872528,333572,155828,2010600,60.7691,869,0,0,0
57,41,5,777,340,1580,3,1500000,279148,2334690,192458,86690,1220852,60.8834,791,0,0,0
53,29,5,123,380,1670,7,3500000,898301,5492269,607390,290911,2601699,61.0777,968,0,0,0
43,28,5,42,330,1605,5,2500000,680782,3939048,460092,220690,1819218,61.1744,987,0,0,0
47,30,5,123,310,1610,6,3000000,700367,4722411,480885,219482,2299633,61.1520,1076,0,0,0
46,30,5,42,315,1615,6,3000000,834441,4796325,559490,274951,2165559,61.5203,1015,0,0,0
48,30,5,777,325,1625,4,2000000,473894,3106130,323937,149957,1526106,60.8314,857,0,0,0
54,29,5,777,385,1675,5,2500000,651726,3977176,434435,217291,1848274,61.4029,933,0,0,0
52,29,5,42,375,1665,4,2000000,317054,3076112,223111,93943,1682946,60.5998,816,0,0,0
59,49,6,123,235,1855,3,1500000,293770,2458298,207803,85967,1206230,62.1049,761,1,1,0
58,49,6,42,230,1850,6,3000000,896376,5121996,602693,293683,2103624,63.0633,953,1,2,1
63,55,6,777,255,1790,4,2000000,496266,3365789,342631,153635,1503734,62.7268,817,1,3,0
64,45,6,42,210,1830,5,2500000,529973,4105512,370372,159601,1970027,62.1528,905,1,4,0
60,49,6,777,220,1840,5,2500000,545354,4156576,382696,162658,1954646,62.4432,792,1,5,0
61,55,6,42,260,1795,5,2500000,553129,4047176,386523,166606,1946871,61.8156,868,0,0,0
68,44,6,123,235,1845,4,2000000,320869,3284423,226831,94038,1679131,62.1529,756,0,0,0
62,55,6,123,240,1775,5,2500000,524795,4136468,366362,158433,1975205,62.3294,839,0,0,0
71,50,6,123,240,1840,6,3000000,714069,5056150,487892,226177,2285931,62.7614,824,0,0,0
72,50,6,777,250,1850,4,2000000,486891,3326359,336234,150657,1513109,62.4509,813,0,0,0
66,45,6,777,215,1835,5,2500000,517056,4164205,355657,161399,1982944,62.4861,794,0,0,0
65,45,6,123,290,1910,5,2500000,534853,4032618,373018,161835,1965147,61.7305,847,0,0,0
69,44,6,777,255,1865,5,2500000,538071,4120141,375668,162403,1961929,62.2365,865,0,0,0
67,44,6,42,250,1860,4,2000000,318491,3255304,227466,91025,1681509,61.9432,783,0,0,0
70,50,6,42,260,1860,4,2000000,502545,3356302,346226,156319,1497455,62.6608,834,0,0,0
73,59,7,42,220,2075,5,2500000,563194,4304964,396881,166313,1936806,63.2621,818,1,1,0
74,73,8,42,1650,3725,4,2000000,386517,3111560,283836,102681,1613483,60.8730,863,1,1,0
75,59,7,123,245,2100,5,2500000,548418,4351079,381855,166563,1951582,63.5094,820,1,2,0
76,75,8,123,1725,3825,4,2000000,549813,3131798,378900,170913,1450187,61.0273,971,1,2,0
77,59,7,777,230,2085,6,3000000,765612,5251563,528527,237085,2234388,63.6433,946,1,3,0
78,77,8,777,1670,3755,5,2500000,592121,3815369,414362,177759,1907879,60.4140,904,1,3,0
79,58,7,42,225,2075,5,2500000,716956,4606533,483064,233892,1783044,64.8211,818,1,4,1
