path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
1,0,1,42,385,385,69,69000000,7106396,103350731,5888275,1218121,61893604,59.9654,6673,1,1,0
2,0,1,101,385,385,64,64000000,6491657,95672840,5361832,1129825,57508343,59.9180,5212,1,2,0
3,0,1,202,400,400,80,80000000,8285042,120160868,6873003,1412039,71714958,60.0321,7074,1,3,1
7,2,2,42,220,605,76,76000000,6498151,108976290,5103822,1394329,69501849,58.9137,6416,1,1,0
11,3,2,101,220,620,73,73000000,6140152,105645046,4805392,1334760,66859848,59.1368,6526,1,2,1
10,3,2,42,230,630,75,75000000,6422744,108068731,5047895,1374849,68577256,59.0318,6439,1,3,0
8,2,2,101,230,615,65,65000000,5562061,93377985,4368573,1193488,59437939,58.9589,6151,1,4,0
9,2,2,202,230,615,61,61000000,5292585,87582470,4173364,1119221,55707415,58.9454,4691,1,5,0
12,3,2,202,225,625,72,72000000,6114875,104521202,4797351,1317524,65885125,59.2117,6298,0,0,0
5,1,2,101,260,645,74,74000000,6633242,105949662,5271193,1362049,67366758,58.8774,6265,0,0,0
4,1,2,42,260,645,79,79000000,6948445,113060342,5496806,1451639,72051555,58.8671,6494,0,0,0
6,1,2,202,260,645,81,81000000,7175669,115987380,5687095,1488574,73824331,58.8806,6635,0,0,0
17,11,3,101,455,1075,77,77000000,7635647,110313956,6226654,1408993,69364353,58.8925,7288,1,1,1
14,7,3,101,460,1065,70,70000000,6849326,99754791,5577334,1271992,63150674,58.7641,6945,1,2,0
16,11,3,42,455,1075,65,65000000,6455717,93168690,5269016,1186701,58544283,58.9046,6794,1,3,0
15,7,3,202,460,1065,67,67000000,6463917,96089240,5250318,1213599,60536083,58.9182,6958,1,4,0
13,7,3,42,455,1060,76,76000000,7278862,108322286,5903229,1375633,68721138,58.7679,7360,1,5,0
22,8,3,42,455,1070,65,65000000,6413612,92574769,5225976,1187636,58586388,58.7497,6889,0,0,0
24,8,3,202,455,1070,75,75000000,7357071,107096217,5985196,1371875,67642929,58.8130,7209,0,0,0
18,11,3,202,455,1075,79,79000000,7785451,113504707,6342658,1442793,71214549,58.9620,7448,0,0,0
23,8,3,101,455,1070,83,83000000,8114473,118682259,6592070,1522403,74885527,58.8462,7610,0,0,0
19,10,3,42,470,1100,72,72000000,6922431,101480869,5607849,1314582,65077569,58.4969,7029,0,0,0
21,10,3,202,470,1100,68,68000000,6601348,95539924,5360108,1241240,61398652,58.4199,6899,0,0,0
20,10,3,101,475,1105,75,75000000,7217565,105917137,5848170,1369395,67782435,58.5446,7246,0,0,0
27,9,3,202,505,1120,77,77000000,7387382,109037665,5982033,1405349,69612618,58.6105,7207,0,0,0
