run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,worker_id,parent_worker_id,week,worker_seed,depth,start_time_ms,finish_time_ms,finish_candidate,initial_temperature,final_temperature,temperature_at_best,best_candidate,plateau_count,branch_count,produced_global_best,final_penalty,best_penalty,start_penalty,improvement_per_10k,branches_per_10k,accepted_worse_pct,hard_reject_pct,first_plateau_candidate,last_improvement_candidate,local_best_improvements,accepted_worse,hard_rejects
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-06-30T23:41:08+01:00,17,15,1,202,8,0,2533,1000000,100.000000,0.000100,11.632525,155722,8,0,0,425,410,2055,16.4500,0.0000,1.77,59.22,255722,155722,88064,17741,1451947
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-06-30T23:41:08+01:00,29,27,1,202,14,0,2543,1000000,100.000000,0.000100,22.535334,107857,8,5,0,480,460,1805,13.4500,0.0500,1.76,60.14,207857,107857,73144,17559,1508768
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-06-30T23:41:08+01:00,21,19,1,202,10,0,2552,1000000,100.000000,0.000100,17.492827,126191,8,1,0,410,410,1935,15.2500,0.0100,1.76,60.52,226191,126191,75627,17560,1533132
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-06-30T23:41:08+01:00,7,5,1,202,3,0,2553,1000000,100.000000,0.000100,11.838100,154454,8,1,0,410,410,3155,27.4500,0.0100,1.81,60.36,254454,154454,82411,18051,1522837
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-06-30T23:41:08+01:00,26,24,1,202,13,0,2553,1000000,100.000000,0.000100,12.151279,152564,8,3,0,455,440,1835,13.9500,0.0300,1.76,59.78,252564,152564,85776,17612,1486393
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-06-30T23:41:08+01:00,6,4,1,202,3,0,2555,1000000,100.000000,0.000100,9.509901,170305,8,11,0,450,450,3185,27.3500,0.1100,1.78,59.54,270305,170305,101628,17828,1471475
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-06-30T23:41:08+01:00,2,0,1,202,1,0,2562,1000000,100.000000,0.000100,13.916884,142744,8,6,0,420,410,3710,33.0000,0.0600,1.76,61.32,242744,142744,64418,17589,1585046
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-06-30T23:41:08+01:00,0,-1,1,202,0,0,2563,1000000,100.000000,0.000100,12.972569,147830,8,13,0,410,410,3800,33.9000,0.1300,1.74,60.13,247830,147830,93921,17353,1508223
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-06-30T23:41:08+01:00,27,25,1,202,13,0,2564,1000000,100.000000,0.000100,12.146915,152590,8,0,0,480,465,1820,13.5500,0.0000,1.79,59.91,252590,152590,88116,17888,1494433
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-06-30T23:41:08+01:00,31,29,1,202,15,0,2564,1000000,100.000000,0.000100,9.159167,173025,8,0,1,400,400,1740,13.4000,0.0000,1.79,59.72,273025,173025,88017,17854,1482625
n012w8-0,n012w8,0,5,1000000,100.0,adaptive,2026-06-30T23:41:08+01:00,20,18,1,202,10,0,2568,1000000,100.000000,0.000100,16.668710,129684,8,0,0,525,465,1955,14.9000,0.0000,1.80,60.41,229684,129684,87531,18046,1526208
