path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
2,0,1,123,1270,1270,5,2500000,2401054,4465287,1451732,949322,98946,64.1077,1782,1,1,1
3,0,1,777,1270,1270,3,1500000,1440804,2681771,872466,568338,59196,64.1300,1050,1,2,0
1,0,1,42,1310,1310,6,3000000,2882370,5372976,1744642,1137728,117630,64.1704,1211,1,3,0
7,3,2,42,960,2230,5,2500000,2402495,4377655,1449783,952712,97505,63.6504,1795,1,1,0
9,3,2,777,1010,2280,3,1500000,1441302,2625802,869672,571630,58698,63.6434,1325,1,2,0
8,3,2,123,1045,2315,6,3000000,2882335,5256530,1740107,1142228,117665,63.6651,2185,1,3,0
5,2,2,123,1075,2345,5,2500000,2401867,4374297,1449110,952757,98133,63.6326,1453,1,4,1
6,2,2,777,1075,2345,6,3000000,2882580,5255971,1738551,1144029,117420,63.6627,1379,1,5,0
4,2,2,42,1105,2375,2,1000000,961156,1751104,579755,381401,38844,63.6510,906,0,0,0
12,1,2,777,1190,2500,2,1000000,961512,1719994,579830,381682,38488,63.2352,912,0,0,0
10,1,2,42,1240,2550,2,1000000,961296,1721689,579272,382024,38704,63.2581,1625,0,0,0
11,1,2,123,1240,2550,6,3000000,2883553,5162979,1738326,1145227,116447,63.2487,1523,0,0,0
23,5,3,123,1130,3475,5,2500000,2404131,4267326,1460539,943592,95869,63.0578,1818,1,1,1
13,7,3,42,1275,3505,6,3000000,2885294,5037647,1756286,1129008,114706,62.6756,1955,1,2,0
21,8,3,777,1215,3530,4,2000000,1923306,3357406,1169765,753541,76694,62.6685,1271,1,3,0
16,9,3,42,1255,3535,4,2000000,1923610,3365217,1167302,756308,76390,62.7228,1354,1,4,0
14,7,3,123,1330,3560,4,2000000,1923639,3367253,1171247,752392,76361,62.7370,1880,1,5,0
22,5,3,42,1225,3570,6,3000000,2885336,5113707,1752100,1133236,114664,63.0255,2026,0,0,0
20,8,3,123,1275,3590,2,1000000,961651,1681522,584955,376696,38349,62.7077,1027,0,0,0
25,6,3,42,1250,3595,3,1500000,1442684,2571862,879969,562715,57316,63.1618,1245,0,0,0
19,8,3,42,1290,3605,2,1000000,961665,1677899,584291,377374,38335,62.6573,996,0,0,0
17,9,3,123,1330,3610,4,2000000,1923464,3368515,1167433,756031,76536,62.7457,1403,0,0,0
15,7,3,777,1400,3630,5,2500000,2404515,4210547,1463755,940760,95485,62.7452,1864,0,0,0
24,5,3,777,1285,3630,4,2000000,1923051,3408977,1167397,755654,76949,63.0244,1379,0,0,0
18,9,3,777,1375,3655,4,2000000,1923445,3371617,1167753,755692,76555,62.7673,1736,0,0,0
26,6,3,123,1315,3660,3,1500000,1441843,2575130,879999,561844,58157,63.1914,1818,0,0,0
27,6,3,777,1375,3720,4,2000000,1922921,3428480,1172782,750139,77079,63.1573,1087,0,0,0
30,23,4,777,990,4465,6,3000000,2878864,5594608,1759209,1119655,121136,65.0944,1383,1,1,1
42,14,4,777,930,4490,6,3000000,2879176,5593782,1756826,1122350,120824,65.0910,1523,1,2,0
