run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,worker_id,parent_worker_id,algorithm,week,worker_seed,depth,start_time_ms,finish_time_ms,finish_candidate,initial_temperature,final_temperature,temperature_at_best,best_candidate,plateau_count,branch_count,produced_global_best,final_penalty,best_penalty,start_penalty,improvement_per_10k,branches_per_10k,accepted_worse_pct,hard_reject_pct,first_plateau_candidate,last_improvement_candidate,local_best_improvements,accepted_worse,hard_rejects
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:07:22+01:00,0,-1,tabu,1,123,0,0,896,500000,100.000000,0.000000,0.000000,202954,3,31,0,2430,1410,3800,47.8000,0.6200,37.99,64.15,172965,202954,290385,189961,894682
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:07:22+01:00,2,0,tabu,1,123,1,0,890,500000,100.000000,0.000000,0.000000,433725,3,5,1,2215,1270,1545,5.5000,0.1000,38.01,64.09,143837,433725,290309,190030,892178
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:07:22+01:00,3,1,tabu,1,123,1,0,895,500000,100.000000,0.000000,0.000000,418520,4,1,0,2645,1385,1450,1.3000,0.0200,37.86,64.11,100001,418520,290834,189287,893092
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:07:22+01:00,4,2,tabu,1,123,2,0,901,500000,100.000000,0.000000,0.000000,2,4,1,0,2510,1400,1410,0.2000,0.0200,37.99,64.10,100002,2,290162,189928,892722
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:07:22+01:00,5,3,tabu,1,123,2,0,903,500000,100.000000,0.000000,0.000000,0,4,0,0,2665,1360,1360,0.0000,0.0000,38.02,64.10,100001,0,290042,190116,892613
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:07:22+01:00,0,-1,tabu,2,123,0,0,840,500000,100.000000,0.000000,0.000000,373722,3,42,1,2675,1075,3800,54.5000,0.8400,38.06,63.68,229824,373722,290029,190309,876619
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:07:22+01:00,2,0,tabu,2,123,1,0,830,500000,100.000000,0.000000,0.000000,486290,3,2,0,2425,1115,1330,4.3000,0.0400,38.14,63.59,196181,486290,289734,190718,873346
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:07:22+01:00,3,1,tabu,2,123,1,0,829,500000,100.000000,0.000000,0.000000,371080,4,1,0,2210,1145,1240,1.9000,0.0200,38.07,63.65,100005,371080,289908,190369,875580
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:07:22+01:00,4,2,tabu,2,123,2,0,839,500000,100.000000,0.000000,0.000000,303123,4,0,0,2785,1130,1180,1.0000,0.0000,38.14,63.60,100001,303123,289727,190706,873612
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:07:22+01:00,5,3,tabu,2,123,2,0,836,500000,100.000000,0.000000,0.000000,0,4,0,1,2445,1075,1075,0.0000,0.0000,38.13,63.64,100001,0,289712,190655,875140
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:07:22+01:00,0,-1,tabu,3,123,0,0,915,500000,100.000000,0.000000,0.000000,129928,3,33,0,2410,1410,4460,61.0000,0.6600,37.75,63.08,229928,129928,292290,188734,854355
