run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,path_id,fingerprint,hamming_to_best,hamming_to_parent,beam_spread,near_duplicate,retained,retained_rank,winning,cumulative_penalty,week_penalty
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,1,3,b2b7b92c8725,0.000000,0.000000,95,1,1,1,1,555,555
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,1,1,d41b3ab0f34e,0.595238,0.000000,95,0,1,2,0,640,640
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,1,2,50b271270e6b,0.571429,0.000000,95,0,1,3,0,650,650
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,2,5,59ea02f45040,0.000000,0.654762,115,1,1,1,0,1020,465
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,2,4,769c7202eb4f,0.678571,0.678571,115,0,1,2,0,1040,485
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,2,6,d9a8f9fb8f3a,0.642857,0.678571,115,0,1,3,1,1050,495
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,2,11,e1fcc79bb15e,0.845238,0.630952,115,0,1,4,0,1060,410
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,2,12,459de98df39a,0.678571,0.702381,115,0,1,5,0,1135,485
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,2,10,cf013b4e50c0,0.750000,0.642857,115,0,0,0,0,1140,490
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,2,8,36756bbb787e,0.821429,0.690476,115,0,0,0,0,1150,510
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,2,7,0ab6abe14030,0.726190,0.750000,115,0,0,0,0,1175,535
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,2,9,31e6d3b61dd9,0.690476,0.714286,115,0,0,0,0,1225,585
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,20,5d0d13e1dce4,0.000000,0.726190,50,1,1,1,1,1675,625
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,15,51171cd5a80f,0.702381,0.738095,50,0,1,2,0,1705,685
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,13,afd88c583b8f,0.595238,0.738095,50,0,1,3,0,1715,695
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,14,963f523ddfef,0.785714,0.666667,50,0,1,4,0,1720,700
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,18,3bdff0e63d2f,0.666667,0.726190,50,0,1,5,0,1725,685
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,23,1981b53d5e29,0.678571,0.726190,50,0,0,0,0,1730,670
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,22,8297f02ef7bc,0.619048,0.583333,50,0,0,0,0,1750,690
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,16,4d419ccc1ae5,0.714286,0.726190,50,0,0,0,0,1755,715
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,19,9ef687b754ab,0.702381,0.702381,50,0,0,0,0,1755,705
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,21,345d1cc39464,0.630952,0.821429,50,0,0,0,0,1765,715
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,17,54034e33d0a1,0.654762,0.607143,50,0,0,0,0,1795,755
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,24,0f6f45dc00f6,0.666667,0.714286,50,0,0,0,0,1815,755
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,27,ea498117989a,0.714286,0.690476,50,0,0,0,0,1820,685
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,26,e718118fa68f,0.738095,0.678571,50,0,0,0,0,1835,700
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,25,3d12d5c80b89,0.678571,0.678571,50,0,0,0,0,1870,735
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,28,c67cdb9d7ea2,0.000000,0.595238,105,1,1,1,0,1975,300
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,29,d6e485c79eb7,0.535714,0.654762,105,0,1,2,1,2035,360
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,30,73f47899e386,0.666667,0.666667,105,0,1,3,0,2035,360
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,31,eaf36d9370e5,0.666667,0.702381,105,0,1,4,0,2065,360
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,33,847dc707be6a,0.750000,0.738095,105,0,1,5,0,2080,375
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,40,62ef3b385b0a,0.714286,0.690476,105,0,0,0,0,2085,360
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,32,811f86310ab8,0.654762,0.750000,105,0,0,0,0,2140,435
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,35,dcf7d22b934b,0.678571,0.785714,105,0,0,0,0,2150,435
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,39,c9a5697c686a,0.726190,0.726190,105,0,0,0,0,2155,435
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,36,47438aa505a4,0.642857,0.714286,105,0,0,0,0,2165,450
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,41,7f7d1106abde,0.690476,0.750000,105,0,0,0,0,2175,450
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,34,8605f28b0753,0.702381,0.738095,105,0,0,0,0,2180,465
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,37,05c00cbcc60e,0.773810,0.738095,105,0,0,0,0,2180,460
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,42,5ae68a419255,0.607143,0.738095,105,0,0,0,0,2205,480
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,38,5b42a49b740b,0.714286,0.773810,105,0,0,0,0,2225,505
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,5,43,699b38508094,0.000000,0.738095,30,1,1,1,0,2565,590
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,5,45,7107af96fc87,0.619048,0.702381,30,0,1,2,0,2565,590
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,5,47,902cb0363c57,0.726190,0.738095,30,0,1,3,0,2575,540
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,5,48,2dc1e2b89046,0.619048,0.654762,30,0,1,4,1,2585,550
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,5,46,d66eb410ec67,0.642857,0.559524,30,0,1,5,0,2595,560
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,5,51,32dec48f31ef,0.654762,0.714286,30,0,0,0,0,2605,570
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,5,44,0b8631149d63,0.678571,0.630952,30,0,0,0,0,2610,635
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,5,50,8f21986ed035,0.666667,0.630952,30,0,0,0,0,2615,580
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,5,49,078d37798777,0.642857,0.726190,30,0,0,0,0,2630,595
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,5,52,ad1556ee0e59,0.535714,0.750000,30,0,0,0,0,2640,575
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,5,54,5cf9d75b0ea7,0.583333,0.678571,30,0,0,0,0,2655,590
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,5,57,c7867019dd14,0.642857,0.642857,30,0,0,0,0,2665,585
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,5,53,908e81a8f3b3,0.630952,0.714286,30,0,0,0,0,2670,605
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,5,56,d878d25fbb88,0.595238,0.654762,30,0,0,0,0,2670,590
