path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
3,0,1,777,555,555,7,3500000,3463588,21658274,2215114,1248474,36412,86.0881,8230,1,1,1
1,0,1,42,640,640,2,1000000,989515,6186341,632945,356570,10485,86.0847,3704,1,2,0
2,0,1,123,650,650,5,2500000,2473563,15470002,1581749,891814,26437,86.0879,5673,1,3,0
5,3,2,123,465,1020,6,3000000,2971187,18385696,1901237,1069950,28813,85.9719,6863,1,1,0
4,3,2,42,485,1040,5,2500000,2475814,15322873,1584679,891135,24186,85.9731,6870,1,2,0
6,3,2,777,495,1050,4,2000000,1980777,12259965,1267168,713609,19223,85.9747,6483,1,3,1
11,2,2,123,410,1060,3,1500000,1485767,9187899,955533,530234,14233,85.9654,5639,1,4,0
12,2,2,777,485,1135,3,1500000,1485649,9187143,955507,530142,14351,85.9644,3765,1,5,0
10,2,2,42,490,1140,1,500000,495279,3059451,318528,176751,4721,85.9529,3180,0,0,0
8,1,2,123,510,1150,6,3000000,2973807,18214936,1918089,1055718,26193,85.8590,5390,0,0,0
7,1,2,42,535,1175,3,1500000,1487079,9106926,958858,528221,12921,85.8583,3657,0,0,0
9,1,2,777,585,1225,2,1000000,991259,6072558,639013,352246,8741,85.8608,3555,0,0,0
20,6,3,123,625,1675,5,2500000,2477098,15278052,1613333,863765,22902,85.9377,6613,1,1,1
15,5,3,777,685,1705,3,1500000,1486057,9172688,967911,518146,13943,85.9454,8077,1,2,0
13,5,3,42,695,1715,3,1500000,1485717,9174862,967770,517947,14283,85.9483,4293,1,3,0
14,5,3,123,700,1720,2,1000000,990734,6113720,645325,345409,9266,85.9427,5894,1,4,0
18,4,3,777,685,1725,2,1000000,991159,6097206,646552,344607,8841,85.9099,3728,1,5,0
23,11,3,123,670,1730,7,3500000,3467552,21397237,2258583,1208969,32448,85.9422,7489,0,0,0
22,11,3,42,690,1750,4,2000000,1981472,12225765,1290273,691199,18528,85.9410,6126,0,0,0
16,4,3,42,715,1755,5,2500000,2477373,15239755,1614603,862770,22627,85.9074,5994,0,0,0
19,6,3,42,705,1755,5,2500000,2477079,15275191,1612956,864123,22921,85.9355,6544,0,0,0
21,6,3,777,715,1765,3,1500000,1486019,9167286,967682,518337,13981,85.9383,4685,0,0,0
17,4,3,123,755,1795,3,1500000,1486463,9142664,969197,517266,13537,85.9058,5504,0,0,0
24,11,3,777,755,1815,1,500000,495377,3058024,322607,172770,4623,85.9473,3476,0,0,0
27,12,3,777,685,1820,5,2500000,2476008,15340674,1609443,866565,23992,85.9871,8890,0,0,0
26,12,3,123,700,1835,6,3000000,2971264,18403283,1930806,1040458,28736,85.9835,6626,0,0,0
25,12,3,42,735,1870,2,1000000,990451,6134667,643782,346669,9549,85.9839,3832,0,0,0
28,20,4,42,300,1975,2,1000000,987604,6302663,637613,349991,12396,86.3064,3056,1,1,0
29,20,4,123,360,2035,4,2000000,1974792,12597627,1274282,700510,25208,86.2991,4855,1,2,1
30,20,4,777,360,2035,4,2000000,1975202,12598883,1274991,700211,24798,86.3003,4598,1,3,0
31,15,4,42,360,2065,4,2000000,1975852,12572038,1278479,697373,24148,86.2751,5793,1,4,0
33,15,4,777,375,2080,4,2000000,1975416,12579326,1275912,699504,24584,86.2819,5492,1,5,0
40,18,4,42,360,2085,1,500000,493738,3142070,318924,174814,6262,86.2715,2820,0,0,0
