run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,worker_id,parent_worker_id,algorithm,week,worker_seed,depth,start_time_ms,finish_time_ms,finish_candidate,initial_temperature,final_temperature,temperature_at_best,best_candidate,plateau_count,branch_count,produced_global_best,final_penalty,best_penalty,start_penalty,improvement_per_10k,branches_per_10k,accepted_worse_pct,hard_reject_pct,first_plateau_candidate,last_improvement_candidate,local_best_improvements,accepted_worse,hard_rejects
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,0,-1,tabu,1,777,0,0,3399,500000,100.000000,0.000000,0.000000,304840,2,41,0,1050,690,3800,62.2000,0.8200,35.70,61.87,201334,304840,316356,178501,3093701
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,2,0,tabu,1,777,1,0,3410,500000,100.000000,0.000000,0.000000,59449,4,1,0,1200,705,795,1.8000,0.0200,35.75,61.88,159449,59449,315959,178768,3093925
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,1,tabu,1,777,1,0,3408,500000,100.000000,0.000000,0.000000,401090,3,3,0,1150,655,760,2.1000,0.0600,35.69,61.88,111962,401090,316434,178452,3094193
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,4,2,tabu,1,777,2,0,3401,500000,100.000000,0.000000,0.000000,404913,4,2,0,1150,665,740,1.5000,0.0400,35.61,61.90,100003,404913,316805,178026,3095017
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,5,3,tabu,1,777,2,0,3402,500000,100.000000,0.000000,0.000000,468400,4,1,0,1320,570,685,2.3000,0.0200,35.61,61.86,100001,468400,316828,178028,3093054
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,6,4,tabu,1,777,3,0,3375,500000,100.000000,0.000000,0.000000,0,4,0,0,1530,655,655,0.0000,0.0000,35.70,61.87,100001,0,316191,178475,3093353
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,7,5,tabu,1,777,3,0,3340,500000,100.000000,0.000000,0.000000,1,4,1,1,1320,555,570,0.3000,0.0200,35.64,61.90,100001,1,316541,178224,3095031
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,0,-1,tabu,2,777,0,0,3183,500000,100.000000,0.000000,0.000000,53896,4,34,0,1030,575,3800,64.5000,0.6800,35.65,61.31,153896,53896,316970,178244,3065412
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,2,0,tabu,2,777,1,0,3189,500000,100.000000,0.000000,0.000000,251280,3,2,0,1225,555,595,0.8000,0.0400,35.75,61.32,100001,251280,316502,178747,3066188
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T14:32:15+01:00,3,1,tabu,2,777,1,0,3193,500000,100.000000,0.000000,0.000000,329575,4,3,1,1070,495,570,1.5000,0.0600,35.66,61.27,100002,329575,316853,178285,3063382
