path_id,parent_id,week,seed,week_penalty,cumulative_penalty,workers_started,candidates,accepted,rejected,sa_accepted_better,sa_accepted_worse,sa_rejected_by_prob,hard_reject_rate,duration_ms,retained,retained_rank,winning
3,0,1,202,385,385,80,40000000,4133092,59976849,3427701,705391,35866908,59.9907,3708,1,1,1
1,0,1,42,395,395,77,38500000,4010481,57803129,3331553,678928,34489519,60.0221,3551,1,2,0
2,0,1,101,400,400,74,37000000,3823861,55350459,3169284,654577,33176139,59.9352,3442,1,3,0
6,3,2,202,250,635,73,36500000,3243688,52590694,2569903,673785,33256312,59.0305,3132,1,1,1
12,2,2,202,235,635,67,33500000,2940092,47934883,2322794,617298,30559908,58.8628,3093,1,2,0
10,2,2,42,240,640,74,37000000,3241919,52665313,2558893,683026,33758081,58.7354,3170,1,3,0
4,3,2,42,260,645,79,39500000,3489962,56695106,2759240,730722,36010038,58.9376,3331,1,4,0
5,3,2,101,260,645,59,29500000,2620460,42245763,2076797,543663,26879540,58.8826,2456,1,5,0
11,2,2,101,245,645,69,34500000,3078603,48936374,2441828,636775,31421397,58.6511,3093,0,0,0
8,1,2,101,260,655,73,36500000,3272549,53007528,2598463,674086,33227451,59.2213,3175,0,0,0
7,1,2,42,270,665,63,31500000,2803657,45782070,2222609,581048,28696343,59.2402,2406,0,0,0
9,1,2,202,275,670,76,38000000,3404806,55104521,2701632,703174,34595194,59.1857,3257,0,0,0
13,6,3,42,455,1090,73,36500000,3603291,52310556,2942035,661256,32896709,58.9013,3466,1,1,1
25,5,3,42,445,1090,81,40500000,3984388,57662085,3255653,728735,36515612,58.7417,3747,1,2,0
26,5,3,101,445,1090,81,40500000,3896524,57839898,3166196,730328,36603476,58.8163,3730,1,3,0
27,5,3,202,445,1090,73,36500000,3436699,51835063,2778584,658115,33063301,58.6801,3545,1,4,0
16,12,3,42,460,1095,77,38500000,3836745,55734137,3134048,702697,34663255,59.1443,3667,1,5,0
17,12,3,101,460,1095,76,38000000,3719889,54961326,3026513,693376,34280111,59.1228,3584,0,0,0
18,12,3,202,460,1095,66,33000000,3309877,47425855,2706717,603160,29690123,58.9684,3390,0,0,0
15,6,3,202,465,1100,66,33000000,3208755,47542702,2610480,598275,29791245,59.0279,3353,0,0,0
21,10,3,202,460,1100,72,36000000,3600377,51196269,2949137,651240,32399623,58.7138,3525,0,0,0
14,6,3,101,470,1105,67,33500000,3255884,47835620,2648536,607348,30244116,58.8126,3369,0,0,0
20,10,3,101,470,1110,78,39000000,3858829,55342716,3153106,705723,35141171,58.6614,3692,0,0,0
19,10,3,42,475,1115,59,29500000,2864186,42328870,2331138,533048,26635814,58.9302,2564,0,0,0
22,4,3,42,485,1130,68,34000000,3328948,48741680,2715939,613009,30671052,58.9083,3336,0,0,0
23,4,3,101,485,1130,74,37000000,3658691,53044442,2992325,666366,33341309,58.9092,3519,0,0,0
24,4,3,202,490,1135,62,31000000,3029758,44829498,2470289,559469,27970242,59.1188,2721,0,0,0
29,13,4,101,90,1180,61,30500000,2878354,46326501,2358893,519461,27621646,60.3002,2264,1,1,1
30,13,4,202,105,1195,65,32500000,3029582,48920322,2476710,552872,29470418,60.0837,2713,1,2,0
37,27,4,42,105,1195,64,32000000,2928834,47522304,2391634,537200,29071166,59.7597,2352,1,3,0
38,27,4,101,105,1195,70,35000000,3190709,52286008,2602028,588681,31809291,59.9019,2827,1,4,0
40,16,4,42,105,1200,64,32000000,2927715,47790979,2391984,535731,29072285,59.8952,2349,1,5,0
42,16,4,202,105,1200,62,31000000,2888058,46883487,2368173,519885,28111942,60.1970,2182,0,0,0
28,13,4,42,115,1205,67,33500000,3115389,50974878,2544959,570430,30384611,60.3432,2743,0,0,0
39,27,4,202,115,1205,66,33000000,2961108,49180106,2409392,551716,30038892,59.8443,2889,0,0,0
41,16,4,101,120,1215,59,29500000,2759879,44783005,2264811,495068,26740121,60.2870,2334,0,0,0
35,26,4,101,135,1225,59,29500000,2779126,44672636,2278338,500788,26720874,60.2279,2213,0,0,0
31,25,4,42,145,1235,63,31500000,2944402,47673114,2412547,531855,28555598,60.2138,2270,0,0,0
32,25,4,101,150,1240,71,35500000,3270575,53852540,2671467,599108,32229425,60.2697,2798,0,0,0
33,25,4,202,150,1240,58,29000000,2627715,44046696,2137298,490417,26372285,60.2994,2173,0,0,0
36,26,4,202,150,1240,60,30000000,2772763,45760705,2262605,510158,27227237,60.4016,2219,0,0,0
34,26,4,42,165,1255,53,26500000,2436199,40673455,1985865,450334,24063801,60.5499,2100,0,0,0
43,29,5,42,330,1510,64,32000000,3030922,48318320,2451138,579784,28969078,60.1585,2622,1,1,0
44,29,5,101,335,1515,79,39500000,3839639,59798291,3124980,714659,35660361,60.2209,3684,1,2,1
45,29,5,202,340,1520,83,41500000,3973050,62987053,3222077,750973,37526950,60.2822,3535,1,3,0
50,37,5,101,325,1520,87,43500000,3981334,65748072,3207722,773612,39518666,60.1824,3719,1,4,0
51,37,5,202,325,1520,82,41000000,3722971,61899785,2993998,728973,37277029,60.1554,3429,1,5,0
49,37,5,42,335,1530,71,35500000,3173845,53567729,2543052,630793,32326155,60.1427,3306,0,0,0
47,30,5,101,340,1535,70,35000000,3335134,52672582,2707191,627943,31664866,60.0787,3211,0,0,0
46,30,5,42,350,1545,61,30500000,2952120,46002826,2406268,545852,27547880,60.1322,2642,0,0,0
48,30,5,202,350,1545,74,37000000,3584925,55213268,2922651,662274,33415075,59.8756,3398,0,0,0
52,38,5,42,355,1550,63,31500000,3023246,47103737,2461638,561608,28476754,59.9256,2666,0,0,0
54,38,5,202,355,1550,71,35500000,3364985,52564929,2731962,633023,32135015,59.6888,3148,0,0,0
53,38,5,101,365,1560,69,34500000,3226366,51703600,2609699,616667,31273634,59.9785,3132,0,0,0
55,40,5,42,360,1560,64,32000000,2994972,47665091,2419769,575203,29005028,59.8318,2469,0,0,0
57,40,5,202,360,1560,76,38000000,3602691,56634914,2921826,680865,34397309,59.8457,3340,0,0,0
56,40,5,101,365,1565,69,34500000,3272565,51722813,2652924,619641,31227435,59.9874,3156,0,0,0
64,45,6,42,190,1710,58,29000000,2743110,46659328,2214855,528255,26256890,61.6703,2319,1,1,0
